index,textnum,dockey,sideline,locus,level,inscobj,fs80,dir,posnum,signnum,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,strict,exclusion_reasons
1021,2401,2401,0,31,-12,1,0,1,3,3,*086,6,12,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1022,2402,2402,0,31,-12,1,13,1,6,6,293,123,343,67,175,206,,,,,,,,,1,
1023,2403,2403,0,31,-12,1,13,1,5,5,267,99,124,25,342,,,,,,,,,,1,
1024,2404,2404,0,31,-12,1,13,1,6,6,124,409,96,342,1,176,,,,,,,,,1,
1025,2405,2405,10,31,-12,1,13,1,6,6,293,123,343,65,294,342,,,,,,,,,1,
1026,2405,2405,21,31,-12,1,0,2,4,4,391,102,137,253,,,,,,,,,,,1,
1027,2405,2405,22,31,-12,1,0,1,4,3,409,94,409,0,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1028,2405,2405,30,31,-12,1,0,1,3,3,319,32,162,,,,,,,,,,,,1,
1029,2405,2405,40,31,-12,1,0,1,2,2,403,231,,,,,,,,,,,,,1,
1030,2405,2405,50,31,-12,1,0,3,1,1,408,,,,,,,,,,,,,,1,
1031,2405,2405,60,31,-12,1,0,9,1,0,0,,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1032,2406,2406,0,31,-13,1,13,1,8,8,403,256,216,123,65,87,284,342,,,,,,,1,
1033,2407,2407,0,31,-13,1,13,1,7,7,159,381,99,175,230,53,342,,,,,,,,1,
1034,2408,2408,0,31,-12,1,0,2,5,5,267,99,331,162,402,,,,,,,,,,1,
1035,2409,2409,0,31,-13,1,45,1,3,3,72,247,342,,,,,,,,,,,,1,
1036,2410,2410,0,31,-13,1,45,1,4,4,65,67,233,342,,,,,,,,,,,1,
1037,2411,2411,0,31,-13,1,251,1,5,5,391,123,336,89,211,,,,,,,,,,1,
1038,2413,2413,0,31,-13,1,13,1,6,6,264,89,332,58,249,307,,,,,,,,,1,
1039,2414,2414,0,31,-13,1,0,1,3,3,67,348,342,,,,,,,,,,,,1,
1040,2415,2415,0,31,-13,1,13,1,6,6,264,287,87,249,175,180,,,,,,,,,1,
1041,2417,2417,0,31,-13,1,13,1,5,5,234,287,162,343,68,,,,,,,,,,1,
1042,2418,2418,0,31,-13,1,13,1,6,6,17,*293,162,343,386,342,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1043,2419,2419,0,31,-13,1,13,1,6,6,267,402,123,72,342,1,,,,,,,,,1,
1044,2420,2420,1,31,-13,1,480,1,6,6,3,216,229,344,59,342,,,,,,,,,1,
1045,2420,2420,2,31,-13,1,480,3,1,1,1,,,,,,,,,,,,,,1,
1046,2421,2421,0,31,-13,1,13,1,2,2,173,12,,,,,,,,,,,,,1,
1047,2422,2422,0,31,-13,1,13,1,4,4,83,125,286,391,,,,,,,,,,,1,
1048,2423,2423,0,31,-13,1,45,1,8,8,75,10,97,121,245,245,10,176,,,,,,,1,
1049,2424,2424,0,31,-13,1,13,1,6,6,267,99,51,130,149,342,,,,,,,,,1,
1050,2425,2425,0,31,-13,1,13,9,2,1,307,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1051,2426,2426,0,31,-13,1,13,1,7,7,387,65,67,336,89,48,342,,,,,,,,1,
1052,2427,2427,0,31,-13,1,13,1,8,8,307,86,99,86,121,391,391,*402,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1053,2428,2428,0,31,-13,1,0,1,5,5,182,342,98,75,14,,,,,,,,,,1,
1054,2429,2429,0,31,-12,1,13,1,9,9,173,51,267,99,87,59,53,8,342,,,,,,1,
1055,2430,2430,1,31,-15,1,780,1,3,2,229,219,0,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1056,2430,2430,2,31,-15,1,780,1,3,3,70,*342,1,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1057,2430,2430,3,31,-15,1,780,3,1,1,242,,,,,,,,,,,,,,1,
1058,2431,2431,1,31,-13,1,31,1,3,3,172,245,*334,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1059,2431,2431,2,31,-13,1,31,3,1,1,393,,,,,,,,,,,,,,1,
1060,2432,2432,0,31,-13,1,13,1,5,5,350,99,341,387,60,,,,,,,,,,1,
1061,2433,2433,0,31,-13,1,13,1,2,2,234,254,,,,,,,,,,,,,1,
1062,2434,2434,0,31,-13,7,0,1,6,6,59,99,102,36,384,384,,,,,,,,,1,
1063,2435,2435,0,31,-13,1,13,1,3,3,285,325,211,,,,,,,,,,,,1,
1064,2436,2436,0,31,-13,1,13,1,11,11,17,293,293,211,186,267,99,59,59,155,211,,,,1,
1065,2437,2437,0,31,-13,7,0,1,3,3,6,267,99,,,,,,,,,,,,1,
1066,2438,2438,0,31,-13,1,13,1,5,4,267,99,65,72,0,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1067,2439,2439,0,31,-13,1,0,1,7,6,391,233,59,98,25,245,0,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1068,2440,2440,0,31,-13,1,13,1,6,6,197,336,97,86,59,211,,,,,,,,,1,
1069,2441,2441,0,31,-13,1,31,1,4,3,65,72,216,0,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1070,2442,2442,0,31,-13,1,13,1,6,6,293,123,343,336,49,86,,,,,,,,,1,
1071,2443,2443,0,31,-13,1,45,1,5,5,397,86,343,406,162,,,,,,,,,,1,
1072,2444,2444,0,31,-13,1,13,1,4,4,171,8,342,176,,,,,,,,,,,1,
1073,2445,2445,0,33,-13,1,65,1,5,5,391,1,134,86,415,,,,,,,,,,1,
1074,2446,2446,0,31,-13,1,13,1,11,11,238,267,99,387,53,72,336,89,112,194,342,,,,1,
1075,2447,2447,0,31,-13,1,351,1,8,8,*343,391,99,87,155,171,8,342,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1076,2448,2448,0,31,-13,1,0,1,4,3,0,*086,123,7,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1077,2449,2449,0,31,-13,1,13,1,5,5,28,162,343,48,342,,,,,,,,,,1,
1078,2450,2450,0,31,-13,1,251,1,5,5,267,99,98,347,342,,,,,,,,,,1,
1079,2451,2451,0,31,-13,1,13,1,6,6,162,216,57,99,62,342,,,,,,,,,1,
1080,2452,2452,0,31,-13,1,13,1,3,3,87,59,71,,,,,,,,,,,,1,
1081,2453,2453,0,31,-13,1,351,1,5,4,0,325,171,8,342,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1082,2455,2455,0,31,-14,1,13,1,9,9,191,303,402,99,87,59,244,58,342,,,,,,1,
1083,2456,2456,1,31,-14,1,13,1,4,4,258,342,87,60,,,,,,,,,,,1,
1084,2456,2456,2,31,-14,1,13,1,2,2,87,272,,,,,,,,,,,,,1,
1085,2457,2457,0,31,-14,1,45,1,5,5,67,204,112,342,176,,,,,,,,,,1,
1086,2458,2458,0,31,-14,1,13,1,2,2,379,307,,,,,,,,,,,,,1,
1087,2459,2459,0,31,-14,1,13,1,4,3,175,0,347,342,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1088,2460,2460,0,31,-14,1,13,1,5,5,59,127,267,176,176,,,,,,,,,,1,
1089,2461,2461,0,31,-14,1,0,1,8,8,178,389,15,87,326,25,245,245,,,,,,,1,
1090,2463,2463,0,31,-14,1,31,1,5,5,343,391,99,387,342,,,,,,,,,,1,
1091,2464,2464,0,31,-14,1,13,1,3,3,86,387,402,,,,,,,,,,,,1,
1092,2465,2465,0,31,-14,1,13,1,6,6,195,123,87,357,175,180,,,,,,,,,1,
1093,2466,2466,1,31,-14,1,13,1,6,6,87,244,307,175,180,176,,,,,,,,,1,
1094,2466,2466,2,31,-14,1,13,3,1,1,374,,,,,,,,,,,,,,1,
1095,2467,2467,0,31,-14,1,351,1,3,2,0,8,342,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1096,2468,2468,0,31,-14,1,13,1,3,3,267,180,391,,,,,,,,,,,,1,
1097,2469,2469,0,31,-14,1,13,1,3,3,65,342,224,,,,,,,,,,,,1,
1098,2470,2470,0,31,-14,1,0,1,6,6,182,293,342,97,102,40,,,,,,,,,1,
1099,2471,2471,1,31,-14,1,11,1,3,3,295,336,53,,,,,,,,,,,,1,
1100,2471,2471,2,31,-14,1,11,3,1,1,242,,,,,,,,,,,,,,1,
1101,2472,2472,0,31,-14,1,13,1,3,3,326,342,14,,,,,,,,,,,,1,
1102,2473,2473,0,31,-14,1,13,1,9,9,214,150,267,99,249,162,375,76,267,,,,,,1,
1103,2474,2474,0,31,-14,1,13,1,5,5,343,267,402,205,267,,,,,,,,,,1,
1104,2475,2475,0,31,-14,1,13,1,5,5,30,402,99,415,342,,,,,,,,,,1,
1105,2476,2476,0,31,-14,1,13,1,5,5,267,99,171,8,342,,,,,,,,,,1,
1106,2477,2477,0,31,-14,1,0,1,8,8,86,210,99,389,69,211,97,173,,,,,,,1,
1107,2478,2478,0,31,-14,1,13,1,5,5,267,99,112,194,342,,,,,,,,,,1,
1108,2480,2480,0,31,-14,1,13,1,7,7,391,99,70,87,59,387,342,,,,,,,,1,
1109,2481,2481,0,31,-14,1,13,1,7,7,267,99,103,403,48,8,342,,,,,,,,1,
1110,2482,2482,0,31,-14,7,0,1,4,4,17,48,342,176,,,,,,,,,,,1,
1111,2483,2483,0,31,-14,1,351,1,4,3,0,130,149,342,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1112,2484,2484,0,31,-15,1,91,1,4,3,0,*018,226,254,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1113,2485,2485,0,31,-15,1,0,1,5,5,267,99,174,176,211,,,,,,,,,,1,
1114,2486,2486,0,31,-15,1,13,1,5,5,102,217,403,347,342,,,,,,,,,,1,
1115,2489,2489,0,31,-15,1,13,1,6,6,25,99,87,59,294,342,,,,,,,,,1,
1116,2490,2490,0,31,-15,1,13,1,5,5,210,180,99,47,211,,,,,,,,,,1,
1117,2491,2491,0,31,-15,1,13,1,6,5,267,99,389,336,293,0,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1118,2492,2492,0,31,-15,1,13,1,6,6,150,123,336,89,296,342,,,,,,,,,1,
1119,2493,2493,0,31,-15,1,251,1,2,2,149,13,,,,,,,,,,,,,1,
1120,2495,2495,0,31,-15,1,45,1,6,6,204,155,211,249,180,267,,,,,,,,,1,
1121,2496,2496,0,31,-15,1,999,1,5,4,0,59,97,226,342,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1122,2497,2497,0,31,-15,1,0,2,2,2,102,15,,,,,,,,,,,,,1,
1123,2498,2498,0,31,-15,1,13,1,5,5,391,123,70,53,342,,,,,,,,,,1,
1124,2499,2499,0,31,-15,1,0,1,3,3,204,230,342,,,,,,,,,,,,1,
1125,2500,2500,0,31,-15,1,45,1,2,2,375,52,,,,,,,,,,,,,1,
1126,2501,2501,0,31,-15,1,11,1,4,4,293,123,343,250,,,,,,,,,,,1,
1127,2502,2502,0,31,-15,1,13,1,3,3,67,244,342,,,,,,,,,,,,1,
1128,2503,2503,0,31,-15,1,13,1,4,4,267,99,76,12,,,,,,,,,,,1,
1129,2504,2504,0,31,-15,1,71,1,5,5,267,99,86,72,211,,,,,,,,,,1,
1130,2505,2505,10,31,-15,1,0,1,2,2,182,149,,,,,,,,,,,,,1,
1131,2505,2505,20,31,-15,1,0,1,4,4,216,123,149,342,,,,,,,,,,,1,
1132,2506,2506,0,31,-15,1,13,1,3,3,389,296,342,,,,,,,,,,,,1,
1133,2507,2507,0,31,-15,1,13,1,6,6,375,65,72,336,89,211,,,,,,,,,1,
1134,2508,2508,10,31,-15,1,0,1,2,2,182,149,,,,,,,,,,,,,1,
1135,2508,2508,20,31,-15,1,0,1,4,4,216,123,149,342,,,,,,,,,,,1,
1136,2509,2509,0,31,-15,1,999,5,2,2,1,1,,,,,,,,,,,,,0,direction_not_in_strict_set
1137,2511,2511,0,31,-15,1,13,1,6,6,150,97,253,230,347,*342,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1138,2512,2512,0,31,-15,1,71,1,4,3,267,99,375,0,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1139,2513,2513,0,31,-15,1,13,1,5,5,*267,99,98,67,60,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1140,2514,2514,0,31,-15,1,13,1,2,2,102,15,,,,,,,,,,,,,1,
1141,2515,2515,0,31,-15,1,0,1,4,4,184,249,345,98,,,,,,,,,,,1,
1142,2516,2516,1,31,-15,1,131,3,1,1,86,,,,,,,,,,,,,,1,
1143,2516,2516,2,31,-15,1,131,3,1,1,211,,,,,,,,,,,,,,1,
1144,2517,2517,0,31,-15,1,71,1,3,3,336,51,342,,,,,,,,,,,,1,
1145,2518,2518,1,31,-15,1,91,1,6,6,16,125,343,48,342,1,,,,,,,,,1,
1146,2518,2518,2,31,-15,1,91,3,1,1,391,,,,,,,,,,,,,,1,
1147,2518,2518,3,31,-15,1,91,3,1,1,*197,,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1148,2519,2519,1,31,-15,1,13,1,4,4,87,261,249,307,,,,,,,,,,,1,
1149,2519,2519,2,31,-15,1,13,1,4,4,59,347,342,12,,,,,,,,,,,1,
1150,2520,2520,0,31,-15,1,13,1,3,3,65,113,342,,,,,,,,,,,,1,
1151,2521,2521,0,31,-16,1,251,1,6,6,391,123,98,249,162,342,,,,,,,,,1,
1152,2522,2522,0,31,-16,1,730,1,7,7,284,99,124,342,402,59,86,,,,,,,,1,
1153,2523,2523,0,31,-16,1,13,1,5,5,267,99,65,59,211,,,,,,,,,,1,
1154,2524,2524,0,31,-16,1,13,1,6,6,104,59,123,336,89,211,,,,,,,,,1,
1155,2525,2525,0,31,-16,1,0,2,2,2,106,169,,,,,,,,,,,,,1,
1156,2526,2526,0,31,-16,1,0,1,4,4,86,67,8,342,,,,,,,,,,,1,
1157,2527,2527,0,31,-16,1,95,1,3,3,84,50,176,,,,,,,,,,,,1,
1158,2528,2528,0,31,-16,1,0,1,6,6,391,99,389,182,293,169,,,,,,,,,1,
1159,2529,2529,0,31,-16,1,0,1,6,5,0,97,327,17,261,86,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1160,2530,2530,0,31,-16,1,13,1,2,2,200,391,,,,,,,,,,,,,1,
1161,2531,2531,0,31,-16,1,999,1,4,4,391,99,294,342,,,,,,,,,,,1,
1162,2532,2532,0,31,-16,1,13,1,6,6,109,129,123,65,59,*211,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1163,2533,2533,0,31,-16,1,13,1,5,5,267,99,171,8,342,,,,,,,,,,1,
1164,2534,2534,0,31,-16,1,45,1,3,3,72,387,342,,,,,,,,,,,,1,
1165,2535,2535,0,31,-16,1,31,1,4,4,151,97,124,*342,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1166,2536,2536,0,31,-16,1,13,1,7,7,216,123,65,211,373,127,373,,,,,,,,1,
1167,2537,2537,0,31,-24,1,0,1,11,11,293,123,344,389,171,59,67,51,130,149,342,,,,1,
1168,2538,2538,0,31,-16,1,13,1,5,5,162,1,162,48,342,,,,,,,,,,1,
1169,2539,2539,0,31,-16,1,13,1,8,8,375,267,99,53,342,72,155,211,,,,,,,1,
1170,2540,2540,0,31,-16,1,13,1,3,3,102,15,176,,,,,,,,,,,,1,
1171,2541,2541,0,31,-16,1,0,1,7,7,53,171,59,336,89,216,254,,,,,,,,1,
1172,2542,2542,10,31,-16,1,0,1,4,3,0,123,102,169,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1173,2542,2542,20,31,-16,1,0,1,5,4,0,336,89,296,342,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1174,2543,2543,1,31,-16,1,13,1,6,5,*307,86,99,67,72,0,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1175,2543,2543,2,31,-16,1,13,1,3,3,244,51,267,,,,,,,,,,,,1,
1176,2545,2545,0,31,-16,1,11,1,5,5,267,99,65,222,254,,,,,,,,,,1,
1177,2546,2546,0,31,-16,1,13,1,2,2,38,375,,,,,,,,,,,,,1,
1178,2547,2547,0,31,-16,1,12,1,4,3,102,216,*245,0,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1179,2548,2548,0,31,-16,1,13,1,6,6,303,252,99,205,230,211,,,,,,,,,1,
1180,2549,2549,0,31,-16,1,13,1,3,3,51,130,15,,,,,,,,,,,,1,
1181,2551,2551,0,31,-16,1,13,1,5,5,*267,99,86,226,254,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1182,2552,2552,0,31,-17,1,13,1,8,8,267,99,87,59,342,224,97,173,,,,,,,1,
1183,2554,2554,0,31,-17,1,136,1,2,2,284,99,,,,,,,,,,,,,1,
1184,2555,2555,0,31,-17,1,13,1,6,6,267,99,53,72,155,211,,,,,,,,,1,
1185,2556,2556,0,31,-17,1,13,1,5,5,76,402,99,233,342,,,,,,,,,,1,
1186,2557,2557,0,31,-17,1,13,1,3,3,124,25,342,,,,,,,,,,,,1,
1187,2558,2558,1,31,-17,1,0,1,6,5,293,123,343,65,70,0,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1188,2558,2558,2,31,-17,1,0,9,3,1,0,343,0,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1189,2559,2559,0,31,-17,1,999,1,4,3,0,303,391,99,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1190,2560,2560,0,31,-17,1,13,1,3,3,330,245,*342,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1191,2561,2561,0,31,-17,1,13,9,2,1,*002,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1192,2562,2562,0,31,-17,1,13,1,4,3,0,48,193,342,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1193,2563,2563,0,31,-17,1,13,1,7,7,233,127,125,59,99,193,342,,,,,,,,1,
1194,2564,2564,1,31,-17,1,13,1,4,4,249,102,287,99,,,,,,,,,,,1,
1195,2564,2564,2,31,-17,1,13,1,3,3,67,348,342,,,,,,,,,,,,1,
1196,2565,2565,1,31,-17,1,131,3,1,1,109,,,,,,,,,,,,,,1,
1197,2565,2565,2,31,-17,1,131,3,1,1,162,,,,,,,,,,,,,,1,
1198,2566,2566,0,31,-17,1,0,1,8,7,0,336,59,127,97,175,1,175,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1199,2567,2567,0,31,-17,1,31,1,6,6,391,99,105,59,342,1,,,,,,,,,1,
1200,2568,2568,0,31,-17,1,0,1,5,4,386,336,89,333,0,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1201,2569,2569,0,31,-17,1,13,1,6,6,267,99,287,249,162,12,,,,,,,,,1,
1202,2570,2570,0,31,-17,1,13,1,3,2,67,*348,0,,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1203,2571,2571,0,31,-17,1,13,1,3,3,391,81,176,,,,,,,,,,,,1,
1204,2572,2572,0,31,-17,1,13,1,4,4,391,99,102,162,,,,,,,,,,,1,
1205,2573,2573,0,31,-17,1,71,1,6,6,336,89,99,192,347,342,,,,,,,,,1,
1206,2574,2574,0,31,-17,1,13,1,5,5,264,65,59,342,1,,,,,,,,,,1,
1207,2575,2575,0,31,-17,1,0,1,3,3,336,89,211,,,,,,,,,,,,1,
1208,2576,2576,0,31,-17,1,13,1,6,6,391,123,72,253,81,342,,,,,,,,,1,
1209,2577,2577,1,31,-17,1,13,1,2,2,327,342,,,,,,,,,,,,,1,
1210,2577,2577,2,31,-17,1,13,1,2,2,89,177,,,,,,,,,,,,,1,
1211,2578,2578,0,31,-17,1,13,1,6,6,391,99,67,59,341,*342,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1212,2579,2579,0,31,-17,1,0,1,3,3,284,391,87,,,,,,,,,,,,1,
1213,2580,2580,0,31,-17,1,13,1,4,4,267,99,48,342,,,,,,,,,,,1,
1214,2581,2581,0,31,-17,1,45,1,9,9,*153,155,99,86,124,409,96,342,1,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1215,2582,2582,0,31,-17,1,13,1,3,3,375,375,342,,,,,,,,,,,,1,
1216,2583,2583,0,31,-17,1,13,1,7,7,267,99,65,336,89,222,254,,,,,,,,1,
1217,2584,2584,0,31,-18,1,13,1,6,6,399,121,99,70,53,342,,,,,,,,,1,
1218,2585,2585,0,31,-18,1,13,1,2,2,60,242,,,,,,,,,,,,,1,
1219,2587,2587,10,31,-18,1,65,1,3,3,86,102,15,,,,,,,,,,,,1,
1220,2587,2587,21,31,-18,1,0,1,2,2,261,86,,,,,,,,,,,,,1,
1221,2587,2587,22,31,-18,1,0,2,5,4,267,99,67,70,0,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1222,2588,2588,0,31,-18,1,13,1,6,6,98,72,17,173,86,224,,,,,,,,,1,
1223,2589,2589,0,31,-18,1,13,1,4,4,389,336,89,211,,,,,,,,,,,1,
1224,2590,2590,0,31,-18,1,71,1,4,4,267,99,59,211,,,,,,,,,,,1,
1225,2591,2591,0,31,-18,1,13,1,4,4,267,99,348,342,,,,,,,,,,,1,
1226,2592,2592,0,31,-18,1,13,1,3,3,59,59,12,,,,,,,,,,,,1,
1227,2593,2593,0,31,-18,1,13,1,6,6,76,64,99,72,224,342,,,,,,,,,1,
1228,2594,2594,0,31,-18,1,13,1,5,5,102,59,249,162,342,,,,,,,,,,1,
1229,2595,2595,0,31,-18,1,13,1,4,4,196,123,87,30,,,,,,,,,,,1,
1230,2596,2596,0,31,-18,1,11,1,7,7,*160,344,47,173,403,347,342,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1231,2597,2597,1,31,-18,1,13,1,5,4,397,267,343,197,0,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1232,2597,2597,2,31,-18,1,13,9,2,1,400,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1233,2598,2598,1,31,-18,1,13,1,5,5,293,123,48,62,342,,,,,,,,,,1,
1234,2598,2598,2,31,-18,1,13,1,4,4,177,197,373,373,,,,,,,,,,,1,
1235,2599,2599,0,31,-18,1,0,1,8,8,182,293,344,387,171,59,397,169,,,,,,,1,
1236,2600,2600,0,31,-18,1,0,1,3,3,249,169,342,,,,,,,,,,,,1,
1237,2601,2601,1,31,-18,1,13,1,5,5,415,277,99,102,190,,,,,,,,,,1,
1238,2601,2601,2,31,-18,1,13,2,2,2,153,127,,,,,,,,,,,,,1,
1239,2602,2602,0,31,-18,1,13,1,2,2,2,12,,,,,,,,,,,,,1,
1240,2603,2603,0,31,-18,1,0,1,7,7,17,293,136,193,204,234,176,,,,,,,,1,
1241,2604,2604,11,31,-18,1,0,2,3,3,17,250,176,,,,,,,,,,,,1,
1242,2604,2604,12,31,-18,1,0,2,5,5,102,*097,149,89,328,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
1243,2604,2604,29,31,-18,1,441,0,0,0,,,,,,,,,,,,,,,0,no_text|direction_not_in_strict_set
1244,2605,2605,0,31,-18,1,11,1,4,4,171,59,341,342,,,,,,,,,,,1,
1245,2606,2606,0,31,-18,1,137,1,2,2,294,342,,,,,,,,,,,,,1,
1246,2607,2607,0,31,-18,1,31,1,3,3,153,153,342,,,,,,,,,,,,1,
1247,2608,2608,0,31,-18,1,13,1,3,3,65,327,342,,,,,,,,,,,,1,
1248,2609,2609,0,31,-18,1,31,1,6,6,293,123,343,249,162,12,,,,,,,,,1,
1249,2610,2610,0,31,-18,1,31,1,3,2,171,8,0,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1250,2611,2611,1,31,-18,1,31,1,4,4,150,302,99,15,,,,,,,,,,,1,
1251,2611,2611,2,31,-18,1,31,1,2,2,124,12,,,,,,,,,,,,,1,
1252,2612,2612,0,31,-18,1,13,1,6,6,267,342,86,75,245,245,,,,,,,,,1,
1253,2613,2613,0,31,-18,1,13,1,4,4,293,123,343,250,,,,,,,,,,,1,
1254,2614,2614,0,31,-18,1,13,1,10,10,84,59,160,343,387,67,87,59,155,211,,,,,1,
1255,2615,2615,0,31,-18,1,31,1,5,5,307,180,87,261,87,,,,,,,,,,1,
1256,2616,2616,0,31,-19,1,13,1,3,3,345,180,86,,,,,,,,,,,,1,
1257,2617,2617,0,31,-19,1,13,1,8,8,400,293,97,72,336,89,86,91,,,,,,,1,
1258,2618,2618,0,31,-19,1,13,1,5,5,267,99,67,244,342,,,,,,,,,,1,
1259,2620,2620,0,31,-19,1,13,1,3,3,345,409,94,,,,,,,,,,,,1,
1260,2621,2621,0,31,-19,1,13,1,5,5,291,343,336,51,342,,,,,,,,,,1,
1261,2622,2622,0,31,-19,1,13,1,3,3,301,155,211,,,,,,,,,,,,1,
1262,2623,2623,0,31,-19,1,13,1,4,4,267,99,124,342,,,,,,,,,,,1,
1263,2625,2625,0,31,-19,1,13,1,5,5,391,123,86,68,176,,,,,,,,,,1,
1264,2626,2626,10,31,-19,1,0,1,2,2,197,86,,,,,,,,,,,,,1,
1265,2626,2626,20,31,-19,1,31,1,5,5,197,86,99,102,162,,,,,,,,,,1,
1266,2627,2627,0,31,-19,1,0,1,4,3,0,171,8,*342,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
1267,2628,2628,0,31,-19,1,13,1,5,5,336,209,391,124,12,,,,,,,,,,1,
1268,2629,2629,0,31,-19,1,13,1,3,3,86,260,342,,,,,,,,,,,,1,
1269,2630,2630,0,31,-19,1,13,1,4,4,267,99,17,38,,,,,,,,,,,1,
1270,2631,2631,0,31,-19,1,13,1,5,5,267,99,153,153,342,,,,,,,,,,1,
1271,2632,2632,0,31,-20,1,13,1,7,7,293,15,99,102,17,8,342,,,,,,,,1,
1272,2633,2633,0,31,-20,1,45,1,3,3,284,102,15,,,,,,,,,,,,1,
1273,2634,2634,0,31,-20,1,13,1,4,4,264,9,342,1,,,,,,,,,,,1,
