"target","role","label","label_families","proxy_kind","proxy_field","top_proxy_value","top_proxy_count","proxy_total_for_label","top_proxy_share"
"thickness_bin","dimension_anchor","th_000_003","110","sign","edge_frame","400...240","3","110","0.027273"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","length","5","10","49","0.204082"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","type","SEAL:S","34","49","0.693878"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","site","Mohenjo-daro","33","49","0.673469"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","region","Lower Indus","41","49","0.836735"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","material","Steatite","37","47","0.787234"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","shape","square","35","45","0.777778"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","symbol","Bull1:W","18","40","0.45"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","cult","SAN","18","30","0.6"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","period","Late","14","27","0.518519"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","phase","II","7","26","0.269231"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","direction","R/L","48","49","0.979592"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","horizontal_bin","h_gt_035","32","49","0.653061"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","vertical_bin","v_gt_030","23","46","0.5"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","area_bin","area_gt_1000","23","46","0.5"
"thickness_bin","dimension_anchor","th_gt_012","49","metadata","aspect_bin","aspect_squareish","34","46","0.73913"
"thickness_bin","dimension_anchor","th_gt_012","49","sign","first_sign","740","21","49","0.428571"
"thickness_bin","dimension_anchor","th_gt_012","49","sign","last_sign","806","4","49","0.081633"
"thickness_bin","dimension_anchor","th_gt_012","49","sign","edge_frame","740...032","3","49","0.061224"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","length","5","140","598","0.234114"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","type","SEAL:S","463","598","0.774247"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","site","Mohenjo-daro","432","598","0.722408"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","region","Lower Indus","459","598","0.767559"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","material","Steatite","459","539","0.851577"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","shape","square","481","589","0.816638"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","symbol","Bull1:W","122","508","0.240157"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","cult","SAN","224","420","0.533333"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","period","Intermediate","112","288","0.388889"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","phase","III","93","331","0.280967"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","direction","R/L","591","598","0.988294"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","horizontal_bin","h_025_035","373","598","0.623746"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","vertical_bin","v_020_030","457","598","0.764214"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","thickness_bin","th_007_012","196","304","0.644737"
"area_bin","dimension_anchor","area_0500_1000","598","metadata","aspect_bin","aspect_squareish","482","598","0.80602"
"area_bin","dimension_anchor","area_0500_1000","598","sign","first_sign","740","251","598","0.419732"
"area_bin","dimension_anchor","area_0500_1000","598","sign","last_sign","817","53","598","0.088629"
"area_bin","dimension_anchor","area_0500_1000","598","sign","edge_frame","740...817","30","598","0.050167"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","length","3","107","469","0.228145"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","type","SEAL:S","251","469","0.535181"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","site","Mohenjo-daro","276","469","0.588486"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","region","Lower Indus","287","469","0.61194"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","material","Steatite","314","415","0.756627"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","shape","square","257","465","0.552688"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","symbol","Bull1","36","289","0.124567"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","cult","SAN","142","233","0.609442"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","period","Intermediate","94","227","0.414097"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","phase","III","65","285","0.22807"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","direction","R/L","447","469","0.953092"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","horizontal_bin","h_015_025","326","469","0.695096"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","vertical_bin","v_010_020","325","469","0.692964"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","thickness_bin","th_003_007","146","247","0.591093"
"area_bin","dimension_anchor","area_0200_0500","469","metadata","aspect_bin","aspect_squareish","265","469","0.565032"
"area_bin","dimension_anchor","area_0200_0500","469","sign","first_sign","740","158","469","0.336887"
"area_bin","dimension_anchor","area_0200_0500","469","sign","last_sign","820","32","469","0.06823"
"area_bin","dimension_anchor","area_0200_0500","469","sign","edge_frame","740...820","12","469","0.025586"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","length","3","108","315","0.342857"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","type","TAB:B","135","315","0.428571"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","site","Harappa","276","315","0.87619"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","region","Inter-Riverine","279","315","0.885714"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","material","Steatite","160","281","0.569395"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","shape","rectangular","183","315","0.580952"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","symbol","Bult","36","107","0.336449"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","cult","SAN","15","25","0.6"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","period","3","150","163","0.920245"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","phase","B/C","82","234","0.350427"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","direction","R/L","273","315","0.866667"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","horizontal_bin","h_015_025","183","315","0.580952"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","vertical_bin","v_000_010","267","315","0.847619"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","thickness_bin","th_000_003","77","147","0.52381"
"area_bin","dimension_anchor","area_0000_0200","315","metadata","aspect_bin","aspect_wide","172","315","0.546032"
"area_bin","dimension_anchor","area_0000_0200","315","sign","first_sign","400","91","315","0.288889"
"area_bin","dimension_anchor","area_0000_0200","315","sign","last_sign","240","16","315","0.050794"
"area_bin","dimension_anchor","area_0000_0200","315","sign","edge_frame","400...240","8","315","0.025397"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","length","6","41","218","0.188073"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","type","SEAL:S","206","218","0.944954"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","site","Mohenjo-daro","148","218","0.678899"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","region","Lower Indus","157","218","0.720183"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","material","Steatite","190","201","0.945274"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","shape","square","209","213","0.981221"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","symbol","Bull1:W","133","214","0.621495"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","cult","SAN","101","176","0.573864"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","period","Intermediate","35","83","0.421687"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","phase","III","35","107","0.327103"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","direction","R/L","214","218","0.981651"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","horizontal_bin","h_gt_035","128","218","0.587156"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","vertical_bin","v_gt_030","214","218","0.981651"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","thickness_bin","th_007_012","64","100","0.64"
"area_bin","dimension_anchor","area_gt_1000","218","metadata","aspect_bin","aspect_squareish","210","218","0.963303"
"area_bin","dimension_anchor","area_gt_1000","218","sign","first_sign","740","89","218","0.408257"
"area_bin","dimension_anchor","area_gt_1000","218","sign","last_sign","820","16","218","0.073394"
"area_bin","dimension_anchor","area_gt_1000","218","sign","edge_frame","740...820","11","218","0.050459"
"aspect_bin","dimension_anchor","aspect_squareish","986","metadata","length","5","210","986","0.212982"
"aspect_bin","dimension_anchor","aspect_squareish","986","metadata","type","SEAL:S","923","986","0.936105"
"aspect_bin","dimension_anchor","aspect_squareish","986","metadata","site","Mohenjo-daro","672","986","0.681542"
"aspect_bin","dimension_anchor","aspect_squareish","986","metadata","region","Lower Indus","717","986","0.727181"
