id,object,site,type,symbol,cult,full_left,left_last1,left_last2,after_002_head,after_002_tail,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,source_status,text
1172.1,H-131,Harappa,SEAL:R,None,None,740 032 840 233 240 033 706 055,055,706 055,595,595 575 794 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-032-840-233-240-033-706-055-002-595-575-794-000+
1175.1,H-134,Harappa,SEAL:R,None,None,740 405 590 220 003,003,220 003,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-405-590-220-003-002-861+
1176.1,H-135,Harappa,SEAL:R,None,None,740 773 231 806,806,231 806,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-773-231-806-002-861+
1178.1,H-137,Harappa,SEAL:R,None,None,740 443 388 033 705 233,233,705 233,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-443-388-033-705-233-002-817+
1181.1,H-140,Harappa,SEAL:R,None,None,740 384 032,032,384 032,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-384-032-002-817+
1182.1,H-141,Harappa,SEAL:R,None,None,405 032 900 003 070,070,003 070,233,233 235,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-032-900-003-070-002-233-235+
1190.1,H-149,Harappa,SEAL:R,None,None,405 061 033 706 794 630 220,220,630 220,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-061-033-706-794-630-220-002-820+
1204.1,H-164,Harappa,SEAL:R,None,None,161 097,097,161 097,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+161-097-002-817+
1211.1,H-177,Harappa,TAB:B,Scene,None,700 033 151 706 031,031,706 031,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+700-033-151-706-031-002-817+
1258.1,H-231,Harappa,TAB:B,None,None,520 220 240,240,220 240,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-220-240-002-820+
1269.1,H-244,Harappa,TAB:B,None,SAN,104,104,104,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+104-002-820+
1277.1,H-252,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1278.1,H-253,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1279.1,H-254,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1280.1,H-255,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1281.1,H-256,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1282.1,H-257,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1283.1,H-258,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1284.1,H-259,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1285.1,H-260,Harappa,TAB:B,Bull1,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1286.1,H-261,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1287.1,H-262,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1288.1,H-263,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1289.1,H-264,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1290.1,H-265,Harappa,TAB:B,Bull1,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1293.1,H-268,Harappa,SEAL:S,Bull1:W,SAN,740 585 017 033 706 803,803,706 803,220,220 455 920,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-017-033-706-803-002-220-455-920+
1296.1,H-272,Harappa,SEAL:S,Bull1,-,740 585 017 240,240,017 240,305,305 032 904,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-017-240-002-305-032-904+
1297.1,H-273,Harappa,SEAL:S,Bull1,-,000 240,240,000 240,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-240-002-820+
1298.1,H-276,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1299.1,H-277,Harappa,TAB:B,Bull1,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1307.1,H-285,Harappa,TAB:I,None,None,740 382,382,740 382,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-382-002[
1314.1,H-292,Harappa,TAB:I,None,SAN,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
1315.1,H-293,Harappa,TAB:I,None,SAN,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
1394.1,H-375,Harappa,POT:T:g,None,None,000 220,220,000 220,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-220-002-000[
1398.1,H-383,Harappa,SEAL:S,Bull1:Q,SAN,740 585 017 033 705,705,033 705,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-017-033-705-002-000+
1399.1,H-385,Harappa,SEAL:S,Bull1:W,SAF,000 220,220,000 220,595,595 632 354 850,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-220-002-595-632-354-850+
1401.1,H-388,Harappa,SEAL:S,Bull1:W,SAF,520 033 706 231 806,806,231 806,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-706-231-806-002-817+
1402.1,H-389,Harappa,SEAL:S,Bull1:W,SAN,740 405 590 235,235,590 235,031,031 480 625,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-405-590-235-002-031-480-625+
1410.1,H-405,Harappa,SEAL:S,Bull1:W,SAN,236 806,806,236 806,863,863,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+236-806-002-863+
1412.1,H-407,Harappa,SEAL:S,Bull1:W,SAF,390 003,003,390 003,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-003-002-817+
1413.1,H-408,Harappa,SEAL:S,Bull1:W,SAN,740 176 240,240,176 240,702,702 503,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-176-240-002-702-503+
1414.1,H-410,Harappa,SEAL:S,Bull1:L,SAN,368 840 830,830,840 830,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+368-840-830-002-861+
1420.1,H-417,Harappa,SEAL:S,Bull1:W,-,740 255 706,706,255 706,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-255-706-002-000[
1426.1,H-426,Harappa,SEAL:S,Bull1,-,000 240 235,235,240 235,460,460 511,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-240-235-002-460-511+
1434.1,H-444,Harappa,SEAL:S,Bull1:W,SAF,241 220 032,032,220 032,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+241-220-032-002-861+
1435.1,H-445,Harappa,SEAL:S,Bull1:W,SAF,235 803,803,235 803,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]235-803-002-000+
1436.1,H-446,Harappa,SEAL:S,Bull1:J,SAN,740 585 798,798,585 798,861,861 216,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-798-002-861-216+
1445.1,H-455,Harappa,SEAL:S,Bull1:J,SAN,520 033 705,705,033 705,172,172 032,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-705-002-172-032+
1446.1,H-456,Harappa,SEAL:S,Bull1:I,SAN,520 033 706,706,033 706,817,817 808,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-706-002-817-808+
1447.1,H-457,Harappa,SEAL:S,Bull1:J,SAF,740 798 003,003,798 003,416,416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-798-003-002-416+
1449.1,H-459,Harappa,SEAL:S,Bull1:T,SAN,527 555 231,231,555 231,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+527-555-231-002-817+
1450.1,H-461,Harappa,SEAL:S,Bull1:S,SAF,090 740 384,384,740 384,452,452 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+090-740-384-002-452-000+
1452.1,H-464,Harappa,SEAL:S,Bull1:U,SAF,000 176,176,000 176,798,798 590 032,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-176-002-798-590-032+
1456.1,H-468,Harappa,SEAL:S,Bull1:J,HAF,740 900 003,003,900 003,940,940 705,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-900-003-002-940-705+
1463.1,H-476,Harappa,SEAL:S,Bull1:W,SAN,740 100 717,717,100 717,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-100-717-002-000[
1466.1,H-478,Harappa,SEAL:S,Bull1:W,SAN,740 770 235,235,770 235,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-770-235-002-817+
1468.1,H-480,Harappa,SEAL:S,Bull1,SAN,<START>,<START>,<START>,416,416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]002-416+
1472.1,H-484,Harappa,SEAL:S,Bull1,-,233,233,233,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]233-002-817+
1474.1,H-486,Harappa,SEAL:S,Bull1,-,<START>,<START>,<START>,000,000 861 031,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]002-000-861-031+
1479.1,H-501,Harappa,SEAL:S,Bull1,SAN,520 233 803,803,233 803,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-233-803-002-817+
1484.1,H-506,Harappa,SEAL:S,Bull1:I,SAN,294 350 595 820,820,595 820,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+294-350-595-820-002-820+
1485.1,H-507,Harappa,SEAL:S,Bull1,SAN,000 032,032,000 032,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-032-002-820+
1491.1,H-514,Harappa,SEAL:S,Bull1:W,RAN,151 220 016,016,220 016,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+151-220-016-002-820+
1515.1,H-561,Harappa,SEAL:S,-,-,226,226,226,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+226-002-000[
1517.1,H-563,Harappa,SEAL,-,-,740 335,335,740 335,630,630,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-335-002-630[
1526.1,H-574,Harappa,SEAL,-,-,000 803,803,000 803,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-803-002-820+
1537.1,H-593,Harappa,SEAL:S,-,-,740 760 235 240,240,235 240,220,220 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-760-235-240-002-220-000[
1540.1,H-597,Harappa,SEAL:S,Bull1:J,SAN,740 390 590 070 032,032,070 032,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-390-590-070-032-002-861+
1540.2,H-597,Harappa,SEAL:S,Bull1:J,SAN,740 390 590 070 032,032,070 032,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-390-590-070-032-002-861+
1541.2,H-598,Harappa,SEAL:S,Bull1:W,SAN,740 639 240,240,639 240,435,435 255 777,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-639-240-002-435-255-777+
1543.1,H-600,Harappa,SEAL:S,Bull1:I,SAF,<START>,<START>,<START>,368,368 260,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-368-260+
1549.1,H-609,Harappa,SEAL:S,Bull1:W,SAN,798 233 231,231,233 231,817,817 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]798-233-231-002-817-000+
1551.1,H-611,Harappa,SEAL:S,None,None,527 550,550,527 550,125,125 590,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+527-550-002-125-590+
1552.1,H-612,Harappa,SEAL:S,Bull1:L,SAN,740 615 495,495,615 495,825,825,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-615-495-002-825+
1554.1,H-639,Harappa,SEAL:R,None,None,407 000 000 705 832 904 845 235,235,845 235,717,717 747,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+407-000-000-705-832-904-845-235-002-717-747+
1555.1,H-640,Harappa,SEAL:R,None,None,220 032,032,220 032,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]220-032-002-817+
1564.1,H-649,Harappa,SEAL:R,None,None,520 033 705 233 240 806,806,240 806,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-705-233-240-806-002-820+
1566.1,H-651,Harappa,SEAL:R,None,None,031,031,031,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]031-002-861+
1568.1,H-653,Harappa,SEAL:R,None,None,000 000 000 000,000,000 000,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-000-000-000-002-820+
1573.1,H-658,Harappa,SEAL:R,None,None,900,900,900,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]900-002-817+
1578.1,H-663,Harappa,SEAL:R,None,None,405,405,405,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]405-002[
1594.1,H-688,Harappa,SEAL,None,None,520 233,233,520 233,861,861 831 165,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-233-002-861-831-165+
1602.1,H-697,Harappa,TAB:B,Bull2,SAN,740 904 240,240,904 240,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-904-240-002-817+
1606.1,H-701,Harappa,TAB:B,Goat,Plant,240,240,240,418,418,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]240-002-418+
1607.1,H-702,Harappa,TAB:B,Mult,None,137,137,137,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+137-002-820+
1611.1,H-706,Harappa,TAB:B,Gavi,None,700 033 137,137,033 137,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+700-033-137-002-820+
1622.1,H-719,Harappa,TAB:B,Phyt,None,405 004,004,405 004,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-004-002-861+
1665.1,H-773,Harappa,TAB:B,None,None,740 798 803,803,798 803,390,390 530 741,530,741,no,yes,source_panel_acquired_boxed_window_compatible_token_not_strict,+740-798-803-002-390-530-741+
1695.1,H-806,Harappa,TAB:B,None,None,740 482 240,240,482 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-482-240-002-861+
1696.1,H-807,Harappa,TAB:B,None,None,740 482 240,240,482 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-482-240-002-861+
1697.1,H-808,Harappa,TAB:B,None,None,740 482 240,240,482 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-482-240-002-861+
1700.1,H-811,Harappa,TAB:B,None,None,317 740 335 740 176,176,740 176,920,920 491,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+317-740-335-740-176-002-920-491+
1717.1,H-829,Harappa,TAB:B,None,None,139,139,139,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+139-002-820+
1719.1,H-833,Harappa,TAB:B,None,None,526 554,554,526 554,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+526-554-002-820+
1724.1,H-838,Harappa,TAB:B,None,None,740 615 495,495,615 495,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-615-495-002-817+
1730.1,H-844,Harappa,TAB:B,Xhch,None,740 840,840,740 840,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-840-002+
1742.1,H-859,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1743.1,H-860,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1744.1,H-861,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1745.1,H-862,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1746.1,H-863,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1747.1,H-864,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1748.1,H-865,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1749.1,H-866,Harappa,TAB:B,Bull1:U,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1750.1,H-867,Harappa,TAB:B,Bull1:U,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1751.1,H-868,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1752.1,H-869,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1753.1,H-870,Harappa,TAB:B,Bull1:I,None,520 240,240,520 240,405,405 501,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-240-002-405-501+
1769.1,H-887,Harappa,TAB:I,None,SAN,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
1786.1,H-904,Harappa,TAB:I,None,None,740 032 840,840,032 840,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-032-840-002+
1791.1,H-909,Harappa,TAB:I,None,None,<START>,<START>,<START>,820,820 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-820-000[
1792.1,H-910,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
1875.1,Jk-2,Jhukar,SEAL:S,Bull1:J,SAN,740 803 233,233,803 233,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-803-233-002-817+
1878.1,K-2,Kalibangan,SEAL:S,Bull1:W,RBF,740 585 017,017,585 017,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-017-002-000+
1879.1,K-4,Kalibangan,SEAL:S,Bull1:W,SAF,036 269 140,140,269 140,741,741 060 920,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+036-269-140-002-741-060-920+
1885.1,K-10,Kalibangan,SEAL:S,Bull1:I,RAN,740 690 435 255,255,435 255,368,368 861 590 032 368,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-690-435-255-002-368-861-590-032-368+
1887.1,K-12,Kalibangan,SEAL:S,Bull1:I,RAN,000 003,003,000 003,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-003-002-820+
1893.1,K-18,Kalibangan,SEAL:S,Bull1:X,RAF,307,307,307,762,762 463 140,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+307-002-762-463-140+
1897.1,K-23,Kalibangan,SEAL:S,Bull1:I,RAN,740 441,441,740 441,820,820 033,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-441-002-820-033+
1898.1,K-24,Kalibangan,SEAL:S,Bull1,R,740 760 093,093,760 093,252,252 575,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-760-093-002-252-575+
1899.1,K-25,Kalibangan,SEAL:S,Bull1,-,520 231,231,520 231,220,220 065 132 082,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-231-002-220-065-132-082+
1901.1,K-27,Kalibangan,SEAL:S,Bull2,None,<START>,<START>,<START>,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-817+
1902.1,K-28,Kalibangan,SEAL:S,Gaur,None,440 411 740 335,335,740 335,285,285 491,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+440-411-740-335-002-285-491+
1906.1,K-33,Kalibangan,SEAL:S,Buff,Trough,226,226,226,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+226-002-861+
1908.1,K-40,Kalibangan,SEAL:S,Elep,None,760 031,031,760 031,861,861 791 440 717,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+760-031-002-861-791-440-717+
1910.1,K-44,Kalibangan,SEAL:S,-,-,740 337 176,176,337 176,000,000 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-337-176-002-000-000[
1917.1,K-54,Kalibangan,SEAL:S,None,None,000,000,000,870,870,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-002-870+
1927.1,K-69,Kalibangan,TAG,Bull1,-,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
1928.1,K-70,Kalibangan,TAG,Bull1,-,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
1929.1,K-71,Kalibangan,TAG,None,None,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
1930.1,K-72,Kalibangan,TAG,Bull1,-,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
1931.1,K-73,Kalibangan,TAG,Bull1,-,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
1932.1,K-74,Kalibangan,TAG,Bull1,-,892 890 417,417,890 417,056,056 091,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+892-890-417-002-056-091+
