policy,cisi,length,sequence
provisional_high_medium_map,M-52,10,P324 L904 P145 P050 L415 P060 P364 P122 L504 L717
provisional_high_medium_map,M-53,9,P013 P324 P050 P126 P122 L297 L190 L920 P011
provisional_high_medium_map,M-54,7,L236 P062 P147 P316 L798 P122 P378
provisional_high_medium_map,M-56,8,P324 L877 P145 P060 P120 P230 L611 P349
provisional_high_medium_map,M-57,6,L226 P145 P056 L798 P122 L693
provisional_high_medium_map,M-58,5,P324 L460 P210 P122 P385
provisional_high_medium_map,M-59,5,P202 P123 L742 P120 L920
provisional_high_medium_map,M-63,4,L526 L555 P120 P230
provisional_high_medium_map,M-64,6,P217 P147 L706 P120 P050 L004
provisional_high_medium_map,M-65,6,P217 P050 P144 P121 L706 L575
provisional_high_medium_map,M-69,5,P324 P364 P056 P120 P256
provisional_high_medium_map,M-70,5,L226 P145 P122 P086 P256
provisional_high_medium_map,M-71,6,L151 L279 L142 P122 P086 L095
provisional_high_medium_map,M-74,4,L595 L575 L704 P011
provisional_high_medium_map,M-75,5,P217 P050 L004 P122 P385
provisional_high_medium_map,M-77,5,L832 P086 P364 P122 P385
provisional_high_medium_map,M-78,4,P324 L344 P145 L545
provisional_high_medium_map,M-80,5,P004 P123 P120 P202 P385
provisional_high_medium_map,M-82,6,P324 L222 P122 L207 P230 P086
provisional_high_medium_map,M-83,3,P086 L018 L796
provisional_high_medium_map,M-84,6,P324 L765 P062 P121 P202 L920
provisional_high_medium_map,M-85,5,P217 P058 L741 L081 L272
provisional_high_medium_map,M-86,7,P217 P147 P316 P056 P122 P378 L700
provisional_high_medium_map,M-87,3,L400 L890 L104
provisional_high_medium_map,M-88,3,L527 L388 P058
provisional_high_medium_map,M-89,5,P324 L794 L734 P145 P060
provisional_high_medium_map,M-90,6,P324 P349 L013 P144 P122 P385
provisional_high_medium_map,M-91,9,P324 L100 L798 P050 P145 P122 P385 P073 L416
provisional_high_medium_map,M-92,7,P324 L798 L460 L350 P122 L814 L084
provisional_high_medium_map,M-93,5,P004 P123 P062 L741 L345
provisional_high_medium_map,M-94,5,P324 P086 L590 P050 P123
provisional_high_medium_map,M-95,5,P086 P123 P122 L111 L165
provisional_high_medium_map,M-96,2,P004 L004
provisional_high_medium_map,M-97,3,P004 L435 P073
provisional_high_medium_map,M-99,5,P324 L215 P122 P202 L119
provisional_high_medium_map,M-100,6,P013 P324 P073 P316 P122 P385
provisional_high_medium_map,M-101,6,P086 P210 P324 L168 P122 P385
provisional_high_medium_map,M-102,4,L154 P123 L900 L545
provisional_high_medium_map,M-103,4,P086 L004 P122 P378
provisional_high_medium_map,M-104,5,P013 P324 P050 P060 L853
provisional_high_medium_map,M-107,6,P324 L565 P058 P122 L940 L260
provisional_high_medium_map,M-108,7,L413 P378 P050 P201 L798 P230 P378
provisional_high_medium_map,M-109,7,P324 L879 P050 L415 P122 L287 P011
provisional_high_medium_map,M-112,8,P324 P332 P050 P126 L382 L741 L572 L684
provisional_high_medium_map,M-113,6,P324 P145 P349 L741 P120 L920
provisional_high_medium_map,M-114,6,P324 P332 L440 P122 L297 L416
provisional_high_medium_map,M-115,8,P086 L844 P011 P194 P364 P122 L301 L190
provisional_high_medium_map,M-116,7,P324 L100 P194 P349 L013 P122 P385
provisional_high_medium_map,M-117,8,P217 P147 P316 P050 P364 L055 P122 P378
provisional_high_medium_map,M-118,8,P324 L772 P147 P316 P058 P364 P122 P385
provisional_high_medium_map,M-119,10,L151 L337 L484 P122 P086 L125 L632 P145 L900 L563
provisional_high_medium_map,M-121,5,P324 L900 L790 P058 L798
provisional_high_medium_map,M-122,3,P217 P147 P316
provisional_high_medium_map,M-123,4,L400 L093 P202 L072
provisional_high_medium_map,M-124,4,P324 P175 P050 P145
provisional_high_medium_map,M-127,5,L565 P324 P050 L741 P194
provisional_high_medium_map,M-128,6,P324 P175 P364 L741 L500 P316
provisional_high_medium_map,M-129,6,P217 P058 P062 P060 L741 L360
provisional_high_medium_map,M-130,6,P324 L094 P050 P145 P122 L144
provisional_high_medium_map,M-131,6,P324 P086 L590 L741 P086 L790
provisional_high_medium_map,M-132,3,P004 P123 L545
provisional_high_medium_map,M-133,8,L527 P230 P062 P050 P073 L812 L906 L388
provisional_high_medium_map,M-134,3,L872 P145 P256
provisional_high_medium_map,M-135,4,P217 P147 P316 P144
provisional_high_medium_map,M-136,7,P013 P324 P050 P126 P144 L908 L545
provisional_high_medium_map,M-138,3,P324 L900 L005
provisional_high_medium_map,M-139,5,P147 L832 L236 L741 L361
provisional_high_medium_map,M-140,7,P324 L336 P122 P050 P201 L440 L455
provisional_high_medium_map,M-142,4,L136 P011 P122 P385
provisional_high_medium_map,M-143,6,P324 L205 P145 P122 L252 P349
provisional_high_medium_map,M-144,6,P324 L100 L415 P062 P122 P385
provisional_high_medium_map,M-145,4,P324 L400 L142 L880
provisional_high_medium_map,M-146,5,P324 P073 L920 P120 P256
provisional_high_medium_map,M-147,6,L226 P364 P122 P050 L455 P217
provisional_high_medium_map,M-148,3,P324 P385 L556
provisional_high_medium_map,M-149,5,P324 P332 L440 P120 P230
provisional_high_medium_map,M-150,2,P324 L832
provisional_high_medium_map,M-151,3,P050 P201 L864
provisional_high_medium_map,M-152,4,P324 L772 P122 P385
provisional_high_medium_map,M-153,3,L269 L130 L190
provisional_high_medium_map,M-154,7,P217 P050 L621 L415 P122 L257 L898
provisional_high_medium_map,M-155,3,P324 P194 P144
provisional_high_medium_map,M-157,7,P324 L900 L790 P058 L798 P121 P378
provisional_high_medium_map,M-158,4,P086 P126 P120 P230
provisional_high_medium_map,M-159,5,P324 L048 L741 L250 L579
provisional_high_medium_map,M-160,6,L151 L243 P144 P122 P378 L741
provisional_high_medium_map,M-163,5,P217 P050 L415 P120 P378
provisional_high_medium_map,M-164,5,P324 L142 L061 P122 P385
provisional_high_medium_map,M-166,6,P086 L844 P062 P364 P122 P385
provisional_high_medium_map,M-170,8,P324 P175 L406 L061 L070 P145 L741 P385
provisional_high_medium_map,M-171,8,L407 L061 P324 P175 P058 P364 P120 P256
provisional_high_medium_map,M-172,6,L405 L018 P121 P050 L786 L850
provisional_high_medium_map,M-173,5,P324 L388 L900 L320 P364
provisional_high_medium_map,M-174,6,P324 P175 P050 P145 P122 P378
provisional_high_medium_map,M-177,4,P086 P123 P122 P364
provisional_high_medium_map,M-178,2,P086 P126
provisional_high_medium_map,M-179,2,P086 P123
provisional_high_medium_map,M-180,2,P324 L621
provisional_high_medium_map,M-181,5,P217 L175 P122 L295 L502
provisional_high_medium_map,M-183,4,P217 P058 P120 L297
provisional_high_medium_map,M-184,4,P013 P324 L101 L853
provisional_high_medium_map,M-182,2,P324 L416
mayig_observed_parpola,M-1,5,P121 P202 P385 P073 P108
mayig_observed_parpola,M-3,3,P320 P145 P094
mayig_observed_parpola,M-5,6,P324 P096 P062 P060 P120 P256
mayig_observed_parpola,M-6,4,P378 P384 P201 P065
mayig_observed_parpola,M-8,3,P316 P011 P270
mayig_observed_parpola,M-9,3,P144 P205 P327
mayig_observed_parpola,M-12,9,P324 P086 P276 P058 P122 P202 P386 P182 P108
mayig_observed_parpola,M-13,3,P202 P205 P035
mayig_observed_parpola,M-14,5,P324 P117 P210 P122 P385
mayig_observed_parpola,M-15,5,P013 P324 P194 P122 P385
mayig_observed_parpola,M-16,4,P378 P026 P151 P346
mayig_observed_parpola,M-17,5,P086 P126 P122 P369 P232
mayig_observed_parpola,M-18,3,P341 P324 P142
mayig_observed_parpola,M-21,8,P091 P121 P324 P272 P256 P145 P122 P385
mayig_observed_parpola,M-24,7,P013 P324 P062 P060 P122 P174 P011
mayig_observed_parpola,M-26,5,P013 P324 P228 P120 P256
mayig_observed_parpola,M-29,9,P324 P142 P062 P060 P364 P122 P050 P221 P210
mayig_observed_parpola,M-30,7,P324 P332 P127 P210 P062 P060 P364
mayig_observed_parpola,M-31,6,P324 P067 P275 P058 P120 P378
mayig_observed_parpola,M-32,4,P086 P123 P122 P385
mayig_observed_parpola,M-33,7,P324 P145 P175 P111 P058 P122 P041
mayig_observed_parpola,M-34,7,P324 P309 P194 P122 P086 P108 P103
mayig_observed_parpola,M-35,7,P324 P086 P276 P058 P056 P122 P007
mayig_observed_parpola,M-36,9,P324 P358 P270 P050 P145 P122 P202 P174 P307
mayig_observed_parpola,M-37,3,P217 P050 P092
mayig_observed_parpola,M-38,13,P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145
mayig_observed_parpola,M-40,5,P089 P122 P301 P186 P125
mayig_observed_parpola,M-42,5,P301 P230 P062 P122 P385
mayig_observed_parpola,M-43,6,P324 P230 P056 P122 P142 P360
mayig_observed_parpola,M-44,8,P324 P332 P147 P316 P364 P122 P154 P296
mayig_observed_parpola,M-46,8,P324 P230 P062 P060 P122 P050 P201 P353
mayig_observed_parpola,M-47,5,P324 P332 P060 P122 P385
mayig_observed_parpola,M-48,6,P086 P378 P215 P120 P202 P154
mayig_observed_parpola,M-51,8,P324 P230 P215 P091 P060 P324 P086 P011
mayig_observed_parpola,M-52,10,P324 P172 P145 P050 P092 P060 P364 P122 P211 P320
mayig_observed_parpola,M-53,9,P013 P324 P050 P126 P122 P205 P076 P154 P011
mayig_observed_parpola,M-54,7,P051 P062 P147 P316 P230 P122 P378
mayig_observed_parpola,M-56,8,P324 P382 P145 P060 P120 P230 P281 P349
mayig_observed_parpola,M-57,6,P051 P145 P056 P230 P122 P258
mayig_observed_parpola,M-58,5,P324 P215 P210 P122 P385
mayig_observed_parpola,M-59,5,P202 P123 P326 P120 P160
mayig_observed_parpola,M-63,4,P301 P230 P120 P230
mayig_observed_parpola,M-64,6,P217 P147 P316 P120 P050 P124
mayig_observed_parpola,M-65,6,P217 P050 P144 P121 P316 P289
mayig_observed_parpola,M-69,5,P324 P364 P056 P120 P256
mayig_observed_parpola,M-70,5,P051 P145 P122 P086 P256
mayig_observed_parpola,M-71,6,P001 P108 P031 P122 P086 P023
mayig_observed_parpola,M-74,4,P280 P289 P316 P011
mayig_observed_parpola,M-75,5,P217 P050 P124 P122 P385
mayig_observed_parpola,M-77,5,P366 P086 P364 P122 P385
mayig_observed_parpola,M-78,4,P324 P043 P145 P226
mayig_observed_parpola,M-80,5,P004 P123 P120 P202 P385
mayig_observed_parpola,M-82,6,P324 P053 P122 P082 P230 P086
mayig_observed_parpola,M-83,3,P086 P128 P180
mayig_observed_parpola,M-84,6,P324 P335 P062 P121 P202 P154
mayig_observed_parpola,M-85,5,P217 P058 P325 P251 P070
mayig_observed_parpola,M-86,7,P217 P147 P316 P056 P122 P378 P310
mayig_observed_parpola,M-87,3,P098 P178 P020
mayig_observed_parpola,M-88,3,P301 P110 P058
mayig_observed_parpola,M-89,5,P324 P358 P313 P145 P060
mayig_observed_parpola,M-90,6,P324 P349 P139 P144 P122 P385
mayig_observed_parpola,M-91,9,P324 P009 P230 P050 P145 P122 P385 P073 P095
mayig_observed_parpola,M-92,7,P324 P075 P215 P091 P122 P369 P253
mayig_observed_parpola,M-93,5,P004 P123 P062 P325 P043
mayig_observed_parpola,M-94,5,P324 P086 P276 P050 P123
mayig_observed_parpola,M-95,5,P086 P123 P122 P040 P342
mayig_observed_parpola,M-96,2,P004 P124
mayig_observed_parpola,M-97,3,P004 P188 P073
mayig_observed_parpola,M-99,5,P324 P353 P122 P202 P038
mayig_observed_parpola,M-100,6,P013 P324 P073 P316 P122 P385
mayig_observed_parpola,M-101,6,P086 P210 P324 P003 P122 P385
mayig_observed_parpola,M-102,4,P004 P123 P154 P226
mayig_observed_parpola,M-103,4,P086 P124 P122 P378
mayig_observed_parpola,M-104,5,P013 P324 P050 P060 P359
mayig_observed_parpola,M-107,6,P324 P238 P058 P122 P054 P071
mayig_observed_parpola,M-108,7,P099 P378 P050 P201 P075 P230 P378
mayig_observed_parpola,M-109,7,P324 P381 P050 P092 P122 P084 P011
mayig_observed_parpola,M-112,8,P324 P332 P056 P126 P111 P325 P285 P254
mayig_observed_parpola,M-113,6,P324 P145 P349 P325 P120 P156
mayig_observed_parpola,M-114,6,P324 P332 P283 P122 P205 P095
mayig_observed_parpola,M-115,8,P086 P352 P011 P194 P364 P122 P205 P076
mayig_observed_parpola,M-116,7,P324 P009 P194 P349 P139 P122 P385
mayig_observed_parpola,M-117,8,P217 P147 P316 P050 P364 P142 P122 P378
mayig_observed_parpola,M-118,8,P324 P096 P147 P316 P058 P364 P122 P385
mayig_observed_parpola,M-119,10,P001 P309 P195 P122 P086 P035 P270 P145 P154 P230
mayig_observed_parpola,M-121,5,P324 P154 P355 P058 P075
mayig_observed_parpola,M-122,3,P217 P147 P316
mayig_observed_parpola,M-123,4,P098 P014 P202 P114
mayig_observed_parpola,M-124,4,P324 P175 P050 P145
mayig_observed_parpola,M-127,5,P238 P324 P060 P324 P194
mayig_observed_parpola,M-128,6,P324 P175 P364 P324 P208 P316
mayig_observed_parpola,M-129,6,P217 P058 P062 P060 P325 P293
mayig_observed_parpola,M-130,6,P324 P003 P050 P145 P122 P032
mayig_observed_parpola,M-131,6,P324 P086 P276 P325 P086 P355
mayig_observed_parpola,M-132,3,P004 P123 P226
mayig_observed_parpola,M-133,8,P301 P230 P062 P050 P073 P369 P174 P110
mayig_observed_parpola,M-134,3,P390 P145 P256
mayig_observed_parpola,M-135,4,P217 P147 P316 P144
mayig_observed_parpola,M-136,7,P013 P324 P050 P126 P144 P177 P226
mayig_observed_parpola,M-138,3,P324 P154 P125
mayig_observed_parpola,M-139,5,P147 P368 P061 P325 P294
mayig_observed_parpola,M-140,7,P324 P309 P145 P050 P201 P283 P221
mayig_observed_parpola,M-142,4,P022 P011 P122 P385
mayig_observed_parpola,M-143,6,P324 P082 P122 P145 P170 P349
mayig_observed_parpola,M-144,6,P324 P009 P092 P062 P122 P385
mayig_observed_parpola,M-145,4,P324 P098 P031 P384
mayig_observed_parpola,M-146,5,P324 P073 P160 P120 P256
mayig_observed_parpola,M-147,6,P051 P364 P122 P050 P221 P217
mayig_observed_parpola,M-148,3,P324 P385 P231
mayig_observed_parpola,M-149,5,P324 P332 P283 P120 P230
mayig_observed_parpola,M-150,2,P324 P368
mayig_observed_parpola,M-151,3,P050 P201 P393
mayig_observed_parpola,M-152,4,P324 P096 P122 P385
mayig_observed_parpola,M-153,3,P067 P026 P076
mayig_observed_parpola,M-154,7,P217 P050 P092 P122 P300 P182 P265
mayig_observed_parpola,M-155,3,P324 P194 P144
mayig_observed_parpola,M-157,7,P324 P154 P355 P058 P075 P121 P378
mayig_observed_parpola,M-158,4,P086 P126 P120 P230
mayig_observed_parpola,M-159,5,P324 P136 P325 P166 P290
mayig_observed_parpola,M-160,6,P001 P048 P144 P122 P378 P325
mayig_observed_parpola,M-163,5,P217 P050 P092 P120 P378
mayig_observed_parpola,M-164,5,P324 P031 P204 P122 P385
mayig_observed_parpola,M-166,6,P086 P349 P062 P364 P122 P385
mayig_observed_parpola,M-170,8,P324 P175 P086 P204 P114 P145 P325 P385
mayig_observed_parpola,M-171,8,P086 P204 P324 P175 P058 P364 P120 P256
mayig_observed_parpola,M-172,6,P086 P128 P121 P050 P117 P355
mayig_observed_parpola,M-173,5,P324 P110 P160 P303 P364
mayig_observed_parpola,M-174,6,P324 P175 P050 P145 P122 P378
mayig_observed_parpola,M-177,4,P086 P123 P122 P385
mayig_observed_parpola,M-178,2,P086 P126
mayig_observed_parpola,M-179,2,P086 P123
mayig_observed_parpola,M-180,2,P324 P265
mayig_observed_parpola,M-181,5,P217 P193 P122 P205 P207
mayig_observed_parpola,M-183,4,P217 P058 P120 P205
mayig_observed_parpola,M-184,4,P013 P324 P010 P359
mayig_observed_parpola,M-182,2,P324 P095
