"corpus","scope","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","37","0.494438","-0.009578"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","38","0.485539","-0.009134"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","39","0.513348","0.032108"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","40","0.491657","-0.007347"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","41","0.478309","-0.022544"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","42","0.512236","0.008153"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","43","0.495551","0.010193"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","44","0.48109","-0.028021"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","45","0.512792","0.014418"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","46","0.484983","0.002229"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","47","0.502225","0.015289"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","48","0.506674","0.024905"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","49","0.465517","-0.028092"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","50","0.510567","0.013905"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","51","0.528921","0.037377"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","52","0.505006","-0.005387"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","53","0.505562","0.004839"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","54","0.513348","-0.004602"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","55","0.495551","0.011346"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","56","0.505006","0.014493"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","57","0.453838","-0.044582"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","58","0.510567","0.026383"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","59","0.465517","-0.037175"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","60","0.476641","-0.018706"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","61","0.492214","0.005168"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","62","0.477753","-0.01032"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","63","0.467186","-0.043511"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","64","0.505562","0.020184"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","65","0.518354","0.015121"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","66","0.492214","-0.008818"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","67","0.509455","0.017578"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","68","0.494438","0.004574"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","69","0.510567","0.015723"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","70","0.502225","-0.010006"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","71","0.468298","-0.029063"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","72","0.482759","-0.02728"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","73","0.506674","0.004567"
