source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
lipi_numeric,545,mayig_parpola,P226,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,terminal:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-78;M-102;M-132;M-136,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,590,mayig_parpola,P276,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-35;M-94;M-131,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,061,mayig_parpola,P204,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-164;M-170;M-171,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,100,mayig_parpola,P009,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-91;M-116;M-144,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,125,mayig_parpola,P035,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-13;M-38;M-119,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,142,mayig_parpola,P031,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-71;M-145;M-164,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,151,mayig_parpola,P001,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,initial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-71;M-119;M-160,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,190,mayig_parpola,P076,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,terminal:2;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-53;M-115;M-153,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,226,mayig_parpola,P051,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,initial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-57;M-70;M-147,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,297,mayig_parpola,P205,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-53;M-114;M-183,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,350,mayig_parpola,P091,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-21;M-51;M-92,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,388,mayig_parpola,P110,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-88;M-133;M-173,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,400,mayig_parpola,P098,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,initial:2;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-87;M-123;M-145,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,416,mayig_parpola,P095,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,terminal:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-91;M-114;M-182,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,440,mayig_parpola,P283,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-114;M-140;M-149,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,455,mayig_parpola,P221,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-29;M-140;M-147,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,460,mayig_parpola,P215,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-51;M-58;M-92,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,632,mayig_parpola,P270,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-8;M-38;M-119,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,706,mayig_parpola,P316,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-8;M-64;M-65,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,790,mayig_parpola,P355,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:2;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-121;M-131;M-157,needs_image_or_authoritative_sign_list_validation,very_low,
