"model","iteration","exact_duplicate_sequence_groups","exact_duplicate_pairs","variant_pairs_total","near_pairs_edit_distance_le_2","single_substitution_pairs","two_substitution_pairs","single_insertion_deletion_pairs","shared_edge_frame_pairs","frame_families_count","top_frame_rows","slot_candidate_groups"
"length_frequency_shuffle","179","0","0","41","38","0","25","0","3","3","2","0"
"edge_position_preserving_shuffle","179","0","0","187","114","11","55","0","87","12","11","5"
"length_frequency_shuffle","180","0","0","37","31","1","19","0","6","4","3","1"
"edge_position_preserving_shuffle","180","0","0","155","87","4","49","1","77","11","11","4"
"length_frequency_shuffle","181","0","0","60","46","1","29","0","14","7","4","1"
"edge_position_preserving_shuffle","181","1","1","149","103","5","52","0","50","11","6","1"
"length_frequency_shuffle","182","0","0","43","38","1","23","0","5","5","2","1"
"edge_position_preserving_shuffle","182","1","1","174","104","9","46","2","81","14","11","6"
"length_frequency_shuffle","183","0","0","43","33","1","24","0","10","8","3","1"
"edge_position_preserving_shuffle","183","0","0","205","130","9","63","2","85","14","12","4"
"length_frequency_shuffle","184","0","0","51","47","1","31","0","6","6","2","1"
"edge_position_preserving_shuffle","184","0","0","189","115","7","51","1","83","11","11","2"
"length_frequency_shuffle","185","0","0","60","57","2","40","0","4","4","2","2"
"edge_position_preserving_shuffle","185","0","0","184","104","4","55","2","85","11","12","2"
"length_frequency_shuffle","186","0","0","50","43","3","21","0","7","5","3","3"
"edge_position_preserving_shuffle","186","0","0","183","118","6","70","3","79","12","10","4"
"length_frequency_shuffle","187","0","0","46","39","1","23","0","7","2","4","1"
"edge_position_preserving_shuffle","187","0","0","160","93","7","49","1","78","15","11","5"
"length_frequency_shuffle","188","1","1","43","39","1","19","0","5","5","2","1"
"edge_position_preserving_shuffle","188","0","0","177","106","2","71","0","75","14","11","2"
"length_frequency_shuffle","189","0","0","66","58","2","29","1","9","7","3","2"
"edge_position_preserving_shuffle","189","1","1","148","83","4","44","2","72","16","10","3"
"length_frequency_shuffle","190","0","0","53","47","0","34","0","7","5","3","0"
"edge_position_preserving_shuffle","190","0","0","135","91","7","43","1","60","13","7","3"
"length_frequency_shuffle","191","0","0","37","33","0","21","2","4","4","2","0"
"edge_position_preserving_shuffle","191","0","0","147","85","3","59","1","64","13","10","3"
"length_frequency_shuffle","192","0","0","58","41","1","24","0","18","7","5","1"
"edge_position_preserving_shuffle","192","0","0","134","79","3","54","0","60","14","8","3"
"length_frequency_shuffle","193","0","0","47","40","1","33","0","7","7","2","1"
"edge_position_preserving_shuffle","193","0","0","127","84","6","49","1","60","11","9","4"
"length_frequency_shuffle","194","0","0","47","42","1","30","0","6","4","3","1"
"edge_position_preserving_shuffle","194","0","0","142","95","4","68","1","60","12","10","2"
"length_frequency_shuffle","195","0","0","40","38","2","26","0","2","2","2","2"
"edge_position_preserving_shuffle","195","0","0","138","78","5","38","1","65","12","9","3"
"length_frequency_shuffle","196","0","0","48","39","1","29","0","12","8","3","1"
"edge_position_preserving_shuffle","196","0","0","125","81","6","57","1","51","14","6","2"
"length_frequency_shuffle","197","0","0","55","49","2","29","0","6","6","2","2"
"edge_position_preserving_shuffle","197","0","0","192","120","13","58","0","84","17","11","6"
"length_frequency_shuffle","198","0","0","57","54","2","29","0","5","5","2","2"
"edge_position_preserving_shuffle","198","0","0","186","111","8","57","0","86","11","11","4"
"length_frequency_shuffle","199","1","1","56","52","0","31","0","5","5","2","0"
"edge_position_preserving_shuffle","199","0","0","164","100","2","60","0","68","15","9","2"
"length_frequency_shuffle","200","0","0","43","37","0","23","1","6","4","3","0"
"edge_position_preserving_shuffle","200","0","0","194","135","7","68","5","78","11","11","3"
"length_frequency_shuffle","201","0","0","43","40","1","22","0","3","3","2","1"
"edge_position_preserving_shuffle","201","0","0","122","91","8","42","0","38","13","5","3"
"length_frequency_shuffle","202","0","0","47","39","0","26","0","11","7","3","0"
"edge_position_preserving_shuffle","202","0","0","160","107","5","71","0","59","14","7","5"
"length_frequency_shuffle","203","0","0","54","50","0","38","0","4","4","2","0"
"edge_position_preserving_shuffle","203","0","0","158","111","3","66","1","54","13","9","3"
"length_frequency_shuffle","204","0","0","38","35","0","23","0","3","3","2","0"
"edge_position_preserving_shuffle","204","1","1","151","77","6","33","1","78","13","11","2"
"length_frequency_shuffle","205","0","0","44","37","0","23","0","7","7","2","0"
"edge_position_preserving_shuffle","205","0","0","141","73","1","53","1","75","10","11","1"
"length_frequency_shuffle","206","0","0","54","48","0","33","0","6","6","2","0"
"edge_position_preserving_shuffle","206","0","0","122","65","4","34","0","59","13","9","2"
"length_frequency_shuffle","207","0","0","38","34","0","22","1","4","4","2","0"
"edge_position_preserving_shuffle","207","1","3","172","116","4","60","0","67","14","9","2"
"length_frequency_shuffle","208","0","0","40","35","1","24","0","5","5","2","1"
"edge_position_preserving_shuffle","208","0","0","174","103","4","71","1","72","11","11","4"
"length_frequency_shuffle","209","0","0","43","35","1","23","0","9","5","3","1"
"edge_position_preserving_shuffle","209","0","0","142","82","5","39","2","69","11","11","3"
"length_frequency_shuffle","210","0","0","48","41","1","20","0","8","6","3","1"
"edge_position_preserving_shuffle","210","0","0","158","96","5","48","0","65","9","9","3"
"length_frequency_shuffle","211","0","0","61","59","2","44","0","3","3","2","2"
"edge_position_preserving_shuffle","211","0","0","187","92","7","62","0","102","13","13","5"
"length_frequency_shuffle","212","0","0","59","54","1","25","2","6","4","3","1"
"edge_position_preserving_shuffle","212","0","0","151","87","7","42","0","65","14","10","2"
"length_frequency_shuffle","213","0","0","51","44","1","30","0","7","3","3","1"
"edge_position_preserving_shuffle","213","0","0","170","92","6","44","0","86","12","12","4"
"length_frequency_shuffle","214","0","0","45","42","1","26","0","5","5","2","1"
"edge_position_preserving_shuffle","214","0","0","155","113","3","72","3","50","16","8","3"
"length_frequency_shuffle","215","0","0","45","42","0","30","0","3","3","2","0"
"edge_position_preserving_shuffle","215","0","0","174","122","5","68","2","58","12","8","3"
"length_frequency_shuffle","216","0","0","41","37","0","31","0","5","5","2","0"
"edge_position_preserving_shuffle","216","0","0","195","98","4","61","0","102","12","13","4"
"length_frequency_shuffle","217","0","0","39","32","4","17","1","8","6","3","4"
"edge_position_preserving_shuffle","217","0","0","178","118","5","71","0","65","12","10","5"
"length_frequency_shuffle","218","0","0","43","36","1","25","0","7","5","3","1"
"edge_position_preserving_shuffle","218","0","0","183","89","2","59","0","98","11","13","2"
"length_frequency_shuffle","219","0","0","48","39","0","32","0","15","10","4","0"
"edge_position_preserving_shuffle","219","0","0","149","99","5","56","3","63","15","9","3"
"length_frequency_shuffle","220","0","0","51","46","1","24","1","5","5","2","1"
"edge_position_preserving_shuffle","220","0","0","167","119","10","51","5","68","11","10","3"
"length_frequency_shuffle","221","0","0","34","31","1","22","0","4","4","2","1"
"edge_position_preserving_shuffle","221","0","0","151","76","3","50","0","77","11","10","3"
"length_frequency_shuffle","222","0","0","55","48","0","33","0","7","5","3","0"
"edge_position_preserving_shuffle","222","0","0","145","73","4","48","0","80","11","11","4"
"length_frequency_shuffle","223","0","0","44","40","1","26","0","4","4","2","1"
"edge_position_preserving_shuffle","223","0","0","195","111","10","61","1","88","10","12","6"
"length_frequency_shuffle","224","0","0","46","43","3","29","0","8","4","3","3"
"edge_position_preserving_shuffle","224","0","0","149","89","2","61","3","66","13","10","2"
"length_frequency_shuffle","225","0","0","38","32","0","21","0","6","6","2","0"
"edge_position_preserving_shuffle","225","0","0","193","120","8","77","0","87","10","11","3"
"length_frequency_shuffle","226","0","0","41","35","1","27","0","6","6","2","1"
"edge_position_preserving_shuffle","226","0","0","178","109","6","62","0","77","14","11","4"
"length_frequency_shuffle","227","0","0","51","48","1","28","0","3","3","2","1"
"edge_position_preserving_shuffle","227","0","0","124","87","2","55","0","48","15","7","2"
"length_frequency_shuffle","228","0","0","54","48","1","31","0","7","7","2","1"
"edge_position_preserving_shuffle","228","0","0","125","57","4","35","0","72","7","9","4"
"length_frequency_shuffle","229","0","0","37","33","0","25","0","4","4","2","0"
"edge_position_preserving_shuffle","229","0","0","161","102","7","47","2","68","13","10","5"
"length_frequency_shuffle","230","0","0","51","44","0","32","0","7","3","3","0"
"edge_position_preserving_shuffle","230","0","0","154","113","7","58","1","56","11","8","3"
"length_frequency_shuffle","231","0","0","52","50","1","26","1","3","3","2","1"
"edge_position_preserving_shuffle","231","1","3","162","86","9","34","7","88","11","12","3"
"length_frequency_shuffle","232","0","0","37","35","2","25","0","5","5","2","2"
"edge_position_preserving_shuffle","232","0","0","156","110","4","65","1","53","16","8","2"
"length_frequency_shuffle","233","0","0","41","39","0","25","0","2","2","2","0"
"edge_position_preserving_shuffle","233","0","0","139","90","6","41","4","52","18","7","2"
"length_frequency_shuffle","234","0","0","36","29","1","20","0","7","7","2","1"
"edge_position_preserving_shuffle","234","0","0","146","97","1","65","0","58","12","9","1"
"length_frequency_shuffle","235","0","0","46","40","2","28","0","7","7","2","2"
"edge_position_preserving_shuffle","235","1","1","198","144","9","70","4","63","11","9","3"
"length_frequency_shuffle","236","0","0","47","44","2","26","0","4","4","2","2"
"edge_position_preserving_shuffle","236","1","1","186","114","3","63","2","77","11","11","1"
"length_frequency_shuffle","237","0","0","53","48","3","21","1","6","6","2","1"
"edge_position_preserving_shuffle","237","0","0","112","60","2","45","1","54","14","8","2"
"length_frequency_shuffle","238","0","0","48","39","0","26","0","9","5","3","0"
"edge_position_preserving_shuffle","238","0","0","154","88","7","48","0","71","15","10","2"
"length_frequency_shuffle","239","0","0","36","31","2","25","0","5","5","2","2"
"edge_position_preserving_shuffle","239","0","0","162","91","6","63","0","80","11","11","1"
"length_frequency_shuffle","240","0","0","51","43","2","27","0","8","6","3","2"
"edge_position_preserving_shuffle","240","1","1","188","120","13","46","4","83","12","11","5"
"length_frequency_shuffle","241","0","0","51","46","0","32","1","6","6","2","0"
"edge_position_preserving_shuffle","241","0","0","172","113","9","75","0","63","12","9","5"
"length_frequency_shuffle","242","0","0","32","29","1","18","0","4","4","2","1"
"edge_position_preserving_shuffle","242","0","0","190","127","8","80","0","66","11","10","2"
"length_frequency_shuffle","243","0","0","46","34","1","21","0","13","6","4","1"
"edge_position_preserving_shuffle","243","1","1","147","96","4","52","0","58","12","10","2"
"length_frequency_shuffle","244","0","0","54","49","2","26","0","6","4","3","2"
"edge_position_preserving_shuffle","244","1","1","140","94","5","43","0","51","16","8","4"
"length_frequency_shuffle","245","0","0","35","27","1","21","0","8","6","3","1"
"edge_position_preserving_shuffle","245","0","0","168","95","4","61","0","88","12","12","2"
"length_frequency_shuffle","246","0","0","33","30","1","24","0","3","3","2","1"
"edge_position_preserving_shuffle","246","0","0","170","101","6","49","2","89","12","12","4"
"length_frequency_shuffle","247","0","0","42","37","0","26","0","8","4","3","0"
"edge_position_preserving_shuffle","247","0","0","161","88","5","42","2","87","13","12","3"
"length_frequency_shuffle","248","0","0","45","35","1","22","0","10","8","3","1"
"edge_position_preserving_shuffle","248","1","1","154","108","11","36","0","55","14","9","3"
"length_frequency_shuffle","249","0","0","46","37","0","26","1","12","5","4","0"
"edge_position_preserving_shuffle","249","0","0","177","95","2","65","2","88","10","12","2"
"length_frequency_shuffle","250","0","0","50","41","0","27","0","9","7","3","0"
"edge_position_preserving_shuffle","250","2","2","164","112","7","49","4","65","13","10","3"
"length_frequency_shuffle","251","0","0","52","39","0","28","0","13","6","4","0"
"edge_position_preserving_shuffle","251","0","0","132","80","1","47","1","55","13","7","1"
"length_frequency_shuffle","252","0","0","43","38","1","25","0","5","5","2","1"
"edge_position_preserving_shuffle","252","0","0","174","100","7","47","2","80","13","9","2"
"length_frequency_shuffle","253","0","0","43","38","2","27","0","6","6","2","2"
"edge_position_preserving_shuffle","253","0","0","153","105","8","52","0","54","14","7","6"
"length_frequency_shuffle","254","0","0","50","47","0","27","1","3","3","2","0"
"edge_position_preserving_shuffle","254","0","0","185","100","6","61","0","100","9","13","4"
"length_frequency_shuffle","255","0","0","46","39","0","29","0","7","7","2","0"
"edge_position_preserving_shuffle","255","0","0","157","102","7","69","0","58","12","9","2"
"length_frequency_shuffle","256","0","0","60","53","0","33","0","8","8","2","0"
"edge_position_preserving_shuffle","256","0","0","186","121","11","61","0","72","14","11","4"
"length_frequency_shuffle","257","1","1","56","52","3","24","0","6","4","3","1"
"edge_position_preserving_shuffle","257","0","0","166","87","5","49","5","91","13","8","5"
"length_frequency_shuffle","258","0","0","50","44","3","24","2","6","6","2","3"
"edge_position_preserving_shuffle","258","2","2","149","103","9","50","0","57","15","8","4"
"length_frequency_shuffle","259","0","0","67","63","3","30","0","5","5","2","3"
"edge_position_preserving_shuffle","259","0","0","161","94","4","51","2","75","10","11","4"
"length_frequency_shuffle","260","0","0","65","60","2","32","1","8","6","3","2"
"edge_position_preserving_shuffle","260","1","1","169","124","7","63","3","52","15","6","3"
"length_frequency_shuffle","261","0","0","43","39","2","23","0","4","4","2","2"
"edge_position_preserving_shuffle","261","0","0","154","70","4","43","0","89","12","12","4"
"length_frequency_shuffle","262","0","0","59","55","4","25","0","6","6","2","2"
"edge_position_preserving_shuffle","262","0","0","144","101","4","57","0","49","10","8","2"
"length_frequency_shuffle","263","0","0","64","57","1","40","0","8","6","3","1"
"edge_position_preserving_shuffle","263","1","1","174","115","11","55","0","64","16","9","3"
"length_frequency_shuffle","264","0","0","48","43","1","22","0","5","5","2","1"
"edge_position_preserving_shuffle","264","0","0","161","103","4","57","2","65","12","10","2"
"length_frequency_shuffle","265","0","0","35","33","1","21","0","2","2","2","1"
"edge_position_preserving_shuffle","265","1","1","214","137","11","58","5","90","14","12","3"
"length_frequency_shuffle","266","0","0","47","38","1","22","1","9","4","4","1"
"edge_position_preserving_shuffle","266","0","0","147","81","1","58","0","68","9","8","1"
"length_frequency_shuffle","267","0","0","37","32","0","20","0","6","2","3","0"
"edge_position_preserving_shuffle","267","0","0","147","92","5","52","2","61","14","8","3"
"length_frequency_shuffle","268","0","0","45","44","2","28","0","3","3","2","2"
"edge_position_preserving_shuffle","268","0","0","152","78","6","47","0","84","10","12","4"
"length_frequency_shuffle","269","0","0","42","36","1","22","0","6","4","3","1"
"edge_position_preserving_shuffle","269","0","0","210","166","11","86","0","70","16","10","4"
"length_frequency_shuffle","270","0","0","50","47","1","29","0","3","3","2","1"
"edge_position_preserving_shuffle","270","0","0","140","68","3","39","1","75","10","10","3"
"length_frequency_shuffle","271","0","0","62","58","1","33","1","6","6","2","1"
"edge_position_preserving_shuffle","271","0","0","160","110","3","68","0","55","14","6","3"
"length_frequency_shuffle","272","0","0","38","34","1","24","0","5","5","2","1"
"edge_position_preserving_shuffle","272","0","0","131","77","2","46","0","58","14","9","2"
"length_frequency_shuffle","273","0","0","48","35","2","27","0","15","8","4","2"
"edge_position_preserving_shuffle","273","1","1","159","109","5","55","0","54","13","9","4"
"length_frequency_shuffle","274","0","0","42","40","1","26","0","2","2","2","1"
"edge_position_preserving_shuffle","274","0","0","175","93","10","42","0","88","12","12","3"
"length_frequency_shuffle","275","0","0","48","42","1","28","0","6","4","3","1"
"edge_position_preserving_shuffle","275","0","0","166","106","4","61","3","63","10","9","2"
"length_frequency_shuffle","276","0","0","38","34","1","24","1","5","5","2","1"
"edge_position_preserving_shuffle","276","1","1","161","109","8","44","1","61","11","8","3"
"length_frequency_shuffle","277","0","0","42","40","1","25","1","3","3","2","1"
"edge_position_preserving_shuffle","277","0","0","144","101","5","67","0","50","12","8","5"
"length_frequency_shuffle","278","0","0","45","41","1","24","0","4","4","2","1"
"edge_position_preserving_shuffle","278","0","0","216","120","8","63","1","102","14","13","5"
"length_frequency_shuffle","279","0","0","44","35","0","25","0","9","7","3","0"
"edge_position_preserving_shuffle","279","0","0","133","90","6","48","0","46","13","8","1"
"length_frequency_shuffle","280","0","0","35","34","0","22","0","1","1","2","0"
"edge_position_preserving_shuffle","280","0","0","143","92","8","42","0","56","13","7","3"
"length_frequency_shuffle","281","0","0","39","35","4","18","0","9","7","3","2"
"edge_position_preserving_shuffle","281","0","0","135","95","5","61","0","47","14","8","5"
"length_frequency_shuffle","282","0","0","47","44","1","24","1","5","5","2","1"
"edge_position_preserving_shuffle","282","0","0","139","93","5","52","0","48","10","8","3"
"length_frequency_shuffle","283","0","0","52","45","3","21","1","7","5","3","1"
"edge_position_preserving_shuffle","283","1","1","149","93","8","43","5","66","11","9","3"
"length_frequency_shuffle","284","0","0","50","46","1","31","0","4","4","2","1"
"edge_position_preserving_shuffle","284","0","0","119","69","6","30","1","55","13","7","2"
"length_frequency_shuffle","285","0","0","46","45","0","35","0","1","1","2","0"
"edge_position_preserving_shuffle","285","0","0","127","87","3","50","0","42","9","7","1"
"length_frequency_shuffle","286","0","0","39","36","1","28","1","5","3","3","1"
"edge_position_preserving_shuffle","286","0","0","204","125","4","82","2","94","13","12","4"
"length_frequency_shuffle","287","0","0","47","41","0","30","0","6","6","2","0"
"edge_position_preserving_shuffle","287","0","0","149","111","7","57","3","47","17","7","5"
"length_frequency_shuffle","288","0","0","46","40","2","25","0","7","5","3","2"
"edge_position_preserving_shuffle","288","0","0","181","115","5","66","1","83","13","11","5"
"length_frequency_shuffle","289","0","0","52","40","2","24","0","12","7","4","2"
"edge_position_preserving_shuffle","289","0","0","162","81","2","48","0","89","10","13","2"
"length_frequency_shuffle","290","0","0","40","35","0","26","0","5","5","2","0"
"edge_position_preserving_shuffle","290","0","0","179","114","1","78","1","68","15","10","1"
"length_frequency_shuffle","291","0","0","53","49","0","36","0","4","2","3","0"
"edge_position_preserving_shuffle","291","0","0","158","111","6","59","0","50","12","8","2"
"length_frequency_shuffle","292","0","0","54","43","0","30","0","11","6","4","0"
"edge_position_preserving_shuffle","292","0","0","162","70","4","40","2","96","11","12","4"
"length_frequency_shuffle","293","0","0","39","39","0","24","1","2","2","2","0"
"edge_position_preserving_shuffle","293","0","0","170","100","5","56","1","74","11","10","3"
"length_frequency_shuffle","294","0","0","48","34","2","23","0","14","3","5","2"
"edge_position_preserving_shuffle","294","0","0","172","87","2","58","0","89","16","12","2"
"length_frequency_shuffle","295","0","0","41","38","0","25","0","3","1","3","0"
"edge_position_preserving_shuffle","295","0","0","159","102","7","48","3","68","12","9","3"
"length_frequency_shuffle","296","0","0","45","42","0","30","1","4","4","2","0"
"edge_position_preserving_shuffle","296","0","0","163","114","13","47","3","59","15","8","2"
"length_frequency_shuffle","297","0","0","61","55","1","31","0","7","5","3","1"
"edge_position_preserving_shuffle","297","0","0","157","102","7","59","1","69","9","10","3"
"length_frequency_shuffle","298","0","0","54","47","1","27","0","7","5","3","1"
"edge_position_preserving_shuffle","298","0","0","176","104","9","47","4","82","10","8","7"
"length_frequency_shuffle","299","0","0","51","44","2","19","1","8","6","3","2"
"edge_position_preserving_shuffle","299","1","1","149","107","6","55","0","45","13","6","1"
"length_frequency_shuffle","300","0","0","41","34","0","23","0","8","6","3","0"
"edge_position_preserving_shuffle","300","0","0","165","92","5","50","1","76","12","11","3"
"length_frequency_shuffle","301","0","0","36","31","1","24","0","6","4","3","1"
"edge_position_preserving_shuffle","301","0","0","172","96","6","53","3","83","9","12","4"
"length_frequency_shuffle","302","0","0","44","41","0","27","0","3","3","2","0"
"edge_position_preserving_shuffle","302","0","0","188","112","4","57","1","80","13","11","2"
"length_frequency_shuffle","303","0","0","47","40","1","30","0","8","4","3","1"
"edge_position_preserving_shuffle","303","0","0","138","81","6","39","0","64","15","9","2"
"length_frequency_shuffle","304","0","0","47","44","2","25","0","4","4","2","2"
"edge_position_preserving_shuffle","304","0","0","143","92","6","58","0","61","8","8","6"
"length_frequency_shuffle","305","0","0","57","52","1","32","1","6","6","2","1"
"edge_position_preserving_shuffle","305","0","0","141","71","6","42","0","76","14","10","4"
"length_frequency_shuffle","306","0","0","46","41","0","32","0","6","6","2","0"
"edge_position_preserving_shuffle","306","0","0","143","99","5","60","0","46","15","5","5"
"length_frequency_shuffle","307","0","0","38","35","0","23","0","3","3","2","0"
"edge_position_preserving_shuffle","307","1","1","188","142","14","64","2","59","13","9","4"
"length_frequency_shuffle","308","0","0","42","34","0","24","0","8","4","3","0"
"edge_position_preserving_shuffle","308","0","0","139","82","4","44","1","62","14","10","2"
"length_frequency_shuffle","309","0","0","42","38","1","29","0","4","4","2","1"
"edge_position_preserving_shuffle","309","0","0","193","124","9","58","0","81","13","11","4"
"length_frequency_shuffle","310","0","0","48","40","1","24","0","9","7","3","1"
"edge_position_preserving_shuffle","310","1","1","152","89","4","41","1","75","11","9","2"
"length_frequency_shuffle","311","0","0","57","47","1","32","0","10","5","4","1"
"edge_position_preserving_shuffle","311","1","1","150","103","6","50","7","59","11","9","2"
"length_frequency_shuffle","312","0","0","48","44","1","27","0","5","3","3","1"
"edge_position_preserving_shuffle","312","1","1","145","67","11","27","2","84","15","12","4"
"length_frequency_shuffle","313","0","0","43","40","1","27","0","4","4","2","1"
"edge_position_preserving_shuffle","313","0","0","164","94","10","45","0","72","13","11","5"
"length_frequency_shuffle","314","0","0","42","40","1","27","0","2","2","2","1"
"edge_position_preserving_shuffle","314","0","0","169","110","8","54","0","66","13","10","4"
"length_frequency_shuffle","315","0","0","49","41","1","26","0","9","5","3","1"
"edge_position_preserving_shuffle","315","0","0","165","102","4","64","0","65","12","10","4"
"length_frequency_shuffle","316","0","0","37","34","0","22","0","3","3","2","0"
"edge_position_preserving_shuffle","316","0","0","145","91","3","56","0","58","10","10","3"
"length_frequency_shuffle","317","0","0","42","41","0","26","0","1","1","2","0"
"edge_position_preserving_shuffle","317","0","0","133","88","5","52","1","49","14","7","3"
"length_frequency_shuffle","318","0","0","41","37","2","22","1","6","6","2","2"
"edge_position_preserving_shuffle","318","0","0","135","69","7","30","0","68","14","9","3"
"length_frequency_shuffle","319","0","0","54","51","1","33","0","4","4","2","1"
"edge_position_preserving_shuffle","319","0","0","153","84","3","57","0","79","12","11","1"
"length_frequency_shuffle","320","0","0","39","33","2","23","0","6","6","2","2"
"edge_position_preserving_shuffle","320","0","0","155","99","2","77","0","64","10","8","2"
"length_frequency_shuffle","321","0","0","43","37","1","23","0","7","5","3","1"
"edge_position_preserving_shuffle","321","0","0","201","136","12","56","2","70","12","11","3"
"length_frequency_shuffle","322","0","0","44","41","2","26","0","4","4","2","2"
"edge_position_preserving_shuffle","322","1","1","142","107","10","38","3","46","15","7","3"
"length_frequency_shuffle","323","0","0","42","35","0","24","0","7","7","2","0"
"edge_position_preserving_shuffle","323","0","0","160","89","6","41","0","73","12","9","1"
"length_frequency_shuffle","324","0","0","37","33","2","20","0","4","2","3","2"
"edge_position_preserving_shuffle","324","0","0","166","72","3","43","1","100","14","13","3"
"length_frequency_shuffle","325","0","0","57","48","3","38","0","12","7","4","1"
"edge_position_preserving_shuffle","325","0","0","239","116","2","79","0","131","9","15","2"
"length_frequency_shuffle","326","0","0","34","30","0","22","0","4","4","2","0"
"edge_position_preserving_shuffle","326","1","1","194","138","7","80","2","70","12","10","5"
"length_frequency_shuffle","327","0","0","43","39","0","30","0","5","5","2","0"
"edge_position_preserving_shuffle","327","0","0","178","108","5","72","2","84","9","11","5"
"length_frequency_shuffle","328","0","0","47","40","1","27","0","7","2","4","1"
"edge_position_preserving_shuffle","328","0","0","129","82","6","43","0","53","13","8","4"
"length_frequency_shuffle","329","0","0","46","41","1","25","0","6","4","3","1"
"edge_position_preserving_shuffle","329","0","0","156","107","10","59","4","60","16","9","3"
"length_frequency_shuffle","330","0","0","50","46","1","28","0","4","4","2","1"
"edge_position_preserving_shuffle","330","1","1","153","104","14","40","3","62","12","8","1"
"length_frequency_shuffle","331","0","0","41","41","0","34","0","0","0","0","0"
"edge_position_preserving_shuffle","331","0","0","125","69","1","43","2","64","12","10","1"
"length_frequency_shuffle","332","0","0","32","28","1","21","0","4","4","2","1"
"edge_position_preserving_shuffle","332","0","0","169","113","4","59","1","61","13","9","2"
"length_frequency_shuffle","333","0","0","41","39","1","26","0","2","2","2","1"
"edge_position_preserving_shuffle","333","0","0","149","88","3","54","0","69","13","9","3"
"length_frequency_shuffle","334","0","0","50","41","1","25","0","9","4","4","1"
"edge_position_preserving_shuffle","334","0","0","225","133","9","67","2","117","12","14","5"
"length_frequency_shuffle","335","0","0","55","47","2","28","0","9","4","4","2"
"edge_position_preserving_shuffle","335","0","0","122","82","4","52","2","49","15","7","2"
"length_frequency_shuffle","336","0","0","49","44","4","21","0","5","5","2","2"
"edge_position_preserving_shuffle","336","0","0","100","65","5","38","1","40","15","6","5"
"length_frequency_shuffle","337","0","0","47","39","0","30","0","9","7","3","0"
"edge_position_preserving_shuffle","337","1","1","140","71","2","42","0","72","9","11","1"
"length_frequency_shuffle","338","0","0","37","31","0","24","0","6","6","2","0"
"edge_position_preserving_shuffle","338","0","0","127","77","0","54","1","56","12","6","0"
"length_frequency_shuffle","339","0","0","43","37","5","18","0","6","4","3","3"
"edge_position_preserving_shuffle","339","0","0","118","70","4","52","0","53","11","7","4"
"length_frequency_shuffle","340","0","0","56","49","3","27","0","9","5","3","1"
"edge_position_preserving_shuffle","340","0","0","149","108","4","72","1","48","14","6","4"
"length_frequency_shuffle","341","1","1","56","55","5","24","0","2","2","2","3"
"edge_position_preserving_shuffle","341","1","1","160","93","1","56","0","73","13","10","1"
"length_frequency_shuffle","342","0","0","44","38","1","22","0","6","6","2","1"
"edge_position_preserving_shuffle","342","0","0","127","77","2","49","1","53","14","8","2"
"length_frequency_shuffle","343","0","0","60","53","0","34","0","8","6","3","0"
"edge_position_preserving_shuffle","343","0","0","168","115","8","61","3","60","14","9","3"
"length_frequency_shuffle","344","0","0","35","32","2","19","0","4","4","2","2"
"edge_position_preserving_shuffle","344","0","0","175","84","7","36","0","96","10","13","2"
"length_frequency_shuffle","345","0","0","57","45","0","29","0","12","5","4","0"
"edge_position_preserving_shuffle","345","0","0","184","103","7","51","2","84","10","11","4"
"length_frequency_shuffle","346","0","0","55","44","1","24","1","12","7","4","1"
"edge_position_preserving_shuffle","346","1","1","182","137","10","61","2","62","17","7","3"
"length_frequency_shuffle","347","0","0","43","27","0","20","0","17","6","5","0"
"edge_position_preserving_shuffle","347","0","0","160","110","7","54","3","58","12","9","2"
"length_frequency_shuffle","348","0","0","46","38","1","27","0","8","8","2","1"
"edge_position_preserving_shuffle","348","0","0","150","97","9","48","3","65","15","9","3"
"length_frequency_shuffle","349","0","0","51","47","1","31","0","4","2","3","1"
"edge_position_preserving_shuffle","349","0","0","141","98","4","53","2","51","14","8","2"
"length_frequency_shuffle","350","0","0","31","31","0","21","0","0","0","0","0"
"edge_position_preserving_shuffle","350","0","0","161","89","3","51","1","83","13","11","1"
"length_frequency_shuffle","351","0","0","52","43","0","32","1","9","5","3","0"
"edge_position_preserving_shuffle","351","0","0","156","78","6","35","3","85","10","10","4"
"length_frequency_shuffle","352","0","0","61","56","1","27","2","7","5","3","1"
"edge_position_preserving_shuffle","352","0","0","165","95","4","58","0","79","11","10","2"
"length_frequency_shuffle","353","0","0","43","39","1","25","0","4","4","2","1"
"edge_position_preserving_shuffle","353","0","0","155","86","7","43","1","76","14","10","3"
"length_frequency_shuffle","354","0","0","49","47","1","28","2","6","4","3","1"
"edge_position_preserving_shuffle","354","0","0","166","124","9","63","1","60","10","9","5"
"length_frequency_shuffle","355","0","0","43","41","2","25","1","2","2","2","2"
"edge_position_preserving_shuffle","355","1","1","199","150","7","78","0","55","14","8","3"
"length_frequency_shuffle","356","0","0","33","30","1","19","0","3","3","2","1"
"edge_position_preserving_shuffle","356","0","0","140","91","9","38","0","52","15","8","2"
"length_frequency_shuffle","357","0","0","57","46","0","36","0","12","7","4","0"
"edge_position_preserving_shuffle","357","0","0","147","67","4","40","2","89","11","12","4"
"length_frequency_shuffle","358","0","0","47","41","4","23","2","7","5","3","4"
"edge_position_preserving_shuffle","358","0","0","198","130","6","82","0","76","16","10","4"
