object,site,region,type,material,shape,symbol,condition,complete,prev,next,next_is_terminal_partner,text
L-39,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Fair,Y,315,861,true,+520-315-002-861-626+
L-41,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,Bull,Poor,Y,233,817,true,+090-740-233-002-817+
L-46,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Poor,Y,176,861,true,+527-388-233-740-176-002-861-392+
L-47,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,190,798,false,+409-190-002-798-055+
L-57,Lothal,Gujarat/Kutch,SEAL:S,NA,square,NA,Fair,Y,832,861,true,+832-002-861+
L-62,Lothal,Gujarat/Kutch,SEAL,Steatite,NA,NA,Poor,?,003,861,true,]003-002-861[
L-65,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,?,240,861,true,]240-002-861+
L-82,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,231,221,false,+806-231-002-221+
L-83,Lothal,Gujarat/Kutch,SEAL:L,Agate,oval,NA,Poor,Y,240,820,true,+740-806-240-002-820+
L-84,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,048,817,true,+048-002-817+
L-87,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,825,<END>,false,+740-032-840-233-220-032-060-825-002+
L-89,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,235,861,true,+527-555-235-002-861+
L-91,Lothal,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Poor,Y,416,824,false,+416-002-824+
L-92,Lothal,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,832,817,true,+520-070-255-832-002-817+
L-95,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,N,175,880,false,+740-000-175-002-880+
L-112,Lothal,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Poor,Y,605,540,false,+740-760-605-002-540-590+
L-202,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,236,861,true,]236-002-861+
L-134,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,Y,240,617,false,+520-233-220-240-002-617+
L-136,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull1,Poor,?,<START>,617,false,]002-617+
L-138,Lothal,Gujarat/Kutch,TAG:L,Clay,NA,NA,Poor,N,070,000,false,+520-070-002-000[
L-139,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,032,880,false,]390-590-032-002-880[
L-145,Lothal,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,Y,415,550,false,+390-415-002-550+
M-895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,048,817,true,+740-048-002-817+
L-183,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,705,<END>,false,]717-705-002[
L-190,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,000,920,false,+000-000-000-002-920-317[
L-191,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,235,861,true,]235-002-861+
L-196,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,032,000,false,]390-590-032-002-000[
L-198,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,032,000,false,+740-390-590-032-002-000[
L-199,Lothal,Gujarat/Kutch,TAG,NA,NA,NA,Poor,N,240,000,false,]000-220-240-002-000[
L-205,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,803,000,false,+740-798-803-002-000[
L-207,Lothal,Gujarat/Kutch,TAG,Clay,square,Bull1,Poor,Y,482,820,true,+740-482-002-820+
L-208,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,000,000,false,]000-002-000[
L-208,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,220,820,true,]234-220-002-820[
L-211,Lothal,Gujarat/Kutch,TAG,Clay,NA,Bull,Poor,N,220,000,false,+740-388-233-220-002-000[
L-213,Lothal,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,?,220,368,false,]220-002-368-840-900+
L-226,Lothal,Gujarat/Kutch,POT:T:g,NA,NA,NA,Poor,N,495,861,true,]000-495-002-861+
M-1755,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,176,861,true,+740-176-002-861+
-:2170.1,Mohenjo-daro,Lower Indus,BNGL,Stoneware,NA,NA,NA,Y,064,<END>,false,+064-002+
-:2171.1,Mohenjo-daro,Lower Indus,BNGL,Stoneware,NA,NA,Poor,N,000,<END>,false,+920-130-511-000-002+
M-1696,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,415,861,true,+520-033-705-220-415-002-861+
M-1880,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,Y,176,861,true,+151-176-002-861+
M-1850,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,506,817,true,+506-002-817+
M-1766,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,240,269,false,+740-032-845-240-002-269-892-810-033+
M-1895,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,N,000,285,false,+740-923-000-002-285+
M-2005,Mohenjo-daro,Lower Indus,POT:T:g,Clay,NA,NA,Poor,N,033,000,false,+808-033-002-000-031+
M-1976,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,142,817,true,+617-142-002-817+
M-2089,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,<START>,861,true,+002-861-096+
M-235,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,350,820,true,+368-001-550/740-543-350-002-820+
M-1675,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,844,820,true,+621-390-844-002-820+
M-1676,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,240,595,false,+740-760-070-255-832-240-002-595-504-803+
M-1692,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,617,190,false,+390-600-617-002-190-125-632-032+
M-1737,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,820,true,+740-760-072-921-032-002-820+
M-1688,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,255,286,false,+125-435-255-002-286-220-031-012-031-455-033-590+
M-1916,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fair,Y,142,518,false,+740-604-142-002-518+
M-1677,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,032,820,true,+520-382-032-002-820-001-440-012+
M-1778,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,235,861,true,]000-235-002-861+
M-1674,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,231,861,true,+090-740-222-231-002-861-683+
M-940,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,555,817,true,+527-555-002-817+
M-1704,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,605,861,true,+740-760-605-002-861+
M-1765,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,705,093,false,+215-031-480-140-632-705-002-093-033+
M-1753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,240,861,true,+740-760-519-240-002-861+
M-656,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,803,861,true,]000-920-705-803-002-861+
L-6,Lothal,Gujarat/Kutch,SEAL:S,Ivory,square,Bull1,Poor,N,000,000,false,+000-000-000-002-000+
M-1721,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,042,820,true,+740-042-002-820+
M-963,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,176,817,true,+740-176-002-817+
M-1709,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,220,817,true,+621-520-220-002-817+
M-1668,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,803,320,false,+740-773-233-803-002-320-705-125+
M-1860,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,?,231,861,true,]231-002-861+
M-1726,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,240,861,true,+740-615-495-240-002-861+
M-1990,Mohenjo-daro,Lower Indus,SEAL,Steatite,rectangular,NA,Poor,Y,220,861,true,+740-760-440-240-220-002-861+
M-1974,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,521,820,true,+064-031-400-521-002-820+
M-1746,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,240,817,true,+090-740-100-415-240-002-817+
M-1791,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,268,840,false,+740-760-268-002-840-032+
M-1706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,220,820,true,+740-803-220-032-220-002-820+
M-1711,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,049,817,true,+740-760-049-002-817+
M-1772,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,061,798,false,+740-400-142-061-002-798-435-255-705+
M-1708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,017,817,true,+740-585-017-002-817+
-:2301.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Fair,N,003,000,false,+000-000-122-003-002-000+
M-1810,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,003,156,false,+740-100-140-003-002-156-920+
M-1832,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1,Poor,N,031,000,false,+527-554-031-002-000+
M-1763,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Fair,Y,032,861,true,+416-001-565-740-220-032-002-861+
M-1783,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,N,003,000,false,+520-442/425-003-002-000-215+
M-1967,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,?,705,585,false,+520-033-705-002-585[
M-1955,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,803,820,true,+390-920-322-803-002-820+
M-1661,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,219,861,true,+520-070-219-002-861-032-520-919-140+
M-1899,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,132,861,true,+924-132-002-861+
M-1928,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,N,220,861,true,+000-233-220-002-861+
M-1693,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Good,Y,235,817,true,+527-555-033-706-235-002-817+
M-1789,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:I,Good,Y,455,368,false,+740-455-002-368-260+
M-1733,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,N,000,735,false,]000-002-735+
M-1759,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,840,768,false,+740-032-840-002-768+
M-1842,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,235,861,true,+520-000-235-002-861+
K-157,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Poor,N,000,820,true,+740-000-000-002-820+
M-1686,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,142,false,+740-904-220-032-002-142+
-:2388.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,240,861,true,+740-637-240-002-861+
M-1681,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,798,861,true,+520-072-233-740-798-002-861-832+
M-1745,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,031,031,false,+368-821-055-031-002-031-892+
M-803,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,005,817,true,+390-005-002-817+
M-1927,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Fair,N,005,817,true,]000-005-002-817+
M-1883,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,031,069,false,+090-740-035-171-061-031-002-069+
M-1787,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,N,061,703,false,+740-061-002-703-000+
M-1901,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,156,252,false,+151-061/156-002-252-692+
M-1911,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,531,820,true,+621-390-531-002-820+
M-1728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,820,true,+161-055-240-220-032-002-820+
M-2129,Mohenjo-daro,Lower Indus,IMPL,Gold,NA,NA,Good,Y,645,817,true,+898-017-645-002-817+
M-1954,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,798,861,true,+740-407-590-031-752-033-705-220-415-798-002-861+
M-1872,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,?,032,<END>,false,]904-220-032-002[
M-1830,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,388,820,true,+740-388-002-820+
M-1913,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,?,416,817,true,]416-002-817+
M-1750,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,004,861,true,+390-004-002-861+
M-1752,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,019,817,true,+740-760-019-002-817+
M-595,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,176,820,true,+740-100-415-176-002-820+
M-1665,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,240,610,false,+520-033-705-233-240-002-610-125-032+
-:2477.1,Mohenjo-daro,Lower Indus,BNGL,Stoneware,NA,NA,NA,N,140,<END>,false,+000-100-140-002+
M-1907,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,Y,005,455,false,+390-005-002-455-511+
-:2489.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,590,817,true,+740-390-590-002-817+
M-1667,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,032,717,false,+740-690-435-255-220-032-002-717-820+
H-167,Harappa,Inter-Riverine,TAG,Ceramic,NA,NA,Poor,N,000,000,false,+000-000-000-000-002-000+
M-1716,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,803,820,true,+520-220-240-803-002-820+
M-1833,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,015,861,true,+390-015-002-861+
M-1884,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Poor,N,016,416,false,+520-220-016-002-416-000+
M-1851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,740,820,true,+832-390-032/000-032-740-002-820+
M-1662,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,233,817,true,+520-033-706-233-002-817-192-000+
M-1961,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,072,817,true,+406-072-002-817+
M-4,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,231,564,false,+298-465-033-705-231-002-564-617-033+
M-7,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,240,861,true,+407-845-140-740-101-923-240-002-861+
M-10,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,806,267,false,+405-061-070-032-033-706-235-806-002-267-455+
M-12,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,233,368,false,+740-390-590-233-002-368-202-892-371+
M-14,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,503,817,true,+740-776-503-002-817+
M-15,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,176,861,true,+090-740-176-002-861+
M-17,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,016,814,false,+390-016-002-814-560+
M-19,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,000,861,true,]000-000-002-861+
M-20,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,005,861,true,+390-005-002-861-036-460-513+
M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,861,true,+350-001-740-362-692-032-002-861+
M-24,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,235,906,false,+090-740-240-235-002-906-140+
M-28,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,416,861,true,+892-374-740-760-840-416-002-861+
M-29,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,806,220,false,+740-055-240-235-806-002-220-455-503+
M-33,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,233,112,false,+740-032-923-382-233-002-112+
M-34,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,176,405,false,+740-336-176-002-405-372-374+
M-35,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,231,107,false,+740-390-590-233-231-002-107+
M-36,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,032,368,false,+740-794-630-220-032-002-368-906-329+
M-38,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,235,390,false,+740-690-435-255-220-032-240-235-002-390-125-632-032+
M-40,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,391,527,false,+391-002-527-475-005+
M-41,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,235,405,false,+740-636-240-233-235-002-405-125-820+
M-42,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,240,817,true,+527-550-240-002-817+
M-43,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,231,055,false,+740-798-231-002-055-373+
M-44,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,803,920,false,+740-760-033-705-803-002-920-317+
M-46,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,235,220,false,+740-798-240-235-002-220-065-215+
M-47,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,235,861,true,+740-760-235-002-861+
M-49,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,032,300,false,+527-550-240-220-032-002-300-350-032-190+
M-50,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,798,820,true,+740-585-017-033-705-240-798-002-820+
M-52,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,803,504,false,+740-904-032-220-415-235-803-002-504-717+
M-53,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,016,297,false,+090-740-220-016-002-297-190-920-140+
M-54,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,798,820,true,+236-240-033-705-798-002-820+
M-57,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,798,693,false,+226-032-231-798-002-693+
M-58,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,503,817,true,+740-460-503-002-817+
M-66,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,235,374,false,+740-390-590-235-002-374-309-350+
M-70,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,Poor,Y,032,390,false,+226-032-002-390-692+
M-71,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,142,390,false,+151-279-142-002-390-095+
M-72,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Poor,Y,003,861,true,+740-255-705-140-003-002-861+
M-75,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,004,817,true,+520-220-004-002-817+
M-77,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,803,861,true,+832-390-803-002-861+
M-79,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,233,861,true,+688/740-100-240-233-002-861+
M-81,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,240,617,false,+527-555-240-002-617-070+
M-82,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,222,207,false,+740-222-002-207-550-390+
M-86,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,231,820,true,+520-033-705-231-002-820-700+
M-90,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,031,817,true,+740-840-013-031-002-817+
M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,032,861,true,+740-100-798-220-032-002-861-255-416+
M-92,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,350,814,false,+740-798-460-350-002-814-084+
M-95,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,003,111,false,+390-003-002-111-165+
M-99,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,215,368,false,+740-215-002-368-119+
M-100,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,705,861,true,+090-740-255-705-002-861+
M-101,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,168,817,true,+390-503-740-168-002-817+
M-103,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,004,820,true,+390-004-002-820+
M-106,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,000,000,false,+740-760-000-002-000-350+
M-107,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,233,940,false,+740-565-233-002-940-260+
M-109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,415,287,false,+740-879-220-415-002-287-140+
M-114,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,440,297,false,+740-760-440-002-297-416+
M-115,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,803,301,false,+390-844-140-176-803-002-301-190+
M-116,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,013,817,true,+740-100-176-840-013-002-817+
M-117,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,055,820,true,+520-033-705-220-803-055-002-820+
M-118,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,803,861,true,+740-772-033-705-233-803-002-861+
M-119,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,484,390,false,+151-337-484-002-390-125-632-032-900-563+
M-130,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,032,144,false,+740-094-220-032-002-144+
M-140,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:S,Good,Y,336,220,false,+740-336-002-220-065-440-455+
M-141,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,N,240,031,false,+817-255-636/000-000-000-240-002-031-000+
M-142,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,140,861,true,+136-140-002-861+
M-143,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,032,252,false,+740-205-032-002-252-840+
M-144,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,240,817,true,+740-100-415-240-002-817+
M-147,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,803,220,false,+226-803-002-220-455-520+
M-152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,772,861,true,+740-772-002-861+
M-154,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,415,257,false,+520-220-621-415-002-257-898+
M-160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,031,820,true,+151-243-031-002-820-741+
M-164,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Fair,Y,061,817,true,+740-142-061-002-817+
M-166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,806,861,true,+390-844-240-806-002-861+
M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,Poor,Y,032,820,true,+740-923-220-032-002-820+
M-177,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,003,803,false,+390-003-002-803+
M-181,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,175,295,false,+520-175-002-295-502+
M-198,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,552,817,true,+740-760-840-552-002-817+
M-199,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,240,861,true,+090-740-100-415-240-002-861+
M-200,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,222,820,true,+740-222-002-820+
M-823,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,061,817,true,+740-061-002-817+
M-211,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,220,031,false,+090-740-100-220-002-031-165+
M-213,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,384,390,false,+740-384-002-390-346+
M-221,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Poor,Y,032,820,true,+740-760-335-220-032-002-820+
M-225,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,241,880,false,+241-002-880+
M-232,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull2,Good,Y,236,390,false,+236-002-390-707+
