tail_initial,tail_after_002_861,tail_len,id,cisi,site,type,symbol,shape,material,class,condition,dir,text_length,text,prefix_last2_before_002_861,register_key,source_key,formula_key
901,901,1,3115.1,M-677,Mohenjo-daro,SEAL:S,Bull1:L,square,-,LP,Fair,R/L,11,+740-923-070-032-033-706-231-242-002-861-901+,231 242,Mohenjo-daro|SEAL:S|Bull1:L|square,Mohenjo-daro|SEAL:S|Bull1:L|square|-,+740-923-070-032-033-706-231-242-002-861-901+
031,031,1,3133.1,M-706,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Poor,R/L,6,+740-773-240-002-861-031+,773 240,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-773-240-002-861-031+
<END>,<END>,0,3137.1,M-712,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,IM,Poor,R/L,4,+390-003-002-861+,390 003,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+390-003-002-861+
603,603,1,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Fair,R/L,11,+740-585-017-033-705-233-798-803-002-861-603+,798 803,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-585-017-033-705-233-798-803-002-861-603+
<END>,<END>,0,3142.1,M-717,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,IT,Good,R/L,5,+740-142-061-002-861+,142 061,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-142-061-002-861+
<END>,<END>,0,3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,square,Steatite,LP,Fair,R/L,8,+740-460-510-235-220-032-002-861+,220 032,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1|square|Steatite,+740-460-510-235-220-032-002-861+
<END>,<END>,0,3148.1,M-724,Mohenjo-daro,SEAL:S,Bull1:J,square,-,IM,Good,R/L,5,+390-721-790-002-861+,721 790,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|-,+390-721-790-002-861+
<END>,<END>,0,3195.1,M-781,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,IT,Fair,R/L,5,+520-033-706-002-861+,033 706,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+520-033-706-002-861+
<END>,<END>,0,3197.1,M-783,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,IT,Good,R/L,4,+151-061-002-861+,151 061,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+151-061-002-861+
<END>,<END>,0,3199.1,M-785,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,IT,Poor,R/L,5,+740-255-705-002-861+,255 705,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-255-705-002-861+
<END>,<END>,0,3207.1,M-793,Mohenjo-daro,SEAL:S,Bull1:W,square,-,LP,Poor,R/L,7,+740-388-235-240-798-002-861+,240 798,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|-,+740-388-235-240-798-002-861+
<END>,<END>,0,3208.1,M-794,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,SP,Good,R/L,4,+804-231-002-861+,804 231,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+804-231-002-861+
<END>,<END>,0,3226.1,M-813,Mohenjo-daro,SEAL:S,Bull1:S,square,-,IT,Good,R/L,5,+161-390-590-002-861+,390 590,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|-,+161-390-590-002-861+
<END>,<END>,0,3228.1,M-815,Mohenjo-daro,SEAL:S,Bull1:W,square,Faience,SP,Good,R/L,6,+520-070-233-798-002-861+,233 798,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Faience,+520-070-233-798-002-861+
<END>,<END>,0,3246.1,M-834,Mohenjo-daro,SEAL:S,Bull1:J,square,Faience,IT,Good,R/L,6,+151-390-590-900-002-861+,590 900,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Faience,+151-390-590-900-002-861+
<END>,<END>,0,3262.1,M-850,Mohenjo-daro,SEAL:S,Bull1:L,square,Steatite,IT,Fair,R/L,5,+740-100-415-002-861+,100 415,Mohenjo-daro|SEAL:S|Bull1:L|square,Mohenjo-daro|SEAL:S|Bull1:L|square|Steatite,+740-100-415-002-861+
<END>,<END>,0,3279.1,M-869,Mohenjo-daro,SEAL:S,Bull1:S,square,-,IT,Poor,R/L,5,+740-100-415-002-861+,100 415,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|-,+740-100-415-002-861+
<END>,<END>,0,3306.1,M-901,Mohenjo-daro,SEAL:S,Bull1,square,Steatite,SP,Poor,R/L,4,+090-125-002-861+,090 125,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1|square|Steatite,+090-125-002-861+
<END>,<END>,0,3315.1,M-918,Mohenjo-daro,SEAL:S,Bull1,square,-,IM,Poor,R/L,4,+390-869-002-861+,390 869,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1|square|-,+390-869-002-861+
<END>,<END>,0,3329.1,M-934,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Good,R/L,5,+526-555-235-002-861+,555 235,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+526-555-235-002-861+
<END>,<END>,0,3336.1,M-941,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,??,Good,R/L,6,+000-642-240-031-002-861+,240 031,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+000-642-240-031-002-861+
<END>,<END>,0,3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,square,Steatite,SP,Poor,R/L,5,+520-220-032-002-861+,220 032,Mohenjo-daro|SEAL:S|Bull|square,Mohenjo-daro|SEAL:S|Bull|square|Steatite,+520-220-032-002-861+
<END>,<END>,0,3437.1,M-1063,Mohenjo-daro,SEAL:S,-,square,Steatite,IM,Poor,R/L,4,+407-004-002-861+,407 004,Mohenjo-daro|SEAL:S|-|square,Mohenjo-daro|SEAL:S|-|square|Steatite,+407-004-002-861+
<END>,<END>,0,3486.1,M-1115,Mohenjo-daro,SEAL:S,Zebu,square,Steatite,SP,Poor,R/L,5,+740-335-233-002-861+,335 233,Mohenjo-daro|SEAL:S|Zebu|square,Mohenjo-daro|SEAL:S|Zebu|square|Steatite,+740-335-233-002-861+
<END>,<END>,0,3509.1,M-1148,Mohenjo-daro,SEAL:S,Elep,square,Steatite,SP,Good,R/L,4,+520-220-002-861+,520 220,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+520-220-002-861+
<END>,<END>,0,3513.1,M-1152,Mohenjo-daro,SEAL:S,Elep,square,Steatite,SP,Good,R/L,6,+740-032-840-235-002-861+,840 235,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+740-032-840-235-002-861+
<END>,<END>,0,3520.1,M-1160,Mohenjo-daro,SEAL:S,Elep,square,Steatite,??,Fair,R/L,5,+000-136-031-002-861+,136 031,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+000-136-031-002-861+
<END>,<END>,0,3521.1,M-1161,Mohenjo-daro,SEAL:S,Elep,square,Steatite,SP,Good,R/L,5,+520-233-031-002-861+,233 031,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+520-233-031-002-861+
<END>,<END>,0,3556.2,M-1206,Mohenjo-daro,SEAL:S,Gaur,square,Steatite,IT,Good,R/L,6,+740-690-435-255-002-861+,435 255,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+740-690-435-255-002-861+
<END>,<END>,0,3574.1,M-1267,Mohenjo-daro,SEAL:R,None,rectangular,Steatite,IT,Poor,R/L,7,+416-001-740-720-175-002-861+,720 175,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+416-001-740-720-175-002-861+
603,603,1,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,rectangular,Steatite,IT,Good,R/L,5,+740-055-002-861-603+,740 055,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+740-055-002-861-603+
<END>,<END>,0,3648.1,M-1343,Mohenjo-daro,SEAL,None,-,Steatite,SP,Poor,R/L,6,+740-390-590-235-002-861+,590 235,Mohenjo-daro|SEAL|None|-,Mohenjo-daro|SEAL|None|-|Steatite,+740-390-590-235-002-861+
<END>,<END>,0,3711.1,M-1426,Mohenjo-daro,TAB:B,None,prism,Clay,LP,Fair,R/L,8,+740-760-036-220-415-798-002-861+,415 798,Mohenjo-daro|TAB:B|None|prism,Mohenjo-daro|TAB:B|None|prism|Clay,+740-760-036-220-415-798-002-861+
<END>,<END>,0,3844.2,M-1658,Mohenjo-daro,MISC,None,-,-,??,Poor,R/L,4,+000-016-002-861+,000 016,Mohenjo-daro|MISC|None|-,Mohenjo-daro|MISC|None|-|-,+000-016-002-861+
<END>,<END>,0,3908.1,M-1670,Mohenjo-daro,SEAL:S,Bull1:II,square,-,LP,Good,R/L,6,+740-760-001-233-002-861+,001 233,Mohenjo-daro|SEAL:S|Bull1:II|square,Mohenjo-daro|SEAL:S|Bull1:II|square|-,+740-760-001-233-002-861+
803,803,1,3909.1,M-1698,Mohenjo-daro,SEAL:S,Bull1:W,square,-,LP,Good,R/L,7,+740-482-033-705-002-861-803+,033 705,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|-,+740-482-033-705-002-861-803+
<END>,<END>,0,3970.1,H-1130,Harappa,TAB:B,None,rectangular-round,-,SP,Poor,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|None|rectangular-round,Harappa|TAB:B|None|rectangular-round|-,+740-482-240-002-861+
<END>,<END>,0,3971.1,H-1131,Harappa,TAB:B,None,twisted rectangular,-,SP,Poor,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|None|twisted rectangular,Harappa|TAB:B|None|twisted rectangular|-,+740-482-240-002-861+
<END>,<END>,0,4010.1,M-1973,Mohenjo-daro,SEAL:R,None,rectangular,-,LP,Fair,R/L,7,+740-575-017-233-550-002-861+,233 550,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|-,+740-575-017-233-550-002-861+
<END>,<END>,0,4034.1,M-2087,Mohenjo-daro,ROD,None,-,Ivory,??,Poor,R/L,7,+820-000-032-740-904-002-861+,740 904,Mohenjo-daro|ROD|None|-,Mohenjo-daro|ROD|None|-|Ivory,+820-000-032-740-904-002-861+
<END>,<END>,0,4195.1,-,Dholavira,SEAL:S,Bull1:V,square,Steatite,SP,Good,R/L,5,+820-390-590-002-861+,390 590,Dholavira|SEAL:S|Bull1:V|square,Dholavira|SEAL:S|Bull1:V|square|Steatite,+820-390-590-002-861+
<END>,<END>,0,4272.1,-,Dholavira,SEAL:R,None,cuboid-convex,Steatite,SP,Good,R/L,4,+405-016-002-861+,405 016,Dholavira|SEAL:R|None|cuboid-convex,Dholavira|SEAL:R|None|cuboid-convex|Steatite,+405-016-002-861+
<END>,<END>,0,4345.1,-,Dholavira,TAG,Bull1,square,Clay,??,Fair,R/L,4,+000-705-002-861+,000 705,Dholavira|TAG|Bull1|square,Dholavira|TAG|Bull1|square|Clay,+000-705-002-861+
<END>,<END>,0,5575.1,-,Unknown,SEAL:S,Bull:i:J,square,-,IT,Fair,R/L,3,+136-002-861+,136,Unknown|SEAL:S|Bull:i:J|square,Unknown|SEAL:S|Bull:i:J|square|-,+136-002-861+
