"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","length","4","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","4","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","4","type","1750","12","0.222286","0.060911","0.096907"
"all_eligible","length","4","site","1750","12","0.210857","0.038762","0.084032"
"all_eligible","length","4","type_site","1750","12","0.188571","0.049284","0.077149"
"all_eligible","length","4","length_type_site","1750","12","0.32","0.168492","0.186898"
"all_eligible","length","4","edge_frame","1750","12","0.242286","0.10489","0.120292"
"all_eligible","length","4","token_nb","1750","12","0.255429","0.12395","0.140909"
"all_eligible","length","5","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","5","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","5","type","1750","12","0.210857","0.049983","0.085497"
"all_eligible","length","5","site","1750","12","0.204571","0.032874","0.080475"
"all_eligible","length","5","type_site","1750","12","0.168","0.04294","0.068172"
"all_eligible","length","5","length_type_site","1750","12","0.369143","0.205046","0.217609"
"all_eligible","length","5","edge_frame","1750","12","0.234286","0.097091","0.114411"
"all_eligible","length","5","token_nb","1750","12","0.233714","0.11114","0.129404"
"all_eligible","length","6","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","6","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","6","type","1750","12","0.221714","0.048858","0.089334"
"all_eligible","length","6","site","1750","12","0.212","0.040805","0.084416"
"all_eligible","length","6","type_site","1750","12","0.204571","0.051754","0.08473"
"all_eligible","length","6","length_type_site","1750","12","0.352","0.174086","0.195372"
"all_eligible","length","6","edge_frame","1750","12","0.251429","0.121422","0.129996"
"all_eligible","length","6","token_nb","1750","12","0.234857","0.110714","0.130926"
"all_eligible","length","7","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","7","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","7","type","1750","12","0.189143","0.053859","0.085659"
"all_eligible","length","7","site","1750","12","0.217143","0.038734","0.085804"
"all_eligible","length","7","type_site","1750","12","0.216571","0.057408","0.093109"
"all_eligible","length","7","length_type_site","1750","12","0.316571","0.196999","0.204149"
