"target_cisi","target_row_id","target_short_text","target_bucket","original_triad_rank","independence_rank","evidence_tier","shared_match_count","shared_matches","object_core_count","visual_core_count","context_core_count","grade","long_context_relation","copy_pressure","control_033_cisi","control_033_score","control_032_cisi","control_032_score","target_source_hooks","control_033_source_hooks","control_032_source_hooks","local_use"
"H-785","1676.1","+700-034+","E_other_034_residue","54","78","C_repeated_target_family_pressure","13","area_bin;context_class;cross_section;h_bin;long_token_set;order;shape;side_relation;sides;site;symbol;type;v_bin","5","3","3","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-798","34","H-1836","33","11348681","10178607","H98-3438;Figure 25.04","source_targeting_only"
"H-945","1825.2","+034-700+","A_034_direction_reversal","21","79","C_repeated_target_family_pressure","12","area_bin;area_section;aspect_bin;cross_section;long_token_set;material;side_relation;sides;site;symbol;type;v_bin","5","3","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-928","35","H-1313","31","2698503","1219","12574891","source_targeting_only"
"H-819","1708.2","+700-034+","E_other_034_residue","87","80","C_repeated_target_family_pressure","11","area_bin;aspect_bin;context_class;h_bin;long_token_set;side_relation;sides;site;symbol;type;v_bin","3","4","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-249","28","H-839","28","12955","11027374","J593378","source_targeting_only"
"H-317","1339.2","+700-034+","B_034_400_740_176_bridge","34","81","C_repeated_target_family_pressure","12","area_bin;area_section;context_class;cross_section;material;order;side_relation;sides;site;symbol;type;v_bin","5","2","3","F_partial_or_weak","same_as_033_control","high_repetition_pressure","H-935","34","H-1312","33","3025","1280509","1154d554","source_targeting_only"
"H-215","1246.1","+700-034+","E_other_034_residue","89","82","C_repeated_target_family_pressure","9","area_bin;aspect_bin;h_bin;long_token_set;side_relation;sides;site;symbol;type","3","3","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-812","25","H-779","29","13155","J403686","H86-02","source_targeting_only"
"H-1830","773.1","+700-034+","A_034_no_longer_small_object","17","83","C_repeated_target_family_pressure","9","aspect_bin;long_token_set;order;shape;side_relation;sides;site;symbol;type","4","1","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1861","29","H-1156","26","H96-3052;Figure 21.11","H96-3053;Figure 21.08","2787691","source_targeting_only"
"H-1273","265.2","+700-034+","B_034_400_740_176_bridge","35","84","C_repeated_target_family_pressure","13","area_bin;aspect_bin;context_class;cross_section;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","3","3","D_object_plus_some_context","all_three_differ","high_repetition_pressure","H-900","35","H-930","32","2568508","10059455/504","J30520","source_targeting_only"
"H-1284","4069.2","+700-034+","E_other_034_residue","68","85","C_repeated_target_family_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;order;shape;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-925","32","H-930","32","-458","3286512","J30520","source_targeting_only"
"H-320","1342.2","+700-034+","E_other_034_residue","77","86","C_repeated_target_family_pressure","12","area_bin;area_section;cross_section;h_bin;long_token_set;material;order;side_relation;sides;site;symbol;type","5","2","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-927","31","H-1313","31","3173","1172502","12574891","source_targeting_only"
"H-933","1813.1","+034-700+","A_034_direction_reversal","29","87","C_repeated_target_family_pressure","10","area_bin;aspect_bin;context_class;h_bin;shape;sides;site;symbol;type;v_bin","4","4","1","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-924","28","H-930","27","G252","3286","J30520","source_targeting_only"
"H-936","1816.2","+700-034+","B_034_400_740_176_bridge","37","88","C_repeated_target_family_pressure","12","area_section;aspect_bin;context_class;h_bin;long_token_set;material;order;side_relation;sides;site;symbol;type","4","2","3","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-309","30","H-315","35","1242","2056(1)","10185c","source_targeting_only"
"H-312","1334.2","+700-034+","B_034_400_740_176_bridge","33","89","C_repeated_target_family_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","same_as_033_control","high_repetition_pressure","H-1303","36","H-930","32","2483","2357879","J30520","source_targeting_only"
"H-2095","518.1","+700-034+","A_034_002_861_416_companion","5","90","C_repeated_target_family_pressure","9","area_bin;aspect_bin;context_class;h_bin;order;sides;site;symbol;type","3","3","2","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-2125","27","H-1309","25","H90-1688;Figure 13.44 (d)","H2000-4485;Figure 42.03","2257404","source_targeting_only"
"H-2096","665.1","+700-034+","A_034_002_861_416_companion","4","91","C_repeated_target_family_pressure","11","area_bin;aspect_bin;context_class;h_bin;order;shape;sides;site;symbol;type;v_bin","4","4","2","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-924","28","H-930","28","H95-2488","3286","J30520","source_targeting_only"
"H-297","1319.2","+700-034+","E_other_034_residue","90","92","D_source_hook_gap","9","context_class;h_bin;order;shape;side_relation;sides;site;symbol;v_bin","3","2","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-216","27","H-943","26","","","3668461","source_targeting_only"
"H-1982","690.1","+700-034+","E_other_034_residue","76","93","D_source_hook_gap","12","area_bin;aspect_bin;cross_section;h_bin;long_token_set;order;shape;side_relation;sides;site;type;v_bin","5","4","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-827","33","H-717","30","H95-2601;Figure 23.08","","2543594","source_targeting_only"
