"policy","first_code","last_code","first_sign","last_sign","count","examples","review_status"
"p385_merge_only","I","M","L520","L415","1","M-37","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L156","L255","1","M-97","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L156","L345","1","M-93","anchor_pair_only_not_semantic"
"p385_merge_only","I","D","L740","L390","1","M-82","anchor_pair_only_not_semantic"
"p385_merge_only","D","W","L390","L550","1","M-158","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L820","L244","1","M-6","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L820","L171","1","M-16","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L390","L796","1","M-83","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L390","L560","1","M-17","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L390","L190","1","M-115","anchor_pair_only_not_semantic"
"p385_merge_only","D","S","L390","L165","1","M-95","anchor_pair_only_not_semantic"
"p385_merge_only","D","M","L390","L803","1","M-177","anchor_pair_only_not_semantic"
"p385_merge_only","D","M","L390","L016","1","M-178","anchor_pair_only_not_semantic"
"p385_merge_only","D","M","L390","L003","1","M-179","anchor_pair_only_not_semantic"
"p385_merge_only","D","W","L390","L920","1","M-48","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L156","L545","1","M-132","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L004","1","M-64","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L272","1","M-85","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L579","1","M-159","anchor_pair_only_not_semantic"
"p385_merge_only","S","W","L526","L550","1","M-63","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L545","1","M-78","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L455","1","M-140","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L374","1","M-34","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L373","1","M-43","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L371","1","M-12","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L329","1","M-36","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L317","1","M-44","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L260","1","M-107","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L215","1","M-46","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L144","1","M-130","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L119","1","M-99","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L112","1","M-33","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L107","1","M-35","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L084","1","M-92","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L005","1","M-138","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L898","1","M-154","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L700","1","M-86","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L575","1","M-65","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L502","1","M-181","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L360","1","M-129","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L520","L297","1","M-183","anchor_pair_only_not_semantic"
