bigram,exact_cells,best_next,best_hit,best_share,sites,types
335-740,1,176,1,1,1,1
335-741,1,060,1,1,1,1
335-803,1,<END>,1,1,1,1
336-002,1,220,1,1,1,1
336-630,1,706,1,1,1,1
336-827,1,<END>,1,1,1,1
337-176,1,<END>,1,1,1,1
337-692,1,490,1,1,1,1
338-605,1,176,1,1,1,1
340-924,1,220,1,1,1,1
342-632,1,<END>,1,1,1,1
343-615,1,<END>,1,1,1,1
344-032,1,545,1,1,1,1
345-279,1,<END>,1,1,1,1
346-510,1,<END>,1,1,1,1
346-706,1,<END>,1,1,1,1
347-061,1,<END>,1,1,1,1
350-001,1,740,1,1,1,1
350-032,1,190,1,1,1,1
350-128,1,857,1,1,1,1
350-235,1,741,1,1,1,1
350-495,1,834,1,1,1,1
350-520,1,001,1,1,1,1
350-550,1,692,1,1,1,1
350-590,1,032,1,1,1,1
350-595,1,820,1,1,1,1
350-617,1,741,1,1,1,1
350-742,1,706,1,1,1,1
350-761,1,032,1,1,1,1
350-895,1,785,1,1,1,1
351-741,1,033,1,1,1,1
352-125,1,741,1,1,1,1
352-892,1,590,1,1,1,1
353-741,1,455,1,1,1,1
354-001,1,740,1,1,1,1
354-125,1,812,1,1,1,1
360-064,1,<END>,1,1,1,1
360-268,1,252,1,1,1,1
360-520,1,919,1,1,1,1
360-832,1,<END>,1,1,1,1
362-002,1,360,1,1,1,1
362-692,1,032,1,1,1,1
365-263,1,<END>,1,1,1,1
365-278,1,061,1,1,1,1
365-287,1,034,1,1,1,1
365-415,1,001,1,1,1,1
365-527,1,<END>,1,1,1,1
365-550,1,<END>,1,1,1,1
365-817,1,<END>,1,1,1,1
365-900,1,<END>,1,1,1,1
367-390,1,710,1,1,1,1
367-861,1,216,1,1,1,1
368-001,1,550,1,1,1,1
368-003,1,742,1,1,1,1
368-031,1,<END>,1,1,1,1
368-033,1,705,1,1,1,1
368-035,1,<END>,1,1,1,1
368-055,1,<END>,1,1,1,1
368-072,1,<END>,1,1,1,1
368-119,1,<END>,1,1,1,1
368-140,1,706,1,1,1,1
368-165,1,<END>,1,1,1,1
368-202,1,892,1,1,1,1
368-280,1,192,1,1,1,1
368-304,1,125,1,1,1,1
368-351,1,<END>,1,1,1,1
368-415,1,104,1,1,1,1
368-501,1,706,1,1,1,1
368-518,1,<END>,1,1,1,1
368-550,1,821,1,1,1,1
368-632,1,032,1,1,1,1
368-741,1,<END>,1,1,1,1
368-767,1,<END>,1,1,1,1
368-803,1,031,1,1,1,1
368-806,1,<END>,1,1,1,1
368-821,1,055,1,1,1,1
368-824,1,<END>,1,1,1,1
368-831,1,165,1,1,1,1
368-836,1,741,1,1,1,1
368-840,1,830,1,1,1,1
368-900,1,<END>,1,1,1,1
368-906,1,329,1,1,1,1
370-455,1,<END>,1,1,1,1
370-861,1,<END>,1,1,1,1
371-031,1,<END>,1,1,1,1
371-220,1,415,1,1,1,1
371-741,1,590,1,1,1,1
372-374,1,<END>,1,1,1,1
373-031,1,002,1,1,1,1
374-125,1,740,1,1,1,1
374-132,1,<END>,1,1,1,1
374-228,1,741,1,1,1,1
374-308,1,350,1,1,1,1
374-309,1,350,1,1,1,1
374-310,1,350,1,1,1,1
374-575,1,<END>,1,1,1,1
374-740,1,760,1,1,1,1
374-840,1,<END>,1,1,1,1
375-400,1,390,1,1,1,1
380-235,1,002,1,1,1,1
380-899,1,<END>,1,1,1,1
381-292,1,590,1,1,1,1
382-002,1,820,1,1,1,1
382-031,1,002,1,1,1,1
382-032,1,002,1,1,1,1
382-233,1,002,1,1,1,1
382-520,1,<END>,1,1,1,1
382-741,1,572,1,1,1,1
382-760,1,382,1,1,1,1
382-878,1,<END>,1,1,1,1
383-031,1,<END>,1,1,1,1
384-033,1,<END>,1,1,1,1
384-090,1,351,1,1,1,1
384-125,1,<END>,1,1,1,1
384-575,1,892,1,1,1,1
384-741,1,859,1,1,1,1
385-705,1,632,1,1,1,1
388-033,1,705,1,1,1,1
388-134,1,368,1,1,1,1
388-140,1,<END>,1,1,1,1
388-220,1,004,1,1,1,1
388-385,1,705,1,1,1,1
388-611,1,820,1,1,1,1
388-807,1,033,1,1,1,1
388-900,1,320,1,1,1,1
390-002,1,820,1,1,1,1
390-015,1,002,1,1,1,1
390-035,1,<END>,1,1,1,1
390-060,1,740,1,1,1,1
390-072,1,<END>,1,1,1,1
390-090,1,390,1,1,1,1
390-128,1,702,1,1,1,1
390-143,1,033,1,1,1,1
390-231,1,<END>,1,1,1,1
390-346,1,<END>,1,1,1,1
390-370,1,<END>,1,1,1,1
390-371,1,<END>,1,1,1,1
390-403,1,<END>,1,1,1,1
390-406,1,<END>,1,1,1,1
390-458,1,<END>,1,1,1,1
390-503,1,740,1,1,1,1
390-530,1,741,1,1,1,1
390-531,1,002,1,1,1,1
390-550,1,452,1,1,1,1
390-600,1,617,1,1,1,1
390-632,1,<END>,1,1,1,1
390-692,1,<END>,1,1,1,1
390-697,1,151,1,1,1,1
390-700,1,790,1,1,1,1
390-704,1,001,1,1,1,1
390-707,1,<END>,1,1,1,1
390-717,1,061,1,1,1,1
390-721,1,790,1,1,1,1
390-728,1,<END>,1,1,1,1
390-741,1,<END>,1,1,1,1
390-820,1,463,1,1,1,1
390-831,1,<END>,1,1,1,1
390-832,1,003,1,1,1,1
390-869,1,002,1,1,1,1
390-871,1,<END>,1,1,1,1
390-900,1,140,1,1,1,1
391-060,1,692,1,1,1,1
391-741,1,442,1,1,1,1
392-004,1,002,1,1,1,1
392-590,1,125,1,1,1,1
392-861,1,<END>,1,1,1,1
394-032,1,002,1,1,1,1
400-061,1,299,1,1,1,1
400-093,1,368,1,1,1,1
400-125,1,745,1,1,1,1
400-130,1,746,1,1,1,1
400-131,1,<END>,1,1,1,1
400-136,1,140,1,1,1,1
400-139,1,<END>,1,1,1,1
400-140,1,<END>,1,1,1,1
400-150,1,617,1,1,1,1
400-153,1,118,1,1,1,1
400-165,1,900,1,1,1,1
400-202,1,892,1,1,1,1
400-220,1,428,1,1,1,1
400-221,1,031,1,1,1,1
400-232,1,235,1,1,1,1
400-241,1,031,1,1,1,1
400-255,1,400,1,1,1,1
400-267,1,820,1,1,1,1
400-296,1,350,1,1,1,1
400-297,1,352,1,1,1,1
400-345,1,279,1,1,1,1
400-353,1,<END>,1,1,1,1
400-354,1,002,1,1,1,1
400-456,1,503,1,1,1,1
400-521,1,002,1,1,1,1
400-565,1,<END>,1,1,1,1
400-592,1,140,1,1,1,1
400-595,1,420,1,1,1,1
400-617,1,829,1,1,1,1
400-678,1,<END>,1,1,1,1
400-698,1,<END>,1,1,1,1
400-741,1,717,1,1,1,1
400-750,1,090,1,1,1,1
400-760,1,740,1,1,1,1
400-775,1,516,1,1,1,1
400-806,1,805,1,1,1,1
400-807,1,740,1,1,1,1
400-820,1,100,1,1,1,1
400-852,1,<END>,1,1,1,1
400-854,1,032,1,1,1,1
400-890,1,104,1,1,1,1
400-920,1,031,1,1,1,1
400-921,1,690,1,1,1,1
401-002,1,368,1,1,1,1
401-390,1,016,1,1,1,1
401-698,1,<END>,1,1,1,1
401-861,1,440,1,1,1,1
401-920,1,<END>,1,1,1,1
402-741,1,575,1,1,1,1
405-018,1,001,1,1,1,1
405-019,1,<END>,1,1,1,1
405-032,1,900,1,1,1,1
405-035,1,002,1,1,1,1
405-125,1,820,1,1,1,1
405-240,1,740,1,1,1,1
405-321,1,<END>,1,1,1,1
405-371,1,031,1,1,1,1
405-372,1,374,1,1,1,1
405-631,1,<END>,1,1,1,1
405-690,1,032,1,1,1,1
405-720,1,<END>,1,1,1,1
405-844,1,032,1,1,1,1
405-845,1,686,1,1,1,1
406-061,1,070,1,1,1,1
406-072,1,002,1,1,1,1
406-371,1,220,1,1,1,1
406-740,1,482,1,1,1,1
407-003,1,<END>,1,1,1,1
407-017,1,060,1,1,1,1
407-071,1,032,1,1,1,1
407-125,1,590,1,1,1,1
407-140,1,<END>,1,1,1,1
407-371,1,<END>,1,1,1,1
408-004,1,<END>,1,1,1,1
408-032,1,520,1,1,1,1
408-817,1,920,1,1,1,1
409-015,1,<END>,1,1,1,1
409-032,1,845,1,1,1,1
409-061,1,740,1,1,1,1
409-190,1,002,1,1,1,1
410-017,1,<END>,1,1,1,1
411-005,1,<END>,1,1,1,1
411-440,1,236,1,1,1,1
411-740,1,335,1,1,1,1
413-031,1,<END>,1,1,1,1
413-033,1,740,1,1,1,1
413-346,1,706,1,1,1,1
413-368,1,031,1,1,1,1
413-530,1,<END>,1,1,1,1
413-575,1,<END>,1,1,1,1
413-740,1,222,1,1,1,1
413-820,1,220,1,1,1,1
413-892,1,824,1,1,1,1
413-933,1,031,1,1,1,1
415-031,1,002,1,1,1,1
415-035,1,171,1,1,1,1
415-056,1,<END>,1,1,1,1
415-104,1,002,1,1,1,1
415-191,1,002,1,1,1,1
415-700,1,033,1,1,1,1
415-717,1,<END>,1,1,1,1
415-740,1,257,1,1,1,1
415-745,1,060,1,1,1,1
415-790,1,900,1,1,1,1
415-820,1,<END>,1,1,1,1
415-927,1,060,1,1,1,1
416-140,1,220,1,1,1,1
416-150,1,002,1,1,1,1
416-240,1,741,1,1,1,1
416-590,1,033,1,1,1,1
416-621,1,002,1,1,1,1
416-803,1,002,1,1,1,1
420-032,1,<END>,1,1,1,1
420-125,1,032,1,1,1,1
420-706,1,140,1,1,1,1
420-717,1,745,1,1,1,1
421-003,1,<END>,1,1,1,1
423-002,1,031,1,1,1,1
424-003,1,001,1,1,1,1
427-003,1,001,1,1,1,1
429-003,1,741,1,1,1,1
430-003,1,<END>,1,1,1,1
435-093,1,740,1,1,1,1
435-176,1,233,1,1,1,1
435-690,1,<END>,1,1,1,1
436-740,1,176,1,1,1,1
440-002,1,297,1,1,1,1
440-003,1,421,1,1,1,1
440-012,1,<END>,1,1,1,1
440-060,1,550,1,1,1,1
440-231,1,060,1,1,1,1
440-233,1,002,1,1,1,1
440-236,1,220,1,1,1,1
440-411,1,740,1,1,1,1
440-455,1,<END>,1,1,1,1
440-556,1,<END>,1,1,1,1
440-617,1,<END>,1,1,1,1
440-692,1,001,1,1,1,1
440-717,1,<END>,1,1,1,1
440-741,1,060,1,1,1,1
440-742,1,060,1,1,1,1
440-853,1,016,1,1,1,1
441-002,1,820,1,1,1,1
442-279,1,<END>,1,1,1,1
443-060,1,820,1,1,1,1
444-388,1,233,1,1,1,1
450-575,1,<END>,1,1,1,1
450-617,1,033,1,1,1,1
452-060,1,690,1,1,1,1
453-064,1,001,1,1,1,1
455-002,1,368,1,1,1,1
455-031,1,091,1,1,1,1
455-033,1,590,1,1,1,1
455-066,1,942,1,1,1,1
455-125,1,031,1,1,1,1
455-176,1,002,1,1,1,1
455-220,1,032,1,1,1,1
455-235,1,798,1,1,1,1
455-371,1,741,1,1,1,1
455-420,1,032,1,1,1,1
455-503,1,<END>,1,1,1,1
455-511,1,<END>,1,1,1,1
455-520,1,<END>,1,1,1,1
455-530,1,741,1,1,1,1
455-590,1,142,1,1,1,1
455-741,1,<END>,1,1,1,1
455-806,1,<END>,1,1,1,1
455-861,1,<END>,1,1,1,1
456-001,1,820,1,1,1,1
456-503,1,337,1,1,1,1
457-740,1,165,1,1,1,1
460-015,1,<END>,1,1,1,1
460-031,1,<END>,1,1,1,1
460-032,1,<END>,1,1,1,1
460-353,1,<END>,1,1,1,1
460-513,1,<END>,1,1,1,1
460-741,1,060,1,1,1,1
461-840,1,<END>,1,1,1,1
463-060,1,368,1,1,1,1
463-140,1,<END>,1,1,1,1
463-240,1,001,1,1,1,1
463-353,1,<END>,1,1,1,1
463-354,1,<END>,1,1,1,1
463-513,1,390,1,1,1,1
463-575,1,<END>,1,1,1,1
465-033,1,705,1,1,1,1
466-520,1,231,1,1,1,1
467-001,1,692,1,1,1,1
467-013,1,817,1,1,1,1
467-031,1,<END>,1,1,1,1
468-001,1,740,1,1,1,1
468-740,1,752,1,1,1,1
469-001,1,740,1,1,1,1
470-002,1,861,1,1,1,1
471-407,1,845,1,1,1,1
472-001,1,740,1,1,1,1
472-013,1,220,1,1,1,1
472-240,1,806,1,1,1,1
474-013,1,820,1,1,1,1
475-005,1,<END>,1,1,1,1
480-003,1,031,1,1,1,1
480-090,1,820,1,1,1,1
480-140,1,632,1,1,1,1
480-165,1,900,1,1,1,1
480-306,1,813,1,1,1,1
480-368,1,861,1,1,1,1
480-625,1,<END>,1,1,1,1
481-740,1,255,1,1,1,1
482-001,1,550,1,1,1,1
482-002,1,820,1,1,1,1
482-175,1,<END>,1,1,1,1
482-484,1,900,1,1,1,1
482-803,1,745,1,1,1,1
482-838,1,<END>,1,1,1,1
483-233,1,235,1,1,1,1
483-803,1,626,1,1,1,1
484-002,1,390,1,1,1,1
484-031,1,060,1,1,1,1
484-140,1,002,1,1,1,1
484-380,1,899,1,1,1,1
484-741,1,060,1,1,1,1
484-900,1,<END>,1,1,1,1
484-920,1,140,1,1,1,1
491-002,1,817,1,1,1,1
491-742,1,705,1,1,1,1
492-015,1,600,1,1,1,1
494-615,1,179,1,1,1,1
495-235,1,741,1,1,1,1
495-368,1,836,1,1,1,1
495-520,1,231,1,1,1,1
495-834,1,<END>,1,1,1,1
500-060,1,920,1,1,1,1
500-209,1,<END>,1,1,1,1
500-520,1,002,1,1,1,1
500-561,1,<END>,1,1,1,1
500-706,1,<END>,1,1,1,1
501-031,1,<END>,1,1,1,1
501-706,1,821,1,1,1,1
503-031,1,002,1,1,1,1
503-233,1,240,1,1,1,1
503-235,1,233,1,1,1,1
503-236,1,806,1,1,1,1
503-337,1,484,1,1,1,1
503-368,1,817,1,1,1,1
503-626,1,484,1,1,1,1
503-740,1,168,1,1,1,1
504-235,1,060,1,1,1,1
504-632,1,032,1,1,1,1
504-717,1,<END>,1,1,1,1
504-803,1,<END>,1,1,1,1
506-002,1,817,1,1,1,1
510-220,1,065,1,1,1,1
510-235,1,220,1,1,1,1
510-250,1,853,1,1,1,1
510-741,1,252,1,1,1,1
511-060,1,690,1,1,1,1
511-233,1,060,1,1,1,1
511-630,1,336,1,1,1,1
513-390,1,017,1,1,1,1
515-126,1,<END>,1,1,1,1
515-388,1,<END>,1,1,1,1
515-503,1,<END>,1,1,1,1
515-740,1,220,1,1,1,1
515-921,1,<END>,1,1,1,1
516-775,1,<END>,1,1,1,1
518-001,1,031,1,1,1,1
518-090,1,740,1,1,1,1
518-220,1,416,1,1,1,1
519-240,1,002,1,1,1,1
520-002,1,862,1,1,1,1
520-013,1,<END>,1,1,1,1
520-073,1,<END>,1,1,1,1
520-090,1,803,1,1,1,1
520-219,1,002,1,1,1,1
520-315,1,002,1,1,1,1
520-463,1,510,1,1,1,1
520-552,1,060,1,1,1,1
520-742,1,861,1,1,1,1
520-897,1,<END>,1,1,1,1
520-920,1,320,1,1,1,1
521-002,1,820,1,1,1,1
521-090,1,740,1,1,1,1
521-368,1,280,1,1,1,1
521-521,1,090,1,1,1,1
521-702,1,<END>,1,1,1,1
525-554,1,<END>,1,1,1,1
526-388,1,<END>,1,1,1,1
527-140,1,<END>,1,1,1,1
527-195,1,<END>,1,1,1,1
527-456,1,<END>,1,1,1,1
527-475,1,005,1,1,1,1
527-556,1,<END>,1,1,1,1
527-740,1,914,1,1,1,1
530-323,1,316,1,1,1,1
530-740,1,741,1,1,1,1
530-786,1,<END>,1,1,1,1
530-820,1,<END>,1,1,1,1
530-904,1,<END>,1,1,1,1
531-002,1,820,1,1,1,1
534-550,1,090,1,1,1,1
534-556,1,<END>,1,1,1,1
535-099,1,004,1,1,1,1
540-204,1,255,1,1,1,1
540-590,1,<END>,1,1,1,1
540-920,1,<END>,1,1,1,1
542-250,1,<END>,1,1,1,1
544-353,1,741,1,1,1,1
550-060,1,820,1,1,1,1
550-061,1,435,1,1,1,1
550-090,1,<END>,1,1,1,1
550-105,1,104,1,1,1,1
550-390,1,<END>,1,1,1,1
550-452,1,060,1,1,1,1
550-467,1,<END>,1,1,1,1
550-611,1,840,1,1,1,1
550-615,1,<END>,1,1,1,1
550-692,1,<END>,1,1,1,1
550-741,1,060,1,1,1,1
550-798,1,220,1,1,1,1
550-803,1,002,1,1,1,1
550-820,1,<END>,1,1,1,1
550-821,1,<END>,1,1,1,1
552-002,1,817,1,1,1,1
552-003,1,<END>,1,1,1,1
552-060,1,692,1,1,1,1
554-001,1,297,1,1,1,1
554-104,1,<END>,1,1,1,1
554-220,1,415,1,1,1,1
554-298,1,368,1,1,1,1
555-002,1,817,1,1,1,1
555-033,1,706,1,1,1,1
555-055,1,233,1,1,1,1
555-060,1,550,1,1,1,1
555-240,1,002,1,1,1,1
555-740,1,055,1,1,1,1
556-060,1,550,1,1,1,1
560-233,1,002,1,1,1,1
560-534,1,<END>,1,1,1,1
561-092,1,625,1,1,1,1
561-586,1,<END>,1,1,1,1
564-060,1,820,1,1,1,1
564-617,1,033,1,1,1,1
564-741,1,798,1,1,1,1
565-031,1,416,1,1,1,1
565-233,1,002,1,1,1,1
565-741,1,263,1,1,1,1
565-806,1,<END>,1,1,1,1
572-683,1,<END>,1,1,1,1
572-684,1,<END>,1,1,1,1
575-001,1,095,1,1,1,1
575-031,1,<END>,1,1,1,1
575-692,1,<END>,1,1,1,1
575-703,1,060,1,1,1,1
575-704,1,140,1,1,1,1
575-705,1,056,1,1,1,1
575-717,1,<END>,1,1,1,1
575-892,1,706,1,1,1,1
575-920,1,140,1,1,1,1
576-545,1,<END>,1,1,1,1
585-220,1,002,1,1,1,1
585-233,1,<END>,1,1,1,1
585-240,1,220,1,1,1,1
585-741,1,840,1,1,1,1
585-798,1,002,1,1,1,1
585-838,1,240,1,1,1,1
585-900,1,014,1,1,1,1
590-001,1,060,1,1,1,1
590-017,1,<END>,1,1,1,1
590-070,1,032,1,1,1,1
590-111,1,<END>,1,1,1,1
590-142,1,220,1,1,1,1
590-165,1,032,1,1,1,1
590-252,1,<END>,1,1,1,1
590-455,1,<END>,1,1,1,1
590-495,1,520,1,1,1,1
590-520,1,515,1,1,1,1
590-615,1,140,1,1,1,1
590-645,1,104,1,1,1,1
590-690,1,436,1,1,1,1
590-706,1,794,1,1,1,1
590-742,1,700,1,1,1,1
590-790,1,<END>,1,1,1,1
590-794,1,732,1,1,1,1
590-806,1,002,1,1,1,1
590-831,1,<END>,1,1,1,1
590-850,1,032,1,1,1,1
590-893,1,001,1,1,1,1
590-894,1,140,1,1,1,1
590-904,1,220,1,1,1,1
590-906,1,<END>,1,1,1,1
592-140,1,003,1,1,1,1
595-090,1,175,1,1,1,1
595-140,1,640,1,1,1,1
595-204,1,920,1,1,1,1
595-342,1,632,1,1,1,1
595-343,1,615,1,1,1,1
595-504,1,803,1,1,1,1
595-632,1,740,1,1,1,1
595-641,1,<END>,1,1,1,1
595-752,1,455,1,1,1,1
595-760,1,706,1,1,1,1
595-812,1,125,1,1,1,1
595-813,1,541,1,1,1,1
595-906,1,<END>,1,1,1,1
596-018,1,125,1,1,1,1
599-798,1,706,1,1,1,1
600-143,1,<END>,1,1,1,1
600-251,1,073,1,1,1,1
600-617,1,002,1,1,1,1
600-740,1,060,1,1,1,1
603-240,1,060,1,1,1,1
604-142,1,002,1,1,1,1
605-176,1,001,1,1,1,1
605-626,1,060,1,1,1,1
606-002,1,820,1,1,1,1
611-615,1,703,1,1,1,1
611-706,1,002,1,1,1,1
611-820,1,<END>,1,1,1,1
611-840,1,<END>,1,1,1,1
615-016,1,435,1,1,1,1
615-140,1,232,1,1,1,1
615-179,1,100,1,1,1,1
615-262,1,<END>,1,1,1,1
615-352,1,<END>,1,1,1,1
615-380,1,<END>,1,1,1,1
615-417,1,<END>,1,1,1,1
615-440,1,220,1,1,1,1
615-906,1,388,1,1,1,1
615-920,1,<END>,1,1,1,1
617-002,1,190,1,1,1,1
617-016,1,<END>,1,1,1,1
617-055,1,001,1,1,1,1
617-070,1,<END>,1,1,1,1
617-117,1,<END>,1,1,1,1
617-122,1,003,1,1,1,1
617-145,1,<END>,1,1,1,1
617-255,1,140,1,1,1,1
617-741,1,<END>,1,1,1,1
617-798,1,003,1,1,1,1
617-829,1,<END>,1,1,1,1
621-002,1,820,1,1,1,1
621-046,1,<END>,1,1,1,1
621-090,1,740,1,1,1,1
621-226,1,<END>,1,1,1,1
621-415,1,002,1,1,1,1
622-740,1,717,1,1,1,1
625-140,1,220,1,1,1,1
625-900,1,<END>,1,1,1,1
626-060,1,820,1,1,1,1
626-061,1,<END>,1,1,1,1
626-176,1,033,1,1,1,1
626-484,1,<END>,1,1,1,1
627-615,1,906,1,1,1,1
628-817,1,<END>,1,1,1,1
629-279,1,<END>,1,1,1,1
630-098,1,368,1,1,1,1
630-155,1,002,1,1,1,1
630-233,1,832,1,1,1,1
630-235,1,060,1,1,1,1
630-336,1,827,1,1,1,1
630-705,1,<END>,1,1,1,1
630-706,1,<END>,1,1,1,1
632-066,1,740,1,1,1,1
632-705,1,002,1,1,1,1
632-740,1,550,1,1,1,1
632-920,1,<END>,1,1,1,1
633-032,1,<END>,1,1,1,1
639-240,1,002,1,1,1,1
643-740,1,798,1,1,1,1
645-001,1,368,1,1,1,1
645-002,1,817,1,1,1,1
645-104,1,<END>,1,1,1,1
645-202,1,001,1,1,1,1
645-368,1,817,1,1,1,1
645-645,1,031,1,1,1,1
645-850,1,820,1,1,1,1
645-999,1,645,1,1,1,1
646-604,1,<END>,1,1,1,1
647-892,1,<END>,1,1,1,1
679-060,1,550,1,1,1,1
680-090,1,585,1,1,1,1
680-297,1,741,1,1,1,1
682-413,1,840,1,1,1,1
685-226,1,032,1,1,1,1
686-740,1,793,1,1,1,1
688-740,1,100,1,1,1,1
690-004,1,<END>,1,1,1,1
690-319,1,617,1,1,1,1
690-322,1,<END>,1,1,1,1
690-365,1,817,1,1,1,1
690-518,1,090,1,1,1,1
690-544,1,<END>,1,1,1,1
690-564,1,<END>,1,1,1,1
690-590,1,032,1,1,1,1
690-630,1,240,1,1,1,1
690-636,1,240,1,1,1,1
690-642,1,240,1,1,1,1
690-681,1,<END>,1,1,1,1
690-687,1,<END>,1,1,1,1
692-001,1,542,1,1,1,1
692-003,1,700,1,1,1,1
692-032,1,002,1,1,1,1
692-401,1,920,1,1,1,1
692-451,1,<END>,1,1,1,1
692-490,1,<END>,1,1,1,1
692-491,1,002,1,1,1,1
692-687,1,<END>,1,1,1,1
692-892,1,<END>,1,1,1,1
697-031,1,<END>,1,1,1,1
697-151,1,740,1,1,1,1
697-510,1,<END>,1,1,1,1
697-590,1,<END>,1,1,1,1
697-722,1,<END>,1,1,1,1
700-014,1,<END>,1,1,1,1
700-090,1,<END>,1,1,1,1
700-100,1,001,1,1,1,1
700-126,1,<END>,1,1,1,1
700-220,1,004,1,1,1,1
700-384,1,125,1,1,1,1
700-453,1,064,1,1,1,1
700-521,1,702,1,1,1,1
700-601,1,<END>,1,1,1,1
700-605,1,<END>,1,1,1,1
700-692,1,<END>,1,1,1,1
700-790,1,032,1,1,1,1
700-840,1,032,1,1,1,1
700-850,1,002,1,1,1,1
700-920,1,125,1,1,1,1
702-032,1,226,1,1,1,1
702-061,1,002,1,1,1,1
702-503,1,<END>,1,1,1,1
702-900,1,003,1,1,1,1
703-060,1,<END>,1,1,1,1
703-617,1,<END>,1,1,1,1
703-900,1,003,1,1,1,1
704-001,1,820,1,1,1,1
704-140,1,<END>,1,1,1,1
704-176,1,<END>,1,1,1,1
705-032,1,595,1,1,1,1
705-056,1,031,1,1,1,1
705-125,1,<END>,1,1,1,1
705-127,1,<END>,1,1,1,1
705-140,1,003,1,1,1,1
705-167,1,<END>,1,1,1,1
705-171,1,360,1,1,1,1
705-176,1,<END>,1,1,1,1
705-319,1,<END>,1,1,1,1
705-368,1,005,1,1,1,1
705-380,1,<END>,1,1,1,1
705-435,1,255,1,1,1,1
705-530,1,904,1,1,1,1
705-621,1,<END>,1,1,1,1
705-632,1,<END>,1,1,1,1
705-740,1,717,1,1,1,1
705-741,1,412,1,1,1,1
705-742,1,060,1,1,1,1
705-904,1,<END>,1,1,1,1
705-924,1,156,1,1,1,1
706-005,1,<END>,1,1,1,1
706-032,1,<END>,1,1,1,1
706-060,1,220,1,1,1,1
706-061,1,060,1,1,1,1
706-167,1,<END>,1,1,1,1
706-193,1,384,1,1,1,1
706-220,1,415,1,1,1,1
706-466,1,520,1,1,1,1
706-500,1,<END>,1,1,1,1
706-575,1,<END>,1,1,1,1
706-590,1,<END>,1,1,1,1
706-595,1,<END>,1,1,1,1
706-635,1,<END>,1,1,1,1
706-717,1,002,1,1,1,1
706-803,1,002,1,1,1,1
706-821,1,001,1,1,1,1
706-928,1,<END>,1,1,1,1
710-002,1,861,1,1,1,1
710-455,1,220,1,1,1,1
714-840,1,799,1,1,1,1
717-032,1,521,1,1,1,1
717-061,1,002,1,1,1,1
717-368,1,861,1,1,1,1
717-415,1,790,1,1,1,1
717-706,1,<END>,1,1,1,1
717-745,1,<END>,1,1,1,1
717-747,1,<END>,1,1,1,1
717-770,1,235,1,1,1,1
717-790,1,<END>,1,1,1,1
717-820,1,<END>,1,1,1,1
717-853,1,<END>,1,1,1,1
718-815,1,<END>,1,1,1,1
720-175,1,002,1,1,1,1
721-002,1,301,1,1,1,1
721-790,1,002,1,1,1,1
723-066,1,828,1,1,1,1
727-317,1,<END>,1,1,1,1
729-407,1,845,1,1,1,1
732-033,1,853,1,1,1,1
734-032,1,235,1,1,1,1
740-001,1,550,1,1,1,1
740-005,1,<END>,1,1,1,1
740-050,1,705,1,1,1,1
740-058,1,<END>,1,1,1,1
740-072,1,<END>,1,1,1,1
740-083,1,235,1,1,1,1
740-094,1,220,1,1,1,1
740-121,1,<END>,1,1,1,1
740-141,1,<END>,1,1,1,1
740-143,1,067,1,1,1,1
740-152,1,240,1,1,1,1
740-154,1,017,1,1,1,1
740-158,1,806,1,1,1,1
740-168,1,002,1,1,1,1
740-175,1,415,1,1,1,1
740-178,1,<END>,1,1,1,1
740-180,1,<END>,1,1,1,1
740-191,1,<END>,1,1,1,1
740-194,1,740,1,1,1,1
740-257,1,840,1,1,1,1
740-263,1,<END>,1,1,1,1
740-266,1,<END>,1,1,1,1
740-267,1,811,1,1,1,1
740-325,1,<END>,1,1,1,1
740-327,1,<END>,1,1,1,1
740-338,1,605,1,1,1,1
740-344,1,032,1,1,1,1
740-354,1,002,1,1,1,1
740-365,1,278,1,1,1,1
740-373,1,031,1,1,1,1
740-380,1,235,1,1,1,1
740-382,1,<END>,1,1,1,1
740-386,1,<END>,1,1,1,1
740-424,1,<END>,1,1,1,1
740-441,1,002,1,1,1,1
740-444,1,388,1,1,1,1
740-500,1,091,1,1,1,1
740-503,1,235,1,1,1,1
740-514,1,<END>,1,1,1,1
740-515,1,126,1,1,1,1
740-544,1,353,1,1,1,1
740-565,1,233,1,1,1,1
740-603,1,240,1,1,1,1
740-604,1,142,1,1,1,1
740-611,1,706,1,1,1,1
740-617,1,550,1,1,1,1
740-626,1,176,1,1,1,1
740-639,1,240,1,1,1,1
740-645,1,003,1,1,1,1
740-680,1,090,1,1,1,1
740-681,1,<END>,1,1,1,1
740-702,1,061,1,1,1,1
740-706,1,<END>,1,1,1,1
740-714,1,840,1,1,1,1
740-720,1,175,1,1,1,1
740-721,1,002,1,1,1,1
740-729,1,407,1,1,1,1
740-731,1,<END>,1,1,1,1
740-741,1,456,1,1,1,1
740-742,1,<END>,1,1,1,1
740-765,1,240,1,1,1,1
740-767,1,220,1,1,1,1
740-770,1,235,1,1,1,1
740-783,1,004,1,1,1,1
740-785,1,004,1,1,1,1
740-791,1,713,1,1,1,1
740-793,1,003,1,1,1,1
740-812,1,033,1,1,1,1
740-825,1,002,1,1,1,1
740-832,1,<END>,1,1,1,1
740-838,1,741,1,1,1,1
740-843,1,<END>,1,1,1,1
740-850,1,<END>,1,1,1,1
