bigram,exact_cells,best_next,best_hit,best_share,sites,types
001-692,2,<END>,2,1,2,2
002-003,2,<END>,2,1,2,2
002-610,2,125,2,1,2,1
002-741,2,060,2,1,2,1
003-031,2,<END>,2,1,2,2
003-491,2,<END>,2,1,2,2
004-408,2,<END>,2,1,2,2
013-861,2,<END>,2,1,2,2
017-798,2,<END>,2,1,2,2
031-370,2,<END>,2,1,2,2
031-999,2,032,2,1,2,1
032-226,2,032,2,1,2,1
034-999,2,034,2,1,2,1
060-690,2,<END>,2,1,2,1
125-002,2,861,2,1,2,1
125-176,2,<END>,2,1,2,2
125-413,2,<END>,2,1,2,2
125-820,2,<END>,2,1,2,1
140-032,2,<END>,2,1,2,2
151-142,2,<END>,2,1,2,2
154-388,2,717,2,1,2,1
161-390,2,590,2,1,2,1
176-235,2,<END>,2,1,2,1
205-032,2,002,2,1,2,1
215-001,2,480,2,1,2,2
222-235,2,002,2,1,2,1
235-055,2,<END>,2,1,2,2
236-806,2,002,2,1,2,1
250-579,2,<END>,2,1,2,1
269-140,2,002,2,1,2,1
297-350,2,125,2,1,2,2
298-741,2,<END>,2,1,2,1
315-850,2,<END>,2,1,2,1
390-705,2,<END>,2,1,2,1
390-790,2,<END>,2,1,2,2
405-017,2,<END>,2,1,2,2
406-590,2,741,2,1,2,1
455-920,2,<END>,2,1,2,1
463-503,2,<END>,2,1,2,2
500-091,2,<END>,2,1,2,2
526-554,2,002,2,1,2,2
530-741,2,<END>,2,1,2,2
531-060,2,692,2,1,2,1
540-540,2,<END>,2,1,2,2
572-368,2,<END>,2,1,2,1
590-390,2,<END>,2,1,2,1
610-125,2,032,2,1,2,1
645-031,2,<END>,2,1,2,2
700-003,2,<END>,2,1,2,2
705-590,2,<END>,2,1,2,2
717-705,2,<END>,2,1,2,2
740-049,2,<END>,2,1,2,2
740-205,2,032,2,1,2,1
740-406,2,590,2,1,2,1
740-543,2,350,2,1,2,1
740-550,2,<END>,2,1,2,2
741-066,2,<END>,2,1,2,1
741-250,2,579,2,1,2,1
742-861,2,<END>,2,1,2,2
798-001,2,820,2,1,2,1
820-390,2,590,2,1,2,1
825-002,2,<END>,2,1,2,2
840-140,2,740,2,1,2,1
840-235,2,002,2,1,2,1
845-140,2,740,2,1,2,2
850-031,2,<END>,2,1,2,2
861-031,2,<END>,2,1,2,2
861-125,2,<END>,2,1,2,1
892-700,2,<END>,2,1,2,1
904-220,2,032,2,1,2,2
920-031,2,<END>,2,1,2,1
920-317,2,<END>,2,1,2,1
999-034,2,<END>,2,1,2,1
001-900,2,740,2,1,1,1
002-056,2,091,2,1,1,1
002-112,2,<END>,2,1,1,1
002-130,2,035,2,1,1,1
002-502,2,031,2,1,1,1
002-690,2,921,2,1,1,1
003-590,2,<END>,2,1,1,1
004-104,2,<END>,2,1,1,2
017-032,2,820,2,1,1,1
031-575,2,<END>,2,1,1,1
032-027,2,<END>,2,1,1,1
032-028,2,<END>,2,1,1,2
032-059,2,<END>,2,1,1,1
033-272,2,<END>,2,1,1,2
056-091,2,<END>,2,1,1,1
060-891,2,<END>,2,1,1,1
061-070,2,032,2,1,1,1
063-315,2,<END>,2,1,1,1
072-219,2,<END>,2,1,1,1
125-575,2,<END>,2,1,1,1
137-002,2,820,2,1,1,1
150-741,2,070,2,1,1,1
151-229,2,<END>,2,1,1,1
154-440,2,220,2,1,1,1
156-005,2,<END>,2,1,1,1
158-904,2,736,2,1,1,1
159-877,2,<END>,2,1,1,2
168-032,2,<END>,2,1,1,1
176-422,2,003,2,1,1,1
241-803,2,002,2,1,1,1
255-055,2,<END>,2,1,1,1
255-060,2,692,2,1,1,1
321-407,2,845,2,1,1,1
336-018,2,<END>,2,1,1,1
354-002,2,817,2,1,1,1
365-460,2,495,2,1,1,1
368-091,2,<END>,2,1,1,1
