"scope","feature","value","subtype","in_subtype_count","subtype_total","in_subtype_share","out_subtype_count","out_subtype_total","out_subtype_share","lift_vs_other_subtypes"
"all_frame700_subtypes","long_last_tokens","140","032","3","102","0.029412","2","251","0.007968","3.691176"
"all_frame700_subtypes","context_class","all_short_or_no_longer_text","034","39","114","0.342105","23","239","0.096234","3.55492"
"all_frame700_subtypes","long_last_tokens","032","032","4","102","0.039216","3","251","0.011952","3.281046"
"all_frame700_subtypes","area_bin","area_lt_80","034","20","114","0.175439","14","239","0.058577","2.994987"
"all_frame700_subtypes","long_edge_frames","740...692","034","4","114","0.035088","3","239","0.012552","2.795322"
"all_frame700_subtypes","long_last_tokens","692","034","4","114","0.035088","3","239","0.012552","2.795322"
"all_frame700_subtypes","long_token_set","176;400;740","033","19","137","0.138686","11","216","0.050926","2.723291"
"all_frame700_subtypes","v_bin","v_ge_10","032","30","102","0.294118","29","251","0.115538","2.545639"
"all_frame700_subtypes","long_last_tokens","220","032","4","102","0.039216","4","251","0.015936","2.460784"
"all_frame700_subtypes","context_class","multiple_longer_texts","033","3","137","0.021898","2","216","0.009259","2.364964"
"all_frame700_subtypes","long_last_tokens","820","033","3","137","0.021898","2","216","0.009259","2.364964"
"all_frame700_subtypes","longer_row_count","2","033","3","137","0.021898","2","216","0.009259","2.364964"
"all_frame700_subtypes","long_edge_frames","400...176","033","19","137","0.138686","14","216","0.064815","2.139729"
"all_frame700_subtypes","long_last_tokens","176","033","20","137","0.145985","15","216","0.069444","2.10219"
"all_frame700_subtypes","h_bin","h_lt_10","034","6","114","0.052632","6","239","0.025105","2.096491"
"all_frame700_subtypes","long_first_tokens","520","034","5","114","0.04386","5","239","0.020921","2.096491"
"all_frame700_subtypes","long_last_tokens","415","034","4","114","0.035088","4","239","0.016736","2.096491"
"all_frame700_subtypes","long_last_tokens","255","034","3","114","0.026316","3","239","0.012552","2.096491"
"all_frame700_subtypes","v_bin","v_missing","033","20","137","0.145985","16","216","0.074074","1.970803"
"all_frame700_subtypes","long_edge_frames","740...240","033","5","137","0.036496","4","216","0.018519","1.970803"
"all_frame700_subtypes","h_bin","h_missing","032","12","102","0.117647","15","251","0.059761","1.968627"
"all_frame700_subtypes","area_bin","area_ge_180","032","23","102","0.22549","29","251","0.115538","1.951657"
"all_frame700_subtypes","area_bin","area_80_120","034","67","114","0.587719","74","239","0.309623","1.898174"
"all_frame700_subtypes","long_length_bin","long_len_6_plus","033","6","137","0.043796","5","216","0.023148","1.891971"
"all_frame700_subtypes","area_bin","area_missing","033","23","137","0.167883","20","216","0.092593","1.813139"
"all_frame700_subtypes","aspect_bin","aspect_missing","033","23","137","0.167883","20","216","0.092593","1.813139"
"all_frame700_subtypes","v_bin","v_7_8p5","034","64","114","0.561404","75","239","0.313808","1.789006"
"all_frame700_subtypes","context_class","single_short_no_longer_text","032","22","102","0.215686","31","251","0.123506","1.746363"
"all_frame700_subtypes","v_bin","v_lt_7","034","27","114","0.236842","34","239","0.142259","1.664861"
"all_frame700_subtypes","h_bin","h_ge_16","032","54","102","0.529412","81","251","0.322709","1.640523"
"all_frame700_subtypes","aspect_bin","aspect_1p5_1p9","034","64","114","0.561404","82","239","0.343096","1.636286"
"all_frame700_subtypes","side_relation","short_after_all_longer","033","67","137","0.489051","65","216","0.300926","1.625154"
"all_frame700_subtypes","area_bin","area_missing","032","17","102","0.166667","26","251","0.103586","1.608974"
"all_frame700_subtypes","aspect_bin","aspect_missing","032","17","102","0.166667","26","251","0.103586","1.608974"
"all_frame700_subtypes","long_has_176","has176_true","033","23","137","0.167883","23","216","0.106481","1.576642"
"all_frame700_subtypes","v_bin","v_missing","032","14","102","0.137255","22","251","0.087649","1.565954"
"all_frame700_subtypes","long_length_bin","long_len_4_5","032","40","102","0.392157","63","251","0.250996","1.562403"
"all_frame700_subtypes","long_edge_frames","NO_LONGER_TEXT","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","long_first_tokens","NO_LONGER_TEXT","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","long_last_tokens","NO_LONGER_TEXT","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","long_length_bin","long_len_0","034","49","114","0.429825","66","239","0.276151","1.556486"
"all_frame700_subtypes","long_token_set","NO_LONGER_TEXT","034","49","114","0.429825","66","239","0.276151","1.556486"
