"prev","site","type","total","known_next","damaged_or_open_count","exact_triplet_count","source_hint_occurrence_count","dominant_next","dominant_next_count","dominant_next_share","next_dist","examples"
"520","Mohenjo-daro","SEAL:S","31","29","2","3","3","415","7","0.241379","415:7;002:3;235:3;240:3;003:2;016:2;001:1;004:1;031:1;032:1;034:1;060:1;368:1;621:1;803:1","2265.1;2268.1;2420.1;2441.1;2485.1;2506.1;2510.1;2513.1;2516.1;2551.1"
"520","Harappa","TAB:I","17","14","1","14","5","415","13","0.928571","415:13;016:1","221.1;277.2;282.2;481.1;816.1;841.1;848.1;1341.1;1351.1;1366.1"
"520","Harappa","TAB:B","7","7","0","3","1","415","4","0.571429","415:4;016:2;240:1","258.1;485.2;913.1;913.2;1258.1;1677.2;1680.1"
"520","Harappa","SEAL:S","5","3","2","0","0","016","1","0.333333","016:1;240:1;415:1","199.1;479.1;739.1;1153.1;1500.1"
"520","Banawali","TAG","1","1","1","0","0","002","1","1","002:1","41.1"
"520","Dholavira","TAB:I","1","1","1","0","0","032","1","1","032:1","4170.1"
"520","Harappa","TAG","1","1","1","0","0","415","1","1","415:1","517.1"
"520","Kalibangan","SEAL:S","1","1","0","1","1","006","1","1","006:1","5277.1"
"520","Lothal","SEAL:R","1","1","0","0","0","415","1","1","415:1","2052.1"
"520","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","2891.1"
"520","Nausharo","SEAL:S","1","1","0","0","0","742","1","1","742:1","5360.1"
"550","Harappa","TAB:I","2","0","0","2","0","","0",,"","1364.1;1378.1"
"550","Harappa","TAB:B","1","0","0","1","0","","0",,"","313.1"
"554","Harappa","SEAL:R","1","1","0","0","0","415","1","1","415:1","1174.1"
"585","Mohenjo-daro","SEAL:S","2","1","0","1","0","002","1","1","002:1","3483.1;3492.1"
"585","Harappa","SEAL:S","1","1","1","0","0","000","1","1","000:1","1531.1"
"590","Mohenjo-daro","SEAL:R","2","2","0","0","0","032","1","0.5","032:1;235:1","2855.1;2888.1"
"590","Dholavira","SEAL:S","1","1","0","0","0","463","1","1","463:1","4229.1"
"590","Harappa","POT:T:g","1","1","1","0","0","003","1","1","003:1","174.1"
"590","Harappa","SEAL:R","1","1","0","0","0","003","1","1","003:1","1175.1"
"590","Kish","SEAL:S","1","1","0","0","0","003","1","1","003:1","1971.1"
"590","Lothal","TAG","1","0","1","0","0","","0",,"","2122.1"
"590","Mohenjo-daro","SEAL:S","1","1","0","0","0","003","1","1","003:1","2621.1"
"590","Mohenjo-daro","TAB:C","1","1","0","0","0","003","1","1","003:1","3066.2"
"590","Rupar","POT:T:g","1","1","0","0","0","033","1","1","033:1","3871.1"
"626","Mohenjo-daro","SEAL:S","1","1","1","0","0","016","1","1","016:1","2760.1"
"630","Harappa","SEAL:R","1","1","0","0","0","002","1","1","002:1","1190.1"
"630","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","2564.1"
"679","Harappa","SEAL:S","1","1","1","0","0","240","1","1","240:1","1094.1"
"700","Harappa","TAB:I","1","1","0","1","0","004","1","1","004:1","311.2"
"705","Mohenjo-daro","SEAL:S","3","3","0","0","0","032","1","0.333333","032:1;415:1;803:1","2178.1;2644.1;3529.1"
"705","Harappa","TAB:B","2","1","1","0","0","000","1","1","000:1","653.1;947.2"
"705","Mohenjo-daro","SEAL:R","2","2","0","0","0","415","2","1","415:2","2422.1;2861.1"
"706","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","2360.1"
"706","Mohenjo-daro","SEAL:S","1","1","0","0","0","415","1","1","415:1","3113.1"
"706","Rakhigarhi","Unknown","1","0","1","0","0","","0",,"","5559.1"
"717","Mohenjo-daro","SEAL:S","2","2","0","0","0","240","1","0.5","240:1;415:1","2401.1;3095.1"
"717","Harappa","SEAL:S","1","1","0","0","0","415","1","1","415:1","1169.1"
"717","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","2480.1"
"740","Mohenjo-daro","SEAL:S","12","12","1","1","0","003","2","0.166667","003:2;016:2;000:1;014:1;032:1;060:1;235:1;415:1;741:1;742:1","2313.1;2581.1;2631.1;2654.1;2663.1;2783.1;2814.1;2823.1;3084.1;3149.1"
"740","Lothal","TAG","6","6","1","0","0","055","5","0.833333","055:5;000:1","2072.1;2111.1;2112.1;2113.1;2115.1;2117.1"
"740","Harappa","SEAL:S","5","5","1","0","0","000","2","0.4","000:2;003:2;032:1","237.1;576.1;1127.1;1409.1;1480.1"
"740","Lothal","TAG:L","5","5","0","0","0","055","5","1","055:5","2068.1;2069.1;2070.1;2071.1;5388.1"
"740","Mohenjo-daro","TAB:B","5","5","0","2","0","003","3","0.6","003:3;415:2","2953.1;2954.1;3713.1;3720.1;3723.1"
"740","Harappa","TAB:B","4","3","1","0","0","415","3","1","415:3","1234.1;1640.1;1641.1;1659.1"
"740","Mohenjo-daro","SEAL:R","4","3","0","3","0","003","2","0.666667","003:2;032:1","3427.1;3617.1;3722.1;3724.1"
"740","Harappa","TAB:I","2","1","0","1","0","416","1","1","416:1","1324.2;4084.1"
"740","Mohenjo-daro","TAB:C","2","2","0","1","0","000","1","0.5","000:1;233:1","3069.1;3729.1"
"740","Banawali","SEAL:S","1","1","0","0","0","002","1","1","002:1","27.1"
"740","Dholavira","SEAL","1","1","1","0","0","000","1","1","000:1","4191.1"
"740","Dholavira","TAG","1","0","0","0","0","","0",,"","3952.1"
"740","Harappa","SEAL:R","1","1","0","1","0","032","1","1","032:1","1584.1"
"740","Kalibangan","SEAL:S","1","1","0","0","0","003","1","1","003:1","1884.1"
"740","Lothal","TAG:W","1","1","0","0","0","055","1","1","055:1","2125.1"
"740","Nausharo","SEAL:S","1","1","0","0","0","016","1","1","016:1","3853.1"
"760","Harappa","TAB:I","2","2","0","0","0","416","2","1","416:2","1793.1;4056.1"
"760","Mohenjo-daro","SEAL:S","2","2","0","0","0","016","1","0.5","016:1;892:1","2639.1;3157.1"
"760","Harappa","SEAL:S","1","1","0","0","0","003","1","1","003:1","303.1"
"767","Harappa","TAB:I","1","1","0","0","0","416","1","1","416:1","311.1"
"773","Mohenjo-daro","TAB:C","1","1","0","0","0","032","1","1","032:1","3041.1"
"776","Chanhu-daro","IMPL","1","1","0","0","0","016","1","1","016:1","121.1"
"785","Kalibangan","SEAL:S","1","1","0","0","0","335","1","1","335:1","1890.1"
"790","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","2234.1"
"794","Dholavira","TAG","1","0","1","0","0","","0",,"","4291.1"
"798","Mohenjo-daro","SEAL:S","3","3","0","0","0","032","1","0.333333","032:1;060:1;415:1","2427.1;2618.1;3100.1"
"798","Harappa","SEAL:S","1","1","0","0","0","742","1","1","742:1","1095.1"
"798","Mohenjo-daro","TAB:B","1","0","0","0","0","","0",,"","2432.2"
"803","Mohenjo-daro","SEAL:S","2","2","0","0","0","032","1","0.5","032:1;368:1","2292.1;2798.1"
"803","Chanhu-daro","TAB:B","1","0","0","0","0","","0",,"","116.1"
"803","Harappa","SEAL:S","1","1","0","0","0","240","1","1","240:1","1073.1"
"804","Mohenjo-daro","SEAL:S","1","1","0","0","0","060","1","1","060:1","2779.1"
"817","Nindowari-damb","SEAL:S","1","1","0","0","0","632","1","1","632:1","3858.1"
"820","Mohenjo-daro","SEAL:S","2","2","0","0","0","063","1","0.5","063:1;065:1","2635.1;3995.1"
"832","Unknown","SEAL:S","1","1","0","0","0","003","1","1","003:1","3118.1"
"840","Mohenjo-daro","TAB:B","2","1","0","0","0","002","1","1","002:1","2432.1;2938.1"
"840","Dholavira","TAG:PC","1","1","1","0","0","000","1","1","000:1","4335.2"
"845","Mohenjo-daro","TAB:C","4","4","0","0","0","415","4","1","415:4","2983.1;2984.1;3733.1;3734.1"
"845","Mohenjo-daro","SEAL:R","2","1","2","0","0","415","1","1","415:1","3600.1;3635.1"
"879","Dholavira","SEAL:S","1","1","0","0","0","416","1","1","416:1","130.1"
"879","Mohenjo-daro","SEAL:S","1","1","0","0","0","415","1","1","415:1","2636.1"
"892","Harappa","TAB:B","2","2","0","0","0","920","2","1","920:2","1216.1;1217.1"
"904","Harappa","SEAL:S","1","1","1","0","0","415","1","1","415:1","1407.1"
"904","Lothal","SEAL:R","1","1","0","0","0","032","1","1","032:1","2063.1"
"904","Lothal","SEAL:S","1","1","0","0","0","032","1","1","032:1","2032.5"
"904","Mohenjo-daro","SEAL","1","1","1","0","0","032","1","1","032:1","2430.1"
"904","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","2381.1"
"923","Mohenjo-daro","SEAL:S","3","3","0","0","0","032","3","1","032:3","2651.1;2699.1;3144.1"
"924","Ur","SEAL:C","1","1","0","0","0","528","1","1","528:1","3897.1"
"927","Mohenjo-daro","SEAL:S","1","1","1","0","0","235","1","1","235:1","2459.1"
"958","Mohenjo-daro","SEAL:S","1","1","0","0","0","278","1","1","278:1","2403.1"
