"cisi","site","type","material","shape","sides","horizontal_mm","vertical_mm","thickness_mm","area","aspect","block_key","short_tokens","short_texts"
"H-1995","Harappa","TAB:B","Clay","cylindrical","2","28.4","","9","","","TAB:B|Harappa|cylindrical|Clay|2","033;700","1:+700-033+"
"H-2235","Harappa","TAB:I","Steatite","prism","3","11","6","","66","1.8333333333333333","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2206","Harappa","TAB:I","Steatite","prism","2","","7","","","","TAB:I|Harappa|prism|Steatite|2","034;700","1:+700-034+"
"H-2233","Harappa","TAB:I","Steatite","prism","3","10","6.5","","65","1.5384615384615385","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-1829","Harappa","TAB:B","Faience","rectangular","2","12.6","7","4.5","88.2","1.8","TAB:B|Harappa|rectangular|Faience|2","034;156;176;700","1:+156-176+|2:+700-034+"
"H-2119","Harappa","TAB:I","Steatite","rectangular","2","13","8","3","104","1.625","TAB:I|Harappa|rectangular|Steatite|2","003;416;740;861","1:+861-003+|2:+740-416+"
"H-1828","Harappa","TAB:B","Faience","rectangular","2","12.5","7","5","87.5","1.7857142857142858","TAB:B|Harappa|rectangular|Faience|2","034;156;176;700","1:+156-176+|2:+700-034+"
"H-1870","Harappa","TAB:B","Faience","rectangular","2","16","9","3.7","144","1.7777777777777777","TAB:B|Harappa|rectangular|Faience|2","034;158;221;700","1:+700-034+|2:+158-221+"
"H-1933","Harappa","TAB:B","Faience","prism","2","17.7","9","","159.29999999999998","1.9666666666666666","TAB:B|Harappa|prism|Faience|2","033;700","1:+700-033+"
"H-1929","Harappa","TAB:B","Faience","prism","2","15","9","","135","1.6666666666666667","TAB:B|Harappa|prism|Faience|2","033;700","1:+700-033+"
"H-1902","Harappa","TAB:B","Faience","rectangular-notched","2","14.1","8","2.5","112.8","1.7625","TAB:B|Harappa|rectangular-notched|Faience|2","032;700","1:+700-032+"
"H-1945","Harappa","TAB:B","Faience","prism","2","15.8","10","","158","1.58","TAB:B|Harappa|prism|Faience|2","032;700","1:+032-700+"
"H-1941","Harappa","TAB:B","Faience","prism","2","14","7.5","","105","1.8666666666666667","TAB:B|Harappa|prism|Faience|2","032;700","1:+700-032+"
"H-1883","Harappa","TAB:B","Faience","rectangular","2","13.3","7","2","93.10000000000001","1.9000000000000001","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+700-033+"
"H-1937","Harappa","TAB:B","Faience","prism","2","17.7","9.5","","168.15","1.8631578947368421","TAB:B|Harappa|prism|Faience|2","034;700","1:+034-700+"
"H-2142","Harappa","TAB:B","Steatite","rectangular","2","13.8","8","2.3","110.4","1.725","TAB:B|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-2102","Harappa","TAB:I","Steatite","rectangular","2","13.6","7.5","2.5","102","1.8133333333333332","TAB:I|Harappa|rectangular|Steatite|2","034;137;413;700","1:+700-034+|2:+137-413+"
"H-1774","Harappa","TAB:B","Faience","rectangular","2","25","10.7","5.3","267.5","2.336448598130841","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-1793","Harappa","TAB:B","Faience","cylindrical","2","24","14","9","336","1.7142857142857142","TAB:B|Harappa|cylindrical|Faience|2","700;745","2:+700-745+"
"H-1851","Harappa","TAB:B","Faience","rectangular","2","17.3","9","1","155.70000000000002","1.9222222222222223","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+033-700+"
"H-733","Harappa","TAB:B","Faience","cylindrical","2","20.3","","","","","TAB:B|Harappa|cylindrical|Faience|2","033;700","2:+700-033+"
"H-1308","Harappa","TAB:I","Steatite","rectangular","2","17.8","10.2","","181.56","1.7450980392156865","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-1294","Harappa","TAB:I","Steatite","rectangular","2","15.2","7.6","","115.52","2","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-102","Harappa","SEAL:S","-","square","2","29","28","","812","1.0357142857142858","SEAL:S|Harappa|square|-|2","741;861","1:+741-861+"
"H-160","Harappa","SEAL:R","Steatite","plano-convex","2","21.6","10.2","","220.32","2.11764705882353","SEAL:R|Harappa|plano-convex|Steatite|2","017;090","2:+090-017+"
"H-196","Harappa","TAB:B","Faience","cylindrical","3","29.2","","","","","TAB:B|Harappa|cylindrical|Faience|3","167;706","2:+167-706+"
"H-206","Harappa","TAB:B","-","rectangular","2","21.6","10.2","","220.32","2.11764705882353","TAB:B|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-209","Harappa","TAB:B","Faience","rectangular","2","17.8","10.9","","194.02","1.6330275229357798","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-211","Harappa","TAB:B","-","rectangular","2","20","9","","180","2.2222222222222223","TAB:B|Harappa|rectangular|-|2","033;700","2:+033-700+"
"H-212","Harappa","TAB:B","Faience","rectangular","2","14","7.1","","99.39999999999999","1.971830985915493","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+032-700+"
"H-213","Harappa","TAB:B","-","rectangular","2","18","10","","180","1.8","TAB:B|Harappa|rectangular|-|2","032;700","2:+700-032+"
"H-214","Harappa","TAB:B","Faience","cuboid-convex","2","17.8","7.6","","135.28","2.342105263157895","TAB:B|Harappa|cuboid-convex|Faience|2","032;700","2:+700-032+"
"H-215","Harappa","TAB:B","-","rectangular","2","18","9","","162","2","TAB:B|Harappa|rectangular|-|2","034;137;400;700","1:+700-034+|2:+400-137+"
"H-216","Harappa","TAB:B","-","rectangular","2","19","9.5","","180.5","2","TAB:B|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-217","Harappa","TAB:B","Steatite","rectangular","2","14","8","","112","1.75","TAB:B|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-218","Harappa","TAB:B","-","rectangular","2","14","9","","126","1.5555555555555556","TAB:B|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-219","Harappa","TAB:B","-","rectangular","2","17","7.5","","127.5","2.2666666666666666","TAB:B|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-229","Harappa","TAB:B","Faience","oval","2","16.5","11.4","","188.1","1.4473684210526316","TAB:B|Harappa|oval|Faience|2","033;700","2:+700-033+"
"H-230","Harappa","TAB:B","Faience","hexagonal","2","25.4","11.4","","289.56","2.2280701754385963","TAB:B|Harappa|hexagonal|Faience|2","032;700","2:+700-032+"
"H-231","Harappa","TAB:B","Faience","elliptical","2","22.9","8.9","","203.81","2.5730337078651684","TAB:B|Harappa|elliptical|Faience|2","033;700","2:+700-033+"
"H-232","Harappa","TAB:B","Faience","notched oval","2","22.9","14","","320.59999999999997","1.6357142857142857","TAB:B|Harappa|notched oval|Faience|2","032;700","2:+700-032+"
"H-233","Harappa","TAB:B","Faience","crescent","2","26.7","","","","","TAB:B|Harappa|crescent|Faience|2","033;700","2:+700-033+"
"H-237","Harappa","TAB:B","-","fish","2","21","11","","231","1.9090909090909092","TAB:B|Harappa|fish|-|2","033;700","2:+700-033+"
"H-239","Harappa","TAB:B","Faience","triangular","2","17.8","","","","","TAB:B|Harappa|triangular|Faience|2","033;700","2:+700-033+"
"H-245","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","033;700","2:+700-033+"
"H-247","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","032;116","2:+116-032+"
"H-248","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","033;700","2:+700-033+"
"H-249","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","033;233;520;700","1:+033-700+|2:+520-233+"
"H-251","Harappa","TAB:B","Faience","prism","2","17.8","10.2","","181.56","1.7450980392156865","TAB:B|Harappa|prism|Faience|2","032;700","2:+700-032+"
"H-285","Harappa","TAB:I","Steatite","rectangular","2","11.4","11.4","","129.96","1","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-296","Harappa","TAB:I","Steatite","rectangular","2","17.8","9.1","","161.98","1.9560439560439562","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-297","Harappa","TAB:I","-","rectangular","2","20","9","","180","2.2222222222222223","TAB:I|Harappa|rectangular|-|2","034;700","2:+700-034+"
"H-298","Harappa","TAB:I","-","rectangular","2","18","9","","162","2","TAB:I|Harappa|rectangular|-|2","126;700","2:+700-126+"
"H-303","Harappa","TAB:I","Steatite","rectangular","2","15.2","8.9","","135.28","1.7078651685393258","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-304","Harappa","TAB:I","Steatite","rectangular","2","14.7","7.6","","111.71999999999998","1.9342105263157894","TAB:I|Harappa|rectangular|Steatite|2","681;690","1:+690-681+"
"H-306","Harappa","TAB:I","-","rectangular","2","15","7","","105","2.142857142857143","TAB:I|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-307","Harappa","TAB:I","Steatite","rectangular","2","12.7","6.4","","81.28","1.9843749999999998","TAB:I|Harappa|rectangular|Steatite|2","034;368;700;900","1:+368-900+|2:+700-034+"
"H-308","Harappa","TAB:I","Steatite","rectangular","2","11.4","6.4","","72.96000000000001","1.78125","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-309","Harappa","TAB:I","Steatite","rectangular","2","8.9","6.4","","56.96000000000001","1.390625","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-311","Harappa","TAB:I","Steatite","rectangular-rounded","2","15.2","7.6","","115.52","2","TAB:I|Harappa|rectangular-rounded|Steatite|2","033;700","2:+700-033+"
"H-312","Harappa","TAB:I","Steatite","elliptical","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|elliptical|Steatite|2","034;700","2:+700-034+"
"H-313","Harappa","TAB:I","Steatite","oval","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|oval|Steatite|2","034;700","2:+700-034+"
"H-314","Harappa","TAB:I","Steatite","oval","2","12.7","6.9","","87.63","1.8405797101449273","TAB:I|Harappa|oval|Steatite|2","034;700","2:+700-034+"
"H-315","Harappa","TAB:I","Steatite","oval","2","7.6","12.7","","96.52","0.5984251968503937","TAB:I|Harappa|oval|Steatite|2","032;700","2:+700-032+"
"H-316","Harappa","TAB:I","Steatite","oval","2","14.5","7.1","","102.94999999999999","2.0422535211267605","TAB:I|Harappa|oval|Steatite|2","033;700","2:+700-033+"
"H-317","Harappa","TAB:I","Steatite","oval","2","11.4","5.8","","66.12","1.9655172413793105","TAB:I|Harappa|oval|Steatite|2","034;700","2:+700-034+"
"H-319","Harappa","TAB:I","Steatite","oval","2","13.2","7.6","","100.32","1.736842105263158","TAB:I|Harappa|oval|Steatite|2","034;700","2:+700-034+"
"H-320","Harappa","TAB:I","Steatite","oval","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|oval|Steatite|2","034;700","2:+700-034+"
"H-321","Harappa","TAB:I","Steatite","rectangular-round","2","17.8","11.4","","202.92000000000002","1.5614035087719298","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","2:+032-700+"
"H-322","Harappa","TAB:I","-","rectangular-round","2","17","10","","170","1.7","TAB:I|Harappa|rectangular-round|-|2","032;700","2:+700-032+"
"H-323","Harappa","TAB:I","Steatite","rectangular-round","2","16.5","8.9","","146.85","1.8539325842696628","TAB:I|Harappa|rectangular-round|Steatite|2","033;700","2:+033-700+"
"H-324","Harappa","TAB:I","Steatite","rectangular-round","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular-round|Steatite|2","034;700","2:+700-034+"
"H-325","Harappa","TAB:I","Steatite","notched rectangular-round","2","12.7","8.9","","113.03","1.4269662921348314","TAB:I|Harappa|notched rectangular-round|Steatite|2","740;926","2:+740-926+"
"H-326","Harappa","TAB:I","Steatite","notched oval","2","15.2","10.2","","155.04","1.4901960784313726","TAB:I|Harappa|notched oval|Steatite|2","033;700","2:+700-033+"
"H-327","Harappa","TAB:I","-","crescent","2","16","","","","","TAB:I|Harappa|crescent|-|2","032;700","2:+700-032+"
"H-328","Harappa","TAB:I","Steatite","crescent","2","15.2","10.2","","155.04","1.4901960784313726","TAB:I|Harappa|crescent|Steatite|2","004;690","1:+690-004+"
"H-329","Harappa","TAB:I","-","fish","2","15","8","","120","1.875","TAB:I|Harappa|fish|-|2","033;220;520;700","1:+520-220+|2:+700-033+"
"H-340","Harappa","TAB:I","Steatite","triangular","2","16.5","","","","","TAB:I|Harappa|triangular|Steatite|2","032;700","2:+700-032+"
"H-341","Harappa","TAB:I","Steatite","triangular","2","17.8","15.2","","270.56","1.1710526315789476","TAB:I|Harappa|triangular|Steatite|2","032;700","2:+700-032+"
"H-343","Harappa","TAB:I","Steatite","circular","2","","","","","","TAB:I|Harappa|circular|Steatite|2","033;700","2:+700-033+"
"H-344","Harappa","TAB:I","Steatite","circular","2","","","","","","TAB:I|Harappa|circular|Steatite|2","033;700","2:+700-033+"
"H-345","Harappa","TAB:I","Steatite","circular","2","","","","","","TAB:I|Harappa|circular|Steatite|2","033;700","2:+700-033+"
"H-346","Harappa","TAB:I","Steatite","circular","2","","","","","","TAB:I|Harappa|circular|Steatite|2","090;700","2:+700-090+"
"H-350","Harappa","TAB:I","Steatite","prism","2","17.8","8.9","","158.42000000000002","2","TAB:I|Harappa|prism|Steatite|2","034;700","2:+700-034+"
"H-351","Harappa","TAB:I","Steatite","prism","2","15.2","7.6","","115.52","2","TAB:I|Harappa|prism|Steatite|2","034;700","2:+700-034+"
"H-352","Harappa","SEAL:R","Steatite","prism","2","15.2","7.6","","115.52","2","SEAL:R|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-353","Harappa","TAB:I","Steatite","prism","2","15.2","6.4","","97.28","2.3749999999999996","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-354","Harappa","SEAL:R","Steatite","prism","2","15.2","7.6","","115.52","2","SEAL:R|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-355","Harappa","TAB:I","-","prism","3","15.5","5.8","","89.89999999999999","2.6724137931034484","TAB:I|Harappa|prism|-|3","033;700","2:+700-033+|3:+700-033+"
"H-356","Harappa","TAB:I","-","prism","2","16","6","","96","2.6666666666666665","TAB:I|Harappa|prism|-|2","033;700","1:+700-033+"
"H-357","Harappa","TAB:I","Steatite","prism","2","11.9","8.1","","96.39","1.4691358024691359","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-358","Harappa","TAB:I","Steatite","prism","3","15.2","7.6","","115.52","2","TAB:I|Harappa|prism|Steatite|3","034;700","2:+034-700+"
"H-359","Harappa","TAB:I","Steatite","prism","2","15.2","5.1","","77.52","2.980392156862745","TAB:I|Harappa|prism|Steatite|2","032;700","2:+032-700+"
"H-361","Harappa","TAB:I","-","prism","2","14","","","","","TAB:I|Harappa|prism|-|2","032;700","2:+700-032+"
"H-362","Harappa","TAB:I","Steatite","prism","2","12.7","6.4","","81.28","1.9843749999999998","TAB:I|Harappa|prism|Steatite|2","032;700","2:+700-032+"
"H-363","Harappa","TAB:I","-","rectangular","3","16","5","3.5","80","3.2","TAB:I|Harappa|rectangular|-|3","034;692;700;892","2:+700-034+|3:+692-892+"
"H-369","Harappa","SEAL:CY","Steatite","cylindrical","2","","6.4","","","","SEAL:CY|Harappa|cylindrical|Steatite|2","033;700","2:+700-033+"
"H-697","Harappa","TAB:B","Clay","rectangular","2","24.1","10.2","","245.82","2.362745098039216","TAB:B|Harappa|rectangular|Clay|2","032;700","2:+700-032+"
"H-702","Harappa","TAB:B","Faience","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-703","Harappa","TAB:B","Faience","rectangular","2","","10.2","","","","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-717","Harappa","TAB:B","Faience","cylindrical","2","17.8","","8.9","","","TAB:B|Harappa|cylindrical|Faience|2","032;700;705;904","1:+705-904+|2:+700-032+"
"H-734","Harappa","TAB:B","-","cylindrical","2","21","","","","","TAB:B|Harappa|cylindrical|-|2","033;700","2:+700-033+"
"H-743","Harappa","TAB:B","-","cylindrical","2","","","","","","TAB:B|Harappa|cylindrical|-|2","700;745","1:+700-745+"
"H-745","Harappa","TAB:B","-","cylindrical","2","","","","","","TAB:B|Harappa|cylindrical|-|2","700;745","2:+700-745+"
"H-766","Harappa","TAB:B","Faience","rectangular","2","16.5","11.4","","188.1","1.4473684210526316","TAB:B|Harappa|rectangular|Faience|2","032;065;700;826","1:+065-826+|2:+700-032+"
"H-767","Harappa","TAB:B","Clay","plano-convex","2","27.9","8.9","","248.31","3.134831460674157","TAB:B|Harappa|plano-convex|Clay|2","033;700","2:+700-033+"
"H-768","Harappa","TAB:B","Faience","rectangular","2","21.6","10.2","","220.32","2.11764705882353","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-770","Harappa","TAB:B","Faience","rectangular","2","19.1","10.2","","194.82","1.8725490196078434","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-771","Harappa","TAB:B","Faience","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:B|Harappa|rectangular|Faience|2","034;700","2:+700-034+"
"H-776","Harappa","TAB:B","Faience","rectangular","2","20.3","9.4","","190.82000000000002","2.1595744680851063","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+033-700+"
"H-777","Harappa","TAB:B","-","rectangular","2","18.5","10","","185","1.85","TAB:B|Harappa|rectangular|-|2","032;700","1:+032-700+"
"H-778","Harappa","TAB:B","-","rectangular","2","16.5","9.5","","156.75","1.736842105263158","TAB:B|Harappa|rectangular|-|2","032;700","1:+700-032+"
"H-779","Harappa","TAB:B","-","rectangular","2","17.5","9","","157.5","1.9444444444444444","TAB:B|Harappa|rectangular|-|2","032;700","1:+032-700+"
"H-780","Harappa","TAB:B","Faience","rectangular","2","16.5","10.2","","168.29999999999998","1.6176470588235294","TAB:B|Harappa|rectangular|Faience|2","034;700","2:+700-034+"
"H-781","Harappa","TAB:B","-","rectangular","2","17","9.5","","161.5","1.7894736842105263","TAB:B|Harappa|rectangular|-|2","033;700","1:+033-700+"
"H-783","Harappa","TAB:B","Clay","cylindrical","2","20.3","8.9","","180.67000000000002","2.2808988764044944","TAB:B|Harappa|cylindrical|Clay|2","033;700","2:+700-033+"
"H-785","Harappa","TAB:B","Steatite","rectangular","2","15.2","7.1","","107.91999999999999","2.140845070422535","TAB:B|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-788","Harappa","TAB:B","Faience","rectangular","2","12.7","7.6","","96.52","1.6710526315789473","TAB:B|Harappa|rectangular|Faience|2","034;700","2:+700-034+"
"H-789","Harappa","TAB:B","Faience","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+033-700+"
"H-790","Harappa","TAB:B","Faience","rectangular","2","15.2","8.9","","135.28","1.7078651685393258","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-791","Harappa","TAB:B","Faience","rectangular","2","12.7","8.9","","113.03","1.4269662921348314","TAB:B|Harappa|rectangular|Faience|2","233;550","2:+550-233+"
"H-792","Harappa","TAB:B","Faience","rectangular","2","14.5","7.6","","110.19999999999999","1.9078947368421053","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+033-700+"
"H-793","Harappa","TAB:B","Faience","rectangular","2","14.7","7.6","","111.71999999999998","1.9342105263157894","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+033-700+"
"H-794","Harappa","TAB:B","-","cylindrical","2","15.2","","","","","TAB:B|Harappa|cylindrical|-|2","032;700","2:+032-700+"
"H-795","Harappa","TAB:B","-","cylindrical","2","16","","","","","TAB:B|Harappa|cylindrical|-|2","033;700","1:+033-700+"
"H-796","Harappa","TAB:B","-","rectangular","2","14","13","","182","1.0769230769230769","TAB:B|Harappa|rectangular|-|2","032;370;455;700","1:+370-455+|2:+700-032+"
"H-798","Harappa","TAB:B","Faience","rectangular","2","15.2","7.6","","115.52","2","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-799","Harappa","TAB:B","Faience","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:B|Harappa|rectangular|Faience|2","033;700","2:+700-033+"
"H-800","Harappa","TAB:B","Faience","plano-convex","2","17.8","7.6","","135.28","2.342105263157895","TAB:B|Harappa|plano-convex|Faience|2","033;700","2:+700-033+"
"H-801","Harappa","TAB:B","-","rectangular","2","17","9","","153","1.8888888888888888","TAB:B|Harappa|rectangular|-|2","036;700","1:+700-036+"
"H-802","Harappa","TAB:B","Faience","rectangular","2","14","6.9","","96.60000000000001","2.0289855072463765","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-812","Harappa","TAB:B","Faience","twisted rectangular","2","16.5","7.6","","125.39999999999999","2.1710526315789473","TAB:B|Harappa|twisted rectangular|Faience|2","033;035;368;700","1:+368-035+|2:+033-700+"
"H-813","Harappa","TAB:B","Faience","rectangular-round","2","15.2","8.9","","135.28","1.7078651685393258","TAB:B|Harappa|rectangular-round|Faience|2","032;700","2:+032-700+"
"H-814","Harappa","TAB:B","Faience","rectangular-round","2","15.2","8.1","","123.11999999999999","1.876543209876543","TAB:B|Harappa|rectangular-round|Faience|2","032;700","2:+700-032+"
"H-815","Harappa","TAB:B","Faience","hexagonal","2","25.4","11.4","","289.56","2.2280701754385963","TAB:B|Harappa|hexagonal|Faience|2","032;700","1:+700-032+"
"H-816","Harappa","TAB:B","Faience","hexagonal","2","7.6","7.6","","57.76","1","TAB:B|Harappa|hexagonal|Faience|2","033;700","2:+033-700+"
"H-817","Harappa","TAB:B","Faience","notched oval","2","20.3","11.4","","231.42000000000002","1.780701754385965","TAB:B|Harappa|notched oval|Faience|2","032;700","2:+032-700+"
"H-818","Harappa","TAB:B","Faience","notched oval","2","17.8","10.2","","181.56","1.7450980392156865","TAB:B|Harappa|notched oval|Faience|2","033;700","2:+700-033+"
"H-819","Harappa","TAB:B","-","heart","2","","","","","","TAB:B|Harappa|heart|-|2","034;240;520;700","1:+520-240+|2:+700-034+"
"H-821","Harappa","TAB:B","-","fish","2","23","14","","322","1.6428571428571428","TAB:B|Harappa|fish|-|2","033;700","1:+700-033+"
"H-822","Harappa","TAB:B","-","fish","2","24","11.5","","276","2.0869565217391304","TAB:B|Harappa|fish|-|2","033;700","1:+700-033+"
"H-823","Harappa","TAB:B","-","rectangular","2","23.5","11","","258.5","2.1363636363636362","TAB:B|Harappa|rectangular|-|2","034;700","1:+700-034+"
"H-825","Harappa","TAB:B","-","crescent","2","","","","","","TAB:B|Harappa|crescent|-|2","368;817","1:+368-817+"
"H-827","Harappa","TAB:B","-","cylindrical","2","18","","","","","TAB:B|Harappa|cylindrical|-|2","033;700","1:+700-033+"
"H-833","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","032;700","2:+700-032+"
"H-834","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","033;700","2:+700-033+"
"H-837","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","032;700","2:+700-032+"
"H-838","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","033;700","2:+700-033+"
"H-839","Harappa","TAB:B","Faience","circular","2","","","","","","TAB:B|Harappa|circular|Faience|2","032;140;400;700","1:+032-700+|2:+400-140+"
"H-846","Harappa","TAB:B","Faience","prism","2","15.2","6.4","","97.28","2.3749999999999996","TAB:B|Harappa|prism|Faience|2","033;700","2:+700-033+"
"H-847","Harappa","TAB:B","Faience","prism","3","16.5","7.1","","117.14999999999999","2.323943661971831","TAB:B|Harappa|prism|Faience|3","033;700","2:+700-033+"
"H-848","Harappa","TAB:B","Faience","prism","2","17.8","10.2","","181.56","1.7450980392156865","TAB:B|Harappa|prism|Faience|2","033;700","2:+700-033+"
"H-849","Harappa","TAB:B","Faience","prism","2","17.8","7.6","","135.28","2.342105263157895","TAB:B|Harappa|prism|Faience|2","032;700","2:+032-700+"
"H-850","Harappa","TAB:B","Faience","prism","2","16","10.2","","163.2","1.5686274509803924","TAB:B|Harappa|prism|Faience|2","032;700","2:+032-700+"
"H-852","Harappa","TAB:B","Faience","prism","2","24.1","7.6","","183.16","3.171052631578948","TAB:B|Harappa|prism|Faience|2","032;700","1:+700-032+"
"H-853","Harappa","TAB:B","-","prism","2","14","6","","84","2.3333333333333335","TAB:B|Harappa|prism|-|2","034;700","2:+034-700+"
"H-854","Harappa","TAB:B","Faience","prism","2","16.5","6.4","","105.60000000000001","2.578125","TAB:B|Harappa|prism|Faience|2","032;700","2:+700-032+"
"H-857","Harappa","TAB:B","-","prism","2","16","7","","112","2.2857142857142856","TAB:B|Harappa|prism|-|2","033;700","2:+700-033+"
"H-876","Harappa","TAB:B","Steatite","cylindrical","2","22","","","","","TAB:B|Harappa|cylindrical|Steatite|2","033;700","2:+700-033+"
"H-877","Harappa","TAB:B","Faience","rectangular","3","17.8","8.9","","158.42000000000002","2","TAB:B|Harappa|rectangular|Faience|3","032;700","2:+700-032+"
"H-891","Harappa","TAB:I","Steatite","rectangular","2","16.5","7.6","","125.39999999999999","2.1710526315789473","TAB:I|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-892","Harappa","TAB:I","Steatite","rectangular","2","17.8","10.2","","181.56","1.7450980392156865","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+034-700+"
"H-893","Harappa","TAB:I","Steatite","rectangular","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-894","Harappa","TAB:I","Steatite","rectangular","2","16.5","7.6","","125.39999999999999","2.1710526315789473","TAB:I|Harappa|rectangular|Steatite|2","125;700","2:+700-125+"
"H-900","Harappa","TAB:I","Steatite","rectangular","2","12.7","7.1","","90.16999999999999","1.7887323943661972","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-906","Harappa","TAB:I","-","rectangular","2","","7","","","","TAB:I|Harappa|rectangular|-|2","151;229","2:+151-229+"
"H-910","Harappa","TAB:I","Steatite","rectangular","2","14.7","7.6","","111.71999999999998","1.9342105263157894","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-914","Harappa","TAB:I","Steatite","rectangular","2","15.2","8.9","","135.28","1.7078651685393258","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-916","Harappa","TAB:I","Steatite","rectangular","2","15.2","7.6","","115.52","2","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-917","Harappa","TAB:I","Steatite","rectangular","2","16.5","7.6","","125.39999999999999","2.1710526315789473","TAB:I|Harappa|rectangular|Steatite|2","687;690","1:+690-687+"
"H-918","Harappa","TAB:I","Steatite","rectangular","2","17.8","7.6","","135.28","2.342105263157895","TAB:I|Harappa|rectangular|Steatite|2","687;692","1:+692-687+"
"H-919","Harappa","TAB:I","-","rectangular","2","","6","","","","TAB:I|Harappa|rectangular|-|2","687;690","1:+690-687+"
"H-921","Harappa","TAB:I","Steatite","rectangular","2","14","7.4","","103.60000000000001","1.8918918918918919","TAB:I|Harappa|rectangular|Steatite|2","003;861","1:+861-003+"
"H-922","Harappa","TAB:I","Steatite","rectangular","2","12.2","7.1","","86.61999999999999","1.7183098591549295","TAB:I|Harappa|rectangular|Steatite|2","003;031;520;861","1:+861-003+|2:+520-031+"
