"start_pair","count","third_values","sites","types","examples"
"405-005","6","001;002","Harappa;Kalibangan;Lothal;Mohenjo-daro","ROD;SEAL:R;SEAL:S;TAB:B","315.1;379.1;1894.1;2042.1;2748.1;2900.1"
"405-061","6","033;070;527;740","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1081.1;1190.1;1556.1;1569.1;2445.1;2539.1"
"407-585","6","033;233","Mohenjo-daro","TAB:C","2523.1;2989.2;2990.2;2991.2;3776.1;3777.1"
"422-003","6","001;900","Dholavira;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","2009.1;2488.1;3742.1;3745.1;3746.1;4269.1"
"423-003","6","001;031;060;263;491","Dholavira;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","2044.1;2862.1;3000.1;3627.1;4164.1;4233.1"
"520-400","6","000;350;354","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","253.1;1501.1;2451.1;3156.1;3616.1;4530.1"
"520-460","6","031;495","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:S","131.1;133.1;716.1;1142.1;3222.1;3331.1"
"527-554","6","000;001;031;104;298","Bala-kot;Harappa;Mohenjo-daro;Rakhigarhi","SEAL:R;SEAL:S","22.1;1587.1;2311.1;3461.1;3527.1;3867.1"
"621-740","6","390;482;514;798;900","Dholavira;Harappa;Mohenjo-daro","SEAL:S","1119.1;2825.1;2829.1;2942.1;3263.1;3290.1"
"690-368","6","817","Harappa","TAB:B;TAB:I","405.1;1054.1;1262.1;1322.1;3976.1;4935.1"
"740-017","6","000;495;503","Allahdino;Harappa;Mohenjo-daro","SEAL:S;TAB:B","9.1;1476.1;1498.1;1612.1;1613.1;2499.1"
"740-519","6","002;741","Dholavira;Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","256.1;582.1;2787.1;2845.1;2884.1;4302.1"
"740-642","6","240","Harappa","TAB:B","424.2;449.2;1237.1;1263.1;1710.2;1711.2"
"868-706","6","590","Harappa","TAB:I","390.1;671.1;804.1;1321.1;1779.1;4052.2"
"000-034","5","104","Harappa;Mohenjo-daro","POT:T:g;SEAL:R;TAB:B;TAB:I","380.1;979.1;1841.1;1854.2;2269.1"
"000-061","5","002;032","Harappa;Mohenjo-daro;Unknown","POT:T:g;SEAL:C;SEAL:S;TAB:I","698.2;896.2;3257.1;3799.1;5224.1"
"000-390","5","000;590","Harappa;Lothal;Naru-Waro-dharo;Nuhato","POT:T:g;SEAL:S;TAB:I;TAG","1079.1;2122.1;3850.1;4071.1;5251.1"
"000-415","5","176;233;803","Allahdino;Harappa;Mohenjo-daro","MISC;SEAL:S;TAB:B","15.1;925.1;928.2;2392.1;3183.1"
"000-840","5","000;140;264;552","Dholavira;Harappa;Mohenjo-daro;Unknown","BNGL;SEAL:S;TAB:I;TAG","2818.1;3828.1;4063.1;4304.1;5464.1"
"001-740","5","923","Mohenjo-daro","TAB:C","2488.2;3001.1;3002.1;3003.1;3004.1"
"032-820","5","000;100;140;877","Dholavira;Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:I","1690.1;2461.1;3614.1;4219.1;4281.1"
"033-000","5","000","Harappa;Lothal","ROD;TAB:B;TAB:I;TAG","162.1;449.1;803.2;819.1;2110.3"
"033-033","5","003;368;740","Harappa;Kalibangan;Lakhanjo-daro;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I","626.1;1051.2;3158.1;5250.1;5298.1"
"151-061","5","002;156","Kalibangan;Mohenjo-daro","SEAL:S","2372.1;2402.1;2726.1;3197.1;5280.1"
"167-706","5","","Harappa;Mohenjo-daro","TAB:B;TAB:I","1010.1;1035.1;1227.2;2934.1;2934.2"
"220-415","5","","Harappa;Mohenjo-daro","SEAL:R;TAB:I","673.2;770.2;865.2;1025.2;4009.1"
"400-098","5","","Harappa","TAB:I","281.1;520.1;797.1;1367.1;4082.1"
"407-063","5","444;520;740;845","Mohenjo-daro;Nausharo","SEAL:R;TAB:C","2481.1;2899.1;3630.1;3642.1;5361.1"
"520-031","5","000","Harappa;Kanmer;Rahman-deri","SEAL;SEAL:S;TAB:I","1155.1;1802.2;1803.2;5269.1;5421.1"
"520-072","5","219;233;255;921","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","836.2;1257.1;1704.2;2389.1;2512.1"
"520-231","5","002;235","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;1967.1;2782.1;2821.1;3480.1"
"526-550","5","060;220;233","Harappa","TAB:B;TAB:I","945.2;1364.1;1378.1;1619.1;1845.2"
"590-032","5","000;220;645","Harappa","TAB:I","586.1;632.1;770.1;848.2;1821.1"
"617-550","5","003;033","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","552.1;662.1;1108.1;2897.1;3454.1"
"700-031","5","000;033","Harappa;Mohenjo-daro","TAB:B;TAB:I","228.2;301.1;461.1;630.1;2703.1"
"740-336","5","002;018;176","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","781.2;1249.1;1707.1;2562.1;2667.1"
"740-455","5","002;176;235;240","Mohenjo-daro","SEAL:R;SEAL:S","2293.1;2366.1;2470.1;3468.1;3575.1"
"740-877","5","032","Harappa;Mohenjo-daro;Rupar","SEAL:R;SEAL:S;TAG:L","1533.1;2584.1;2741.1;2851.1;3872.1"
"832-904","5","000;001;220;740","Harappa;Mohenjo-daro","SEAL;SEAL:R;SEAL:S","1407.1;1521.1;1545.1;2730.1;2866.1"
"868-705","5","590","Harappa","TAB:I","234.1;532.1;647.2;1778.1;1781.1"
"000-031","4","002;003;850","Chanhu-daro;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:S","106.1;1889.1;3204.1;5323.1"
"000-060","4","031;692","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B","381.2;2500.1;4021.1;5506.1"
"000-090","4","000;001","Harappa;Unknown","SEAL:C;SEAL:S;TAB:B;TAB:I","450.2;763.1;3919.1;5223.1"
"000-142","4","001;480;597","Harappa;Mohenjo-daro","SEAL:R;TAB:B;TAB:C","1049.1;1590.1;3634.1;4028.1"
"000-233","4","002;220;231;743","Mohenjo-daro","SEAL:R;SEAL:S","2357.3;3145.1;3591.1;3998.1"
"000-615","4","000;503","Dholavira;Harappa;Mohenjo-daro","POT:T:g;POT:T:s;SEAL:R;SEAL:S","161.1;1597.1;3662.1;4222.1"
"000-711","4","335","Harappa","TAB:B;TAB:I","582.2;584.1;655.1;1772.2"
"000-760","4","268;382;463;482","Harappa;Mohenjo-daro","SEAL:S;TAB:B","307.1;1638.1;2583.1;3255.1"
"000-803","4","000;002;740;742","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL;SEAL:R;TAG","167.1;1526.1;3586.1;4347.1"
"034-000","4","033","Harappa;Mohenjo-daro","POT:T:g;TAG:C","172.1;213.1;540.1;4952.1"
"154-003","4","617;900","Harappa;Mohenjo-daro","SEAL:S;TAB:I","794.3;810.1;1385.1;2629.1"
"154-388","4","717","Dholavira;Harappa;Mohenjo-daro","SEAL:R","134.1;1558.1;3577.1;3643.1"
"156-000","4","000;368","Harappa;Mohenjo-daro","SEAL:S;TAB:I","1349.1;1508.1;1514.1;2692.1"
"156-142","4","060;368;741","Dholavira;Lothal;Mohenjo-daro","SEAL:S","1999.1;2305.1;2803.1;4175.1"
"156-435","4","255","Harappa;Mohenjo-daro","SEAL:S;TAB:I","804.2;1780.2;1861.2;2624.1"
"220-700","4","004","Harappa","TAB:B;TAB:I","302.2;1324.1;1793.2;4056.2"
"226-415","4","000;002;031;798","Lothal;Mohenjo-daro","ROD;SEAL:S;TAG","2105.1;3088.1;3412.1;4043.1"
"368-817","4","550","Harappa;Mohenjo-daro","SEAL;TAB:B;TAB:I","1715.1;1783.1;1784.1;3656.1"
"368-861","4","501;503;575;903","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1180.1;1448.1;2734.1;3916.1"
"390-017","4","002;741","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:S","1139.1;2770.1;3551.2;5316.1"
"400-151","4","097;142;229;336","Harappa","TAB:B;TAB:I","627.2;869.2;1319.1;1828.1"
"400-226","4","032;415","Harappa;Rupar","TAB:B;TAB:I","317.1;815.2;1771.1;3873.1"
"405-003","4","002;060","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S","502.1;623.1;1951.1;3663.1"
"426-003","4","002;013;060","Banawali;Harappa;Mohenjo-daro;Shortughai","SEAL:R;SEAL:S","40.1;1011.1;3343.1;3874.1"
"435-255","4","055;165;390","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","799.1;1608.1;2777.1;2970.2"
"504-350","4","240;741","Harappa;Mohenjo-daro","SEAL:S;TAB:I","491.2;589.2;2339.1;2806.1"
"520-175","4","002","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I","1481.1;2319.1;2707.1;4243.1"
"526-555","4","060;235","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:I","472.1;1988.1;2591.1;3329.1"
"617-243","4","031;706;741;950","Harappa;Mohenjo-daro","SEAL:S","1125.1;2346.1;2553.1;3078.1"
"621-520","4","072;220;231","Mohenjo-daro","SEAL:S","2268.1;2816.1;3507.1;3511.1"
"700-745","4","","Harappa","TAB:B","1023.2;1637.1;1638.2;1639.2"
"712-840","4","400","Harappa","TAB:B","776.1;907.1;1207.1;1610.1"
"740-033","4","000;495;711","Harappa;Mohenjo-daro;Nausharo","SEAL;SEAL:S;TAB:B","512.1;635.2;3447.1;3856.1"
"740-215","4","002","Harappa;Mohenjo-daro","SEAL:S","1571.1;2626.1;2842.1;2842.2"
"740-335","4","002;233","Harappa;Mohenjo-daro","POT:T:g;SEAL;SEAL:R;SEAL:S","1517.1;3486.1;3632.1;4120.1"
"740-463","4","495;503","Chanhu-daro;Harappa;Mohenjo-daro","MISC;POT:T:g;SEAL:R","707.1;2406.1;3653.1;5272.1"
"740-540","4","002;204;920","Harappa;Mohenjo-daro","POT:T:s;SEAL:S;TAB:B","652.2;943.1;3462.1;3675.1"
"740-554","4","001;220","Harappa;Mohenjo-daro","SEAL;SEAL:R;TAB:I","248.1;1174.1;3405.1;4139.1"
"740-706","4","365","Lakhanjo-daro","TAG","5244.1;5245.1;5246.1;5247.1"
"740-817","4","390;491;556","Harappa;Kalibangan;Mohenjo-daro","SEAL:S;TAB:B","453.2;454.1;1935.1;2675.1"
"740-821","4","741","Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B","1210.1;2133.3;2215.1;2446.1"
"740-912","4","001;002","Kalibangan;Lothal;Mohenjo-daro","POT:T:g;SEAL:S","2023.1;3196.1;3903.1;5334.1"
"824-032","4","578","Harappa","TAB:I","222.1;407.2;484.2;1379.1"
"892-590","4","794;894","Harappa;Mohenjo-daro","SEAL:S","825.1;2340.1;2766.1;3264.1"
"000-001","3","000;031;740","Dholavira;Harappa;Ur","SEAL:C;SEAL:R;TAB:I","262.1;4265.1;5225.1"
"000-151","3","097;390","Harappa;Mohenjo-daro;Nausharo","POT:T:g;SEAL:S;TAB:B","374.1;3141.1;5368.1"
"000-231","3","002;060;798","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R","705.1;3608.1;5314.1"
"000-690","3","000","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","877.1;1733.1;3532.1"
"000-745","3","000","Harappa;Kalibangan","POT:T:g;TAB:B","525.1;1233.2;5339.1"
"000-820","3","","Dholavira;Harappa;Mohenjo-daro","MDLN;MISC;TAB:I","1347.1;2928.1;4193.1"
"000-832","3","002;832","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B","412.2;2341.1;3941.1"
"000-861","3","623","Dholavira;Lakhanjo-daro;Mohenjo-daro","POT:T:g;SEAL:S","3347.1;4188.1;5248.1"
"000-892","3","000;413","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I;TAG","277.1;3192.1;4288.1"
"000-900","3","003;740","Harappa;Mohenjo-daro","SEAL:R;TAB:C;TAB:I","759.2;3592.1;3743.1"
"001-368","3","351;767;861","Chanhu-daro;Mohenjo-daro","SEAL:S","79.1;2531.1;3562.1"
"001-480","3","388","Harappa;Hissam-dheri","POT:T:g;TAB:I","814.1;1872.1;1873.1"
"002-820","3","000;906","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","466.1;1791.1;3534.1"
"003-000","3","000","Harappa;Mohenjo-daro","POT:T:g;POT:T:S;SEAL:C","362.1;500.1;2419.1"
"032-032","3","700","Harappa","POT:T:g;TAB:B","628.1;876.1;964.1"
"032-840","3","221;267","Harappa;Mohenjo-daro","TAB:B","1219.1;2975.2;2976.2"
"033-705","3","233;235","Dholavira;Harappa","MISC;TAB:B","402.1;412.1;4244.1"
"130-032","3","820;905","Mohenjo-daro;Rakhigarhi","SEAL:R;TAG:W","3581.1;3868.1;3868.2"
"136-031","3","","Kanmer","IMPL","3900.1;3901.1;3902.1"
"151-031","3","000;090","Mohenjo-daro","POT:T:s;SEAL:S;TAB:B","2959.1;3301.1;3676.1"
"151-033","3","","Mohenjo-daro","POT:T:g;SEAL:S","2739.1;3820.1;3820.2"
"151-243","3","031","Harappa;Mohenjo-daro","SEAL:S","1419.1;2686.1;3362.1"
"151-416","3","741","Mohenjo-daro","SEAL:S","2813.1;3165.1;3558.1"
"155-806","3","000;467;468","Mohenjo-daro","SEAL:R;SEAL:S","2218.1;3629.1;4007.1"
"161-097","3","002;741","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","775.1;1204.1;2722.1"
"200-705","3","380","Harappa","TAB:B","270.1;395.2;1759.1"
"240-002","3","031;418;861","Dholavira;Harappa;Lothal","SEAL:S;TAB:B;TAG","1606.1;2031.1;4344.1"
"298-350","3","590;761;892","Harappa;Mohenjo-daro","SEAL:S;TAB:B","559.2;2390.1;2720.1"
"354-001","3","405;740","Harappa;Khirsara;Mohenjo-daro","SEAL:R;SEAL:S","1069.1;3645.1;4895.1"
"368-000","3","091;223","Harappa;Mohenjo-daro","SEAL:S;TAB:I","1433.1;4066.1;5191.1"
"368-390","3","125;710;831","Allahdino;Mohenjo-daro","SEAL:S","7.1;3198.1;3237.1"
"390-034","3","002","Amri;Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I","17.1;1356.1;2833.1"
"390-390","3","390","Farmana;Mohenjo-daro;Rodji","POT:T:g;ROD","154.1;1499.1;5533.1"
"400-202","3","000;892","Harappa","TAB:B","1216.1;1217.1;3964.1"
"400-234","3","","Harappa","TAB:I","1770.1;1825.1;1826.2"
"400-527","3","195;555","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B","1729.1;2294.1;4119.1"
"400-775","3","516","Harappa","TAB:B","396.2;468.2;660.2"
"400-804","3","000;233","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1271.1;2248.1;4004.2"
"405-017","3","001","Alamgirpur;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S","3.1;3112.1;3644.1"
"407-005","3","001;741","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","1649.1;2351.1;2874.1"
"416-001","3","520;565;740","Mohenjo-daro","SEAL:R;SEAL:S","2313.1;3574.1;3589.1"
"416-590","3","033","Harappa","TAB:I","304.1;310.1;786.2"
"519-742","3","849","Harappa","TAB:B","432.2;584.2;655.2"
"520-001","3","090","Banawali;Harappa","MISC;SEAL:S","26.1;164.1;5441.1"
"520-515","3","240;255;921","Chanhu-daro;Mohenjo-daro","POT:T:g;SEAL:S","118.1;3193.1;3816.1"
"520-920","3","320","Dholavira;Mohenjo-daro","SEAL:S","1316.1;3186.1;3311.1"
"526-554","3","002","Harappa;Nausharo","SEAL:S;TAB:B","682.2;1719.1;5357.1"
"527-388","3","233","Lothal;Mohenjo-daro","SEAL:S","2017.1;2183.1;2615.1"
"590-407","3","790","Desalpur;Dholavira","SEAL:R","124.1;135.1;4284.1"
"595-820","3","100;311;706","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1137.1;1403.1;3595.1"
"621-390","3","004;531;844","Mohenjo-daro","SEAL:S","2220.1;2409.1;2799.1"
"690-323","3","","Mohenjo-daro","SEAL:R;TAB:I","2978.1;3725.1;3726.1"
"690-681","3","","Harappa","TAB:I","640.1;836.1;1326.1"
"690-687","3","","Harappa","TAB:I","778.2;1797.1;1799.1"
"700-036","3","","Harappa","POT:T:g;TAB:B","375.1;1390.1;1692.1"
"700-125","3","","Harappa","TAB:B;TAB:I","658.3;1776.2;4031.2"
"706-005","3","","Mohenjo-daro","TAB:C","2989.1;2990.1;2991.1"
"740-007","3","503","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1581.1;2858.1;3272.1"
"740-049","3","745","Harappa;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S","957.1;1197.1;2462.1"
"740-269","3","511;792","Harappa;Mohenjo-daro","SEAL:S","1530.1;2559.1;3322.1"
"740-406","3","000;590","Harappa;Lothal","POT:T:g;SEAL:S","1109.1;2005.1;4112.1"
"740-531","3","060","Chanhu-daro;Harappa;Kalibangan","SEAL:S","67.1;1096.1;1892.1"
"740-564","3","060","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","1832.1;1983.1;3475.1"
"740-603","3","240","Harappa","TAB:B","198.1;686.2;3975.1"
"740-705","3","000;171","Lakhanjo-daro;Mohenjo-daro","SEAL:S;TAG","2747.1;3327.1;5243.1"
"740-740","3","000;001","Dholavira;Karzakan;Unknown","SEAL:C;SEAL:S","3889.1;4205.1;5230.1"
"740-792","3","","Mohenjo-daro","POT:T:s;SEAL:S","2918.1;3348.1;3678.1"
"740-794","3","630;734","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1623.1;2564.1;2616.1"
"740-892","3","517;590","Harappa;Ra's al-Junayz","POT:T:g;SEAL:S;TAB:B","461.2;1552.2;3866.1"
"740-910","3","","Harappa;Mohenjo-daro","SEAL:S","1118.1;1136.1;3341.1"
"776-495","3","","Harappa","TAB:I","235.1;1783.2;1784.2"
"820-595","3","032;575;813","Harappa;Mohenjo-daro","MISC;SEAL:S","320.1;1062.1;3501.1"
"821-001","3","480","Mohenjo-daro","IMPL","2362.1;2368.1;2370.1"
"851-740","3","705","Harappa","TAB:B","581.1;687.1;689.1"
"920-130","3","511","Mohenjo-daro","BNGL","2171.1;3822.1;3832.1"
"930-632","3","920","Harappa","IMPL","1396.1;1397.1;4142.1"
"000-035","2","032;705","Mohenjo-daro","POT:T:s;ROD","2201.1;4035.1"
"000-055","2","033;592","Harappa;Mohenjo-daro","POT:T:g;SEAL:C","177.1;3668.1"
"000-125","2","001;204","Dholavira;Harappa","SEAL:R;SEAL:S","1072.1;4280.1"
"000-137","2","060","Mohenjo-daro","SEAL:R;SEAL:S","3213.1;3587.1"
"000-140","2","000","Harappa;Mohenjo-daro","SEAL:C;TAB:B","620.1;2913.1"
"000-255","2","235","Harappa;Lothal","TAB:I;TAG","2132.1;4053.1"
"000-388","2","233;400","Bala-kot;Mohenjo-daro","SEAL:S;TAB:B","21.1;3693.1"
"000-400","2","350","Dholavira;Harappa","POT:T:s;TAB:B","143.1;726.1"
"000-407","2","575","Harappa","POT:T:g;SEAL:S","1595.2;4121.1"
"000-455","2","066","Mohenjo-daro","TAB:B","2967.2;2968.2"
"000-480","2","003;176","Harappa","POT:T:g;TAB:B","543.1;1723.1"
"000-491","2","000","Harappa;Kalibangan","TAB:I;TAG:L","783.2;1944.4"
"000-495","2","002","Lothal","POT:T:g","2140.1;2142.1"
"000-552","2","518;920","Kot-Diji;Mohenjo-daro","POT:T:g;SEAL:S","1973.1;3491.1"
"000-575","2","000","Dholavira;Lothal","TAG","2123.1;4358.1"
"000-585","2","000;220","Harappa;Mohenjo-daro","SEAL:S","1524.1;3492.1"
"000-625","2","000","Dholavira","SEAL;TAB:I","4259.1;4261.1"
"000-630","2","000","Dholavira;Mohenjo-daro","SEAL:S;TAG","924.1;2415.1"
"000-645","2","003","Harappa","SEAL:S;TAB:I","651.2;1425.1"
"000-772","2","000;002","Harappa;Mohenjo-daro","SEAL:S","1516.1;3320.1"
"000-806","2","002;467","Harappa;Mohenjo-daro","ROD;SEAL:S","1135.1;2361.1"
"000-844","2","000;627","Lothal;Mohenjo-daro","SEAL:R;SEAL:S","2059.1;3241.1"
"000-850","2","140","Kalibangan;Mohenjo-daro","POT:T:g;SEAL","3430.1;5340.1"
"000-904","2","220;790","Harappa;Lothal","POT:T:g;SEAL:S","231.1;2032.5"
"000-999","2","000","Harappa;Kalibangan","MISC;POT:T:g","4095.1;5503.1"
"002-368","2","260;590","Harappa;Unknown","SEAL:S","1543.1;3892.1"
"003-003","2","","Harappa;Mohenjo-daro","POT:T:g;SEAL:S","364.1;2387.1"
"031-000","2","031;590","Dholavira;Mohenjo-daro","POT:T:g;TAB:I","3805.1;4282.1"
"031-480","2","165;388","Harappa","TAB:B;TAB:I","866.2;1621.1"
"031-625","2","000;140","Lothal;Mohenjo-daro","SEAL:R;SEAL:S","2035.1;2908.1"
"031-700","2","","Harappa;Mohenjo-daro","POT:T:g","3810.1;3912.1"
"031-705","2","167","Chanhu-daro","TAB:B","56.1;117.1"
"031-999","2","032","Harappa;Nausharo","POT:T:g","355.1;5381.1"
"032-000","2","","Harappa","POT:T:g","607.1;4115.1"
"032-999","2","002;032","Harappa;Kalibangan","POT:T:g","4480.1;5285.1"
"033-255","2","","Harappa","TAB:I","162.2;310.2"
"033-711","2","335","Harappa","TAB:B","561.2;742.2"
"034-999","2","034","Harappa;Kalibangan","POT:T:g","3935.1;5299.1"
"060-550","2","000","Harappa","MISC;TAB:I","236.1;918.1"
"060-692","2","740","Harappa;Mohenjo-daro","SEAL:S;TAB:B","399.2;3496.1"
"064-706","2","140;500","Harappa;Mohenjo-daro","BNGL;SEAL:R","1194.1;3827.1"
"090-000","2","000","Harappa","POT:T:g;TAB:I","873.2;1157.1"
"090-125","2","002","Mohenjo-daro","SEAL:S","2716.1;3306.1"
"125-700","2","033","Harappa","TAB:B","498.1;1271.2"
"136-002","2","298;861","Unknown","SEAL:S","5572.1;5575.1"
"136-140","2","002;861","Mohenjo-daro","SEAL:S;TAB:B","2669.1;4022.1"
"140-705","2","","Mohenjo-daro","SEAL;SEAL:S","2211.1;3441.1"
"142-033","2","","Harappa","TAB:B","1228.1;1229.1"
"151-055","2","240","Mohenjo-daro","SEAL:S","2337.1;3381.1"
"151-176","2","000;002","Kalibangan;Mohenjo-daro","SEAL:S","2179.1;5275.1"
"151-220","2","016","Harappa;Mohenjo-daro","SEAL:S","1491.1;3155.1"
"151-229","2","","Harappa","TAB:I","1788.2;1829.2"
"151-717","2","741","Harappa;Mohenjo-daro","SEAL:S","1538.1;2740.1"
"156-005","2","","Mohenjo-daro","SEAL:S","2712.1;2718.1"
"156-019","2","","Dholavira","SEAL:S","128.1;4225.1"
"158-003","2","494","Harappa;Kalibangan","POT:T:g;TAB:B","922.2;5311.1"
"161-055","2","240","Chanhu-daro;Mohenjo-daro","SEAL:S","85.1;2417.1"
"161-390","2","590","Chanhu-daro;Mohenjo-daro","SEAL:S","100.1;3226.1"
"167-704","2","","Mohenjo-daro","TAB:B","3690.1;3690.2"
"176-790","2","","Harappa","TAB:B","429.1;465.2"
"215-001","2","480","Khirsara;Mohenjo-daro","SEAL:R;SEAL:S","1968.1;2791.1"
"220-016","2","","Harappa","POT:T:s;SEAL:S","173.1;318.1"
"220-033","2","","Harappa","POT:T:s","1017.1;1032.1"
"220-063","2","051;706","Chanhu-daro;Harappa","MISC;SEAL:S","119.1;1065.1"
"220-065","2","615;864","Mohenjo-daro","SEAL:S","2678.1;3289.1"
"220-455","2","031;125","Karzakan;Mohenjo-daro","SEAL:C;SEAL:S","2195.1;5227.1"
"226-002","2","000;861","Harappa;Kalibangan","SEAL:S","1515.1;1906.1"
"226-003","2","002","Bala-kot;Nausharo","POT:T:g;SEAL:S","19.1;5382.1"
"226-240","2","002;235","Mohenjo-daro","SEAL:S","2428.1;3239.1"
"226-803","2","002;717","Mohenjo-daro","SEAL:S","2674.1;3138.1"
"232-000","2","000;032","Harappa;Mohenjo-daro","SEAL:S","3391.1;3917.1"
"233-240","2","","Mohenjo-daro;Unknown","SEAL:S;TAB:B","3471.1;3893.1"
"241-220","2","032;235","Harappa;Mohenjo-daro","POT:T:g;SEAL:S","1434.1;3800.1"
"241-803","2","002","Mohenjo-daro","SEAL:S","2843.1;2843.2"
"255-033","2","","Harappa","TAB:I","304.2;786.1"
"317-740","2","335","Harappa","TAB:B","370.1;1700.1"
"353-001","2","527;740","Harappa;Lothal","SEAL:R;SEAL:S","1563.1;1985.1"
"360-000","2","","Dholavira;Mohenjo-daro","SEAL","3450.1;4186.1"
"368-005","2","002;741","Dholavira;Mohenjo-daro","SEAL:S","4002.1;4159.1"
"368-091","2","","Harappa","TAB:B","654.2;774.2"
"390-018","2","796","Mohenjo-daro","SEAL:S","2610.1;2804.1"
"390-370","2","","Mohenjo-daro","TAB:B","3846.1;3846.2"
"390-371","2","","Farmana","SEAL:S","153.1;153.2"
"390-415","2","002","Altyn Depe;Lothal","SEAL:S;TAG","16.1;2087.1"
"390-590","2","032","Lothal","TAG","2081.1;2116.1"
"390-697","2","151","Mohenjo-daro","TAB:B","2975.1;2976.1"
"390-840","2","233;741","Mohenjo-daro;Unknown","SEAL:R;SEAL:S","2907.1;5465.1"
"390-920","2","322;323","Mohenjo-daro","SEAL:R;SEAL:S","2338.1;2355.1"
"391-002","2","365;527","Dholavira;Mohenjo-daro","SEAL:S","2568.1;4196.1"
"400-032","2","000","Harappa;Mohenjo-daro","SEAL:R;TAB:B","226.2;3637.1"
"400-033","2","000","Dholavira;Harappa","TAB:I","833.2;4262.1"
"400-125","2","000;745","Dholavira;Mohenjo-daro","SEAL:S","2517.1;4163.1"
"400-159","2","877","Mohenjo-daro","SEAL:R;SEAL:S","3283.1;3610.1"
"400-368","2","055;741","Harappa;Mohenjo-daro","SEAL:S;TAB:B","419.2;3248.1"
"400-390","2","004;844","Mohenjo-daro","SEAL:S","2244.1;3135.1"
"400-678","2","","Harappa","TAB:I","255.2;4072.1"
"405-090","2","405","Harappa;Ur","SEAL:C;TAG:L","942.1;5231.1"
"405-240","2","740","Mohenjo-daro","TAB:C","2985.2;2986.2"
"405-631","2","","Mohenjo-daro","BNGL","3829.1;3830.1"
"407-016","2","001;013","Harappa;Mohenjo-daro","MISC;SEAL:R","1164.1;3619.1"
"407-071","2","032","Mohenjo-daro","TAB:C","2998.1;2999.1"
"410-017","2","","Alamgirpur","POT:T:g","1.1;2.1"
"415-035","2","171","Harappa","TAB:B","1250.1;1692.2"
"416-002","2","817;824","Lothal;Mohenjo-daro","SEAL:R;SEAL:S","2045.1;2438.1"
"426-000","2","","Dholavira;Harappa","TAB:B;TAG","1726.1;4359.1"
"435-001","2","003;031","Mohenjo-daro","SEAL:S","3385.1;3548.1"
"455-590","2","142","Harappa","TAB:I","491.1;589.1"
"463-513","2","390;740","Dholavira;Mohenjo-daro","SEAL:S","3500.1;4203.1"
"482-240","2","","Harappa","TAB:B","1233.1;1639.1"
"511-032","2","142","Harappa","SEAL:S;TAB:B","765.2;1317.1"
"520-095","2","000;033","Dholavira;Harappa","SEAL:R","1575.1;4263.1"
"520-382","2","032;878","Mohenjo-daro","SEAL:S","2236.1;3230.1"
"525-550","2","033;220","Harappa","TAB:B","313.1;561.1"
"530-000","2","000;003","Harappa;Mohenjo-daro","MISC;POT:T:g","2491.1;3939.1"
"540-540","2","","Harappa","POT:T:s","1015.1;1028.1"
"550-233","2","235","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1682.2;3484.1"
