sign,outgoing_exact_cells,successor_branches,large_cap_branch_count,large_cap_exact_cells,large_cap_terminal_cells,large_cap_branches,medium_cap_branch_count,medium_cap_exact_cells,medium_cap_terminal_cells,medium_cap_branches
905,1,1,0,0,0,,0,0,0,
907,1,1,0,0,0,,0,0,0,
911,1,1,0,0,0,,0,0,0,
912,1,1,0,0,0,,0,0,0,
913,1,1,0,0,0,,0,0,0,
932,1,1,0,0,0,,0,0,0,
933,1,1,0,0,0,,0,0,0,
942,1,1,0,0,0,,0,0,0,
944,1,1,0,0,0,,0,0,0,
947,1,1,0,0,0,,0,0,0,
950,1,1,0,0,0,,0,0,0,
951,1,1,0,0,0,,0,0,0,
952,1,1,0,0,0,,0,0,0,
953,1,1,0,0,0,,0,0,0,
958,1,1,0,0,0,,0,0,0,
