scope,id,cisi,site,type,symbol,frame_kind,text,idx_002,y_after_002,y_class,tail_len,tail_next1,tail_next2,tail_full,tail_has_032,tail_has_002
all_002_strict_dedup,3825.1,M-1631,Mohenjo-daro,BNGL,None,,+002-790-290-741+,0,790,other,2,290,290 741,290 741,false,false
all_002_strict_dedup,2018.1,L-47,Lothal,SEAL:S,Bull1,,+409-190-002-798-055+,2,798,other,1,055,055,055,false,false
all_002_strict_dedup,2297.1,M-1772,Mohenjo-daro,SEAL:S,Bull1:I,,+740-400-142-061-002-798-435-255-705+,4,798,other,3,435,435 255,435 255 705,false,false
all_002_strict_dedup,3179.1,M-756,Mohenjo-daro,SEAL:S,Bull1:W,,+740-100-176-002-812-031+,3,812,other,1,031,031,031,false,false
all_002_strict_dedup,1984.1,L-1,Lothal,SEAL:S,Bull1:W,,+527-550-233-002-812-095+,3,812,other,1,095,095,095,false,false
all_002_strict_dedup,2619.1,M-92,Mohenjo-daro,SEAL:S,Bull1:S,,+740-798-460-350-002-814-084+,4,814,other,1,084,084,084,false,false
all_002_strict_dedup,2545.1,M-17,Mohenjo-daro,SEAL:S,Bull1:W,,+390-016-002-814-560+,2,814,other,1,560,560,560,false,false
all_002_strict_dedup,2972.1,M-490,Mohenjo-daro,TAB:B,Scene,,+850-140-803-002-840-016+,3,840,other,1,016,016,016,false,false
all_002_strict_dedup,2290.1,M-1791,Mohenjo-daro,SEAL:S,Bull1:J,,+740-760-268-002-840-032+,3,840,other,1,032,032,032,true,false
all_002_strict_dedup,2843.2,M-325,Mohenjo-daro,SEAL:S,Bull1:L,,+241-803-002-850-491+,2,850,other,1,491,491,491,false,false
all_002_strict_dedup,2843.1,M-325,Mohenjo-daro,SEAL:S,Bull1:L,,+241-803-002-850-493+,2,850,other,1,493,493,493,false,false
all_002_strict_dedup,293.1,H-1033,Harappa,SEAL:S,Bull1:W,,+220-500-520-002-862-032+,3,862,other,1,032,032,032,true,false
all_002_strict_dedup,125.1,Dlp-3,Desalpur,TAG,None,,+394-032-002-892-740+,2,892,other,1,740,740,740,false,false
all_002_strict_dedup,2850.1,M-354,Mohenjo-daro,SEAL:R,None,,+740-729-407-845-236-002-906-125+,5,906,other,1,125,125,125,false,false
all_002_strict_dedup,2552.1,M-24,Mohenjo-daro,SEAL:S,Bull1:W,,+090-740-240-235-002-906-140+,4,906,other,1,140,140,140,false,false
all_002_strict_dedup,91.1,C-3,Chanhu-daro,SEAL:S,Bull1:W,,+740-016-002-920-317+,2,920,other,1,317,317,317,false,false
all_002_strict_dedup,2572.1,M-44,Mohenjo-daro,SEAL:S,Bull1:W,,+740-760-033-705-803-002-920-317+,5,920,other,1,317,317,317,false,false
all_002_strict_dedup,370.1,H-2016,Harappa,TAB:B,None,,+317-740-335-740-176-002-920-491+,5,920,other,1,491,491,491,false,false
all_002_strict_dedup,2634.1,M-107,Mohenjo-daro,SEAL:S,Bull1:S,,+740-565-233-002-940-260+,3,940,other,1,260,260,260,false,false
all_002_strict_dedup,1456.1,H-468,Harappa,SEAL:S,Bull1:J,,+740-900-003-002-940-705+,3,940,other,1,705,705,705,false,false
all_002_strict_dedup,2801.1,M-280,Mohenjo-daro,SEAL:S,Elep,,+740-482-240-002-944-920-140+,3,944,other,2,920,920 140,920 140,false,false
after_032_strict_dedup,2577.1,M-49,Mohenjo-daro,SEAL:S,Bull1:W,target_240_220_032,+527-550-240-220-032-002-300-350-032-190+,5,300,branch_head,3,350,350 032,350 032 190,true,false
after_032_strict_dedup,2564.1,M-36,Mohenjo-daro,SEAL:S,Bull1:S,non240_a_220_032,+740-794-630-220-032-002-368-906-329+,5,368,branch_head,2,906,906 329,906 329,false,false
after_032_strict_dedup,3335.1,-,Unknown,SEAL:S,Bull1:J,outside_032,+740-205-032-002-390-590-032+,3,390,branch_head,2,590,590 032,590 032,true,false
after_032_strict_dedup,2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,outside_032,+226-032-002-390-692+,2,390,branch_head,1,692,692,692,false,false
after_032_strict_dedup,3657.1,M-1358,Mohenjo-daro,SEAL:R,None,outside_032,+032-002-900-285+,1,900,branch_head,1,285,285,285,false,false
after_032_strict_dedup,2236.1,M-1677,Mohenjo-daro,SEAL:S,Bull1:W,outside_032,+520-382-032-002-820-001-440-012+,3,820,leaky_closure,3,001,001 440,001 440 012,false,false
after_032_strict_dedup,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,non240_a_220_032,+740-100-798-220-032-002-861-255-416+,5,861,leaky_closure,2,255,255 416,255 416,false,false
after_032_strict_dedup,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,target_240_220_032,+520-240-220-032-002-861-603+,4,861,leaky_closure,1,603,603,603,false,false
after_032_strict_dedup,3519.1,M-1159,Mohenjo-daro,SEAL:S,Elep,non240_a_220_032,+232-220-032-002-168-032+,3,168,other,1,032,032,032,true,false
after_032_strict_dedup,2670.1,M-143,Mohenjo-daro,SEAL:S,Bull1:J,outside_032,+740-205-032-002-252-840+,3,252,other,1,840,840,840,false,false
after_032_strict_dedup,1020.1,H-1657,Harappa,SEAL:S,Bull1:W,non240_a_220_032,+740-405-590-032-900-003-806-235-220-032-002-690-921+,10,690,other,1,921,921,921,false,false
after_032_strict_dedup,2490.1,M-1667,Mohenjo-daro,SEAL:S,Bull1:W,non240_a_220_032,+740-690-435-255-220-032-002-717-820+,6,717,other,1,820,820,820,false,false
after_032_strict_dedup,125.1,Dlp-3,Desalpur,TAG,None,outside_032,+394-032-002-892-740+,2,892,other,1,740,740,740,false,false
