"id","cisi","type","site","side_index","sides","direction","token_count","text","token_string","orientation_class","companion","order","unordered_pair","interpretation_status"
"863.1","H-1896","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"410.1","H-1897","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"419.1","H-1898","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"922.1","H-1902","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"675.1","H-1903","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"433.1","H-1905","TAB:B","Harappa","1","2","L/R","2","+740-843+","740;843","non_700_short_mark","","","740-843","orientation_audit_only_no_reading"
"433.2","H-1905","TAB:B","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"554.1","H-1906","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"743.1","H-1907","TAB:B","Harappa","1","2","R/L","2","+520-240+","520;240","non_700_short_mark","","","240-520","orientation_audit_only_no_reading"
"743.2","H-1907","TAB:B","Harappa","2","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"515.1","H-1908","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"515.2","H-1908","TAB:B","Harappa","2","2","R/L","2","+520-240+","520;240","non_700_short_mark","","","240-520","orientation_audit_only_no_reading"
"453.1","H-1909","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"437.1","H-1912","TAB:B","Harappa","1","2","L/R","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"437.2","H-1912","TAB:B","Harappa","2","2","L/R","2","+520-240+","520;240","non_700_short_mark","","","240-520","orientation_audit_only_no_reading"
"414.1","H-1915","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"510.1","H-1916","TAB:B","Harappa","1","2","R/L","2","+700-004+","700;004","two_token_700_companion","004","700_first","004-700","orientation_audit_only_no_reading"
"627.1","H-1917","TAB:B","Harappa","1","2","R/L","2","+700-004+","700;004","two_token_700_companion","004","700_first","004-700","orientation_audit_only_no_reading"
"461.1","H-1919","TAB:B","Harappa","1","2","R/L","2","+700-031+","700;031","two_token_700_companion","031","700_first","031-700","orientation_audit_only_no_reading"
"461.2","H-1919","TAB:B","Harappa","2","2","R/L","2","+740-892+","740;892","non_700_short_mark","","","740-892","orientation_audit_only_no_reading"
"569.1","H-1922","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"567.1","H-1923","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
