"cisi","source_path","side_id","description","description_family","description_series","description_kind","mayig_grapheme_count","analysis_set","audit_status","primary_category","flags","collation_priority","reconciliation_class","mayig_formula_pattern","mayig_collapsed_pattern","mayig_initial_at_start","mayig_terminal_at_end","mayig_I_T_scaffold","mayig_strong_IMT_scaffold","sensitivity_formula_pattern","sensitivity_I_T_scaffold","review_status"
"M-115","corpus/m100_m199/m115.json","M-115A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSTMMMMS","DSTMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-116","corpus/m100_m199/m116.json","M-116A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMWSMT","ISMWSMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-117","corpus/m100_m199/m117.json","M-117A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMSMD","IMSMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-118","corpus/m100_m199/m118.json","M-118A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMMMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-119","corpus/m100_m199/m119.json","M-119A","unicorn IV seal","unicorn","IV","seal","10","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSSMDSSMMM","SMDSM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-120","corpus/m100_m199/m120.json","M-120A","unicorn IV seal","unicorn","IV","seal","6","manual_collation_required","manual_collation_required","lipi_compound_slash","lipi_compound_slash","P3_policy_check_candidate","slash_compound_count_policy_reconciles","","","","","","","","","metadata_scope_only_not_semantic"
"M-121","corpus/m100_m199/m121.json","M-121A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMS","IMSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-122","corpus/m100_m199/m122.json","M-122A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMM","IM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-123","corpus/m100_m199/m123.json","M-123A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSMS","SMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-124","corpus/m100_m199/m124.json","M-124A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMM","IM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-125","corpus/m100_m199/m125.json","M-125A","unicorn IV seal","unicorn","IV","seal","3","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_unknown_zero;mayig_unknown_p000","","","","","","","","","UWS","False","metadata_scope_only_not_semantic"
"M-126","corpus/m100_m199/m126.json","M-126A","unicorn IV seal","unicorn","IV","seal","5","manual_collation_required","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-127","corpus/m100_m199/m127.json","M-127A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SIMIM","SIMIM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-128","corpus/m100_m199/m128.json","M-128A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMISM","IMISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-129","corpus/m100_m199/m129.json","M-129A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-130","corpus/m100_m199/m130.json","M-130A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-131","corpus/m100_m199/m131.json","M-131A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IDSMDS","IDSMDS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-132","corpus/m100_m199/m132.json","M-132A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-133","corpus/m100_m199/m133.json","M-133A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMSSS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-134","corpus/m100_m199/m134.json","M-134A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMT","SMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-135","corpus/m100_m199/m135.json","M-135A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMW","IMW","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-136","corpus/m100_m199/m136.json","M-136A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMWSS","IMWS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-137","corpus/m100_m199/m137.json","M-137A","unicorn IV seal","unicorn","IV","seal","1","clean_but_not_strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","","","","","","","","","metadata_scope_only_not_semantic"
"M-138","corpus/m100_m199/m138.json","M-138A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-139","corpus/m100_m199/m139.json","M-139A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MSSMS","MSMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-140","corpus/m100_m199/m140.json","M-140A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-141","corpus/m100_m199/m141.json","M-141A","unicorn IV seal","unicorn","IV","seal","3","manual_collation_required","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;lipi_compound_slash;mayig_unknown_p000","P1_source_image_required","multi_sign_count_disagreement","","","","","","","","","metadata_scope_only_not_semantic"
"M-142","corpus/m100_m199/m142.json","M-142A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","STMT","STMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-143","corpus/m100_m199/m143.json","M-143A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMSW","ISMSW","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-144","corpus/m100_m199/m144.json","M-144A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-145","corpus/m100_m199/m145.json","M-145A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-146","corpus/m100_m199/m146.json","M-146A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMT","IMSMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-147","corpus/m100_m199/m147.json","M-147A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMMMSI","SMSI","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-148","corpus/m100_m199/m148.json","M-148A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ITS","ITS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-149","corpus/m100_m199/m149.json","M-149A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMM","IMSM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-150","corpus/m100_m199/m150.json","M-150A","unicorn IV seal","unicorn","IV","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-151","corpus/m100_m199/m151.json","M-151A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MMS","MS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-152","corpus/m100_m199/m152.json","M-152A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-153","corpus/m100_m199/m153.json","M-153A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSS","S","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-154","corpus/m100_m199/m154.json","M-154A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMSSS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-155","corpus/m100_m199/m155.json","M-155A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMW","IMW","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-157","corpus/m100_m199/m157.json","M-157A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMSMD","IMSMSMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-158","corpus/m100_m199/m158.json","M-158A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMMM","DM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-159","corpus/m100_m199/m159.json","M-159A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-160","corpus/m100_m199/m160.json","M-160A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSWMDM","SWMDM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-161","corpus/m100_m199/m161.json","M-161A","unicorn IV seal","unicorn","IV","seal","4","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-162","corpus/m100_m199/m162.json","M-162A","unicorn IV seal","unicorn","IV","seal","6","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-163","corpus/m100_m199/m163.json","M-163A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMD","IMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-164","corpus/m100_m199/m164.json","M-164A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-165","corpus/m100_m199/m165.json","M-165A","unicorn IV seal","unicorn","IV","seal","9","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_compound_slash","","","","","","","","","IMMMDMTIS","False","metadata_scope_only_not_semantic"
"M-166","corpus/m100_m199/m166.json","M-166A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DWMMMT","DWMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-167","corpus/m100_m199/m167.json","M-167A","unicorn IV seal","unicorn","IV","seal","3","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_unknown_zero;mayig_unknown_p000","","","","","","","","","IUT","True","metadata_scope_only_not_semantic"
"M-169","corpus/m100_m199/m169.json","M-169A","unicorn IV seal","unicorn","IV","seal","5","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_unknown_zero;mayig_unknown_p000","","","","","","","","","ISSUM","False","metadata_scope_only_not_semantic"
"M-170","corpus/m100_m199/m170.json","M-170A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMDSSMMT","IMDSMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-171","corpus/m100_m199/m171.json","M-171A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSIMMMMT","DSIMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-172","corpus/m100_m199/m172.json","M-172A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSMMSS","DSMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-173","corpus/m100_m199/m173.json","M-173A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSSM","ISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-174","corpus/m100_m199/m174.json","M-174A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMD","IMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-175","corpus/m100_m199/m175.json","M-175A","unicorn V seal","unicorn","V","seal","3","manual_collation_required","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","","","","","","","","","metadata_scope_only_not_semantic"
"M-176","corpus/m100_m199/m176.json","M-176A","unicorn V seal","unicorn","V","seal","2","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","mayig_unknown_p000","","","","","","","","","UU","False","metadata_scope_only_not_semantic"
"M-177","corpus/m100_m199/m177.json","M-177A","unicorn V seal","unicorn","V","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMMT","DMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-178","corpus/m100_m199/m178.json","M-178A","unicorn V seal","unicorn","V","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DM","DM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-179","corpus/m100_m199/m179.json","M-179A","unicorn V seal","unicorn","V","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DM","DM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-180","corpus/m100_m199/m180.json","M-180A","unicorn V seal","unicorn","V","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-181","corpus/m100_m199/m181.json","M-181A","unicorn V seal","unicorn","V","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-182","corpus/m100_m199/m182.json","M-182A","unicorn V seal","unicorn","V","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-183","corpus/m100_m199/m183.json","M-183A","unicorn V seal","unicorn","V","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMM","IM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-184","corpus/m100_m199/m184.json","M-184A","unicorn V seal","unicorn","V","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IISS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
