edge_id,from_sign_uid,to_sign_uid,mapping_state,evidence_types,support_count,counterexample_count,aligned_positions,top_share,example_witnesses,counterexample_witnesses,confidence,review_status,accepted_for_analysis
edge_00110,lipi_numeric:175,mayig_p:P193,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-181,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00111,lipi_numeric:202,mayig_p:P386,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-12,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00112,lipi_numeric:205,mayig_p:P082,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-143,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00113,lipi_numeric:207,mayig_p:P082,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-82,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00114,lipi_numeric:222,mayig_p:P053,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-82,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00115,lipi_numeric:243,mayig_p:P048,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-160,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00116,lipi_numeric:244,mayig_p:P065,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-6,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00117,lipi_numeric:250,mayig_p:P166,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-159,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00118,lipi_numeric:252,mayig_p:P170,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-143,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00119,lipi_numeric:257,mayig_p:P182,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-154,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00120,lipi_numeric:260,mayig_p:P071,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-107,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00121,lipi_numeric:272,mayig_p:P070,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-85,,very_low,needs_image_or_authoritative_sign_list_validation,false
