run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc_transfer_ivc_position_slot_shuffle__micro__seed20260714,ivc_transfer_ivc_position_slot_shuffle,ivc,micro,20260714,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358542,1796,663,3603,0.0,993,768,4.03975494702657,56.812419047294256,0.2734375,0.4583333333333333,0.848293125629425,0.9347826086956522,0.8840579710144928,115.94781993099969
ivc__micro__seed20260715,ivc,ivc,micro,20260715,random_initialization,886850,900,361948,1796,665,3646,0.0,991,712,3.8867603259140187,48.75268758700102,0.28230337078651685,0.4747191011235955,0.8439211684666322,0.9338235294117647,0.8970588235294118,118.57601461100012
pretrain_known_writing__micro__seed20260715,pretrain_known_writing,known_writing,micro,20260715,random_initialization,860792,1000,422758,665,465,2558,0.0,101,514,4.716177813273924,111.74034295773032,0.1264591439688716,0.2587548638132296,0.9626233540620321,0.8514851485148515,0.801980198019802,127.82076731699999
ivc_transfer_known_writing__micro__seed20260715,ivc_transfer_known_writing,ivc,micro,20260715,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361948,1796,665,3646,0.0,991,712,3.822645123085279,45.724996744761896,0.29775280898876405,0.49719101123595505,0.8336306582675891,0.9264705882352942,0.9411764705882353,116.18643196899984
pretrain_nonwriting__micro__seed20260715,pretrain_nonwriting,nonwriting,micro,20260715,random_initialization,853310,1000,324336,593,414,1850,0.0,90,429,2.9443548598211686,18.99840179966056,0.2097902097902098,0.675990675990676,0.8682255244755245,0.5925925925925926,0.5679012345679012,113.63725063399988
ivc_transfer_nonwriting__micro__seed20260715,ivc_transfer_nonwriting,ivc,micro,20260715,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361948,1796,665,3646,0.0,991,712,3.8383568753017467,46.449090055359136,0.29634831460674155,0.48174157303370785,0.8380294328325251,0.9338235294117647,0.9117647058823529,117.47548404600002
pretrain_ivc_position_slot_shuffle__micro__seed20260715,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260715,random_initialization,866855,1000,430189,665,471,2606,0.0,97,532,4.798123926148379,121.28266870532492,0.12593984962406016,0.26879699248120303,0.9639520860256109,0.9175257731958762,0.8865979381443299,130.68655380300015
ivc_transfer_ivc_position_slot_shuffle__micro__seed20260715,ivc_transfer_ivc_position_slot_shuffle,ivc,micro,20260715,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361948,1796,665,3646,0.0,991,712,3.857881181695488,47.36488738359373,0.2710674157303371,0.48174157303370785,0.8453508441367846,0.9558823529411765,0.9191176470588235,117.74175592199981
ivc__micro__seed20260716,ivc,ivc,micro,20260716,random_initialization,886850,900,361846,1796,663,3646,0.0,994,775,4.413683771933279,82.5730843364255,0.21548387096774194,0.4180645161290323,0.9137732979559129,0.841726618705036,0.8848920863309353,115.51241534500014
pretrain_known_writing__micro__seed20260716,pretrain_known_writing,known_writing,micro,20260716,random_initialization,860534,1000,422011,663,471,2538,0.0,98,558,4.698618789727543,109.79541711524591,0.07885304659498207,0.24193548387096775,0.9663458998485278,0.7755102040816326,0.6938775510204082,128.25601090500004
ivc_transfer_known_writing__micro__seed20260716,ivc_transfer_known_writing,ivc,micro,20260716,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361846,1796,663,3646,0.0,994,775,4.287019712386593,72.74933116394514,0.24129032258064517,0.4335483870967742,0.8881103207988124,0.8633093525179856,0.8561151079136691,115.31880008399958
pretrain_nonwriting__micro__seed20260716,pretrain_nonwriting,nonwriting,micro,20260716,random_initialization,853310,1000,335927,593,427,1922,0.0,83,390,3.2228824713291266,25.10036709498826,0.17692307692307693,0.5641025641025641,0.910446284367488,0.6,0.5333333333333333,114.60093721400017
